,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,3.7658,4.1116,3.8262,3.9298,2.8711,2.8326,2.8975,2.7031,4.9099,3.8974,3.9764,3.2364,4.4167,3.0335,2.5587,2.4461,3.0105,3.4913,4.9843,5.9288,5.2182,7.319,7.9879,6.2062,4.2562,5.0683,5.0207,4.362,5.3316,5.6796,4.2849,4.9913,5.8499,6.267,6.6306,6.0143,6.0174,6.2184,6.3588,5.9847,8.1203,8.445,5.6492,5.6711,5.7731,11.0656,12.8253,10.4691,13.0699,14.3891,8.2579,7.2586,7.8504,9.0729,6.6581,1.7079,1.8584,0.9001,1.0573
long-term-debt-capital,0.2153,0.2208,0.2213,0.2186,0.2208,0.2217,0.2256,0.2246,0.293,0.1948,0.1945,0.1928,0.198,0.2519,0.2258,0.2162,0.2256,0.2191,0.2128,0.2962,0.3034,0.3081,0.3118,0.3283,0.0578,0.0803,0.0808,0.2423,0.2424,0.2451,0.2962,0.3106,0.3102,0.3402,0.3437,0.3448,0.4591,0.578,0.5901,0.6067,0.6206,0.6369,0.6447,0.6424,0.6764,0.7135,0.7293,0.7502,0.7638,0.7711,0.5935,0.7129,0.7059,0.8825,0.8888,1.5718,1.4386,2.0466,1.7095
debt-equity-ratio,0.2744,0.2834,0.2843,0.2798,0.4118,0.413,0.4214,0.4182,0.4144,0.2419,0.2495,0.247,0.2554,0.3495,0.2917,0.2759,0.2913,0.2807,0.2703,0.4208,0.4355,0.4452,0.453,0.4888,0.0613,0.0873,0.0879,0.3428,0.3431,0.3482,0.4512,0.4506,0.4497,0.5155,0.5237,0.5263,0.8488,1.3695,1.4398,1.5429,1.6359,1.7538,2.0713,2.0523,2.3892,2.5166,2.7228,3.0376,3.2706,3.4098,1.501,2.5405,2.4556,7.6506,8.5835,-2.8951,-3.459,-2.0654,-2.6872
gross-margin,78.9743,80.0301,77.7459,78.761,79.8591,78.8065,77.9532,78.7904,82.1995,82.2632,83.5369,78.6242,81.8726,82.8018,81.7865,78.9226,83.2919,84.783,84.724,83.2948,83.0529,83.7267,84.9451,88.2416,79.5038,83.5049,83.9754,79.8906,80.784,80.9916,85.3364,80.0465,80.2116,82.5881,81.0006,79.8561,81.5826,84.3382,79.504,80.7894,81.4744,76.0252,80.5867,88.2501,80.6417,85.0516,71.5412,88.3508,82.1643,84.2231,81.973,100.0,89.5214,96.6354,87.5326,100.0,97.8361,86.8174,86.7709
operating-margin,0.8697,-10.6648,-13.4627,-10.8002,-4.0186,-6.7757,-11.8817,16.2005,-4.1081,-12.2263,-6.653,-29.8646,-21.4669,-190.852,-34.1803,44.4506,-39.1917,-25.7013,-32.4561,-25.6133,6.3455,-9.8453,-17.4567,-35.6158,-37.0589,-14.6568,-25.734,-35.55,-8.1886,-24.9591,-18.7451,-19.8756,-13.6804,0.6942,2.0958,-3.2968,-1.9836,3.3094,3.2842,7.3287,12.5398,5.2098,-5.9489,32.2905,3.2362,7.0589,1.3544,-22.168,-69.2194,-45.8628,-73.5134,-578.3188,-36.8075,-25.936,-82.9351,-3055.597,-218.5249,-608.8527,-431.2688
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,2.1301,-10.8043,-13.2146,-12.262,-4.956,-7.8255,-13.6041,15.2379,-6.1712,-14.3476,-8.0021,-30.7127,-23.8707,-194.2302,-37.6479,40.7856,-43.2941,-32.9994,-36.814,-28.6566,1.8244,-14.4577,-22.8463,-40.4261,-38.222,-14.8315,-34.8016,-37.9678,-9.1799,-26.1387,-20.5797,-21.4343,-17.3956,-1.0603,0.359,-18.9324,-4.7243,0.6297,2.1035,4.4579,9.3866,2.2153,-17.2141,26.7494,1.488,6.1754,3.0201,6.0799,-20.0912,-12.1521,-40.5771,100.0,-28.2264,-5.6503,-70.808,100.0,-204.1958,-588.5273,-450.1504
net-profit-margin,11.9359,-9.6541,-14.092,-1.0334,-3.2218,-4.5037,-11.822,-14.3431,-3.7489,-11.6029,-5.3631,-30.2308,-13.371,-139.6104,-35.0817,30.1036,-43.5253,-32.7779,-33.2648,-30.4264,4.217,-17.4683,-25.1498,-42.2065,-38.7364,-15.7394,-31.1191,-40.1795,-4.1813,-25.8073,-20.5505,-24.79,-15.5636,-4.5891,-3.9934,-11.9954,222.3366,-0.5188,1.3549,5.411,8.2171,1.5848,-17.7778,24.6845,1.1412,5.937,2.7916,5.7298,-20.859,-13.3777,-40.691,100.0,-28.2264,-5.6503,-70.808,100.0,-204.1958,-588.5273,-450.1504
asset-turnover,0.1012,0.0883,0.0904,0.0798,0.0834,0.0806,0.0812,0.0773,0.0729,0.079,0.0771,0.0746,0.0728,0.0972,0.0646,0.0611,0.0576,0.0686,0.0555,0.0927,0.0723,0.0818,0.0647,0.0654,0.0845,0.0854,0.08,0.0841,0.0817,0.0809,0.0899,0.0826,0.0876,0.0864,0.0866,0.0805,0.0785,0.0933,0.0879,0.0949,0.093,0.098,0.0822,0.1095,0.0846,0.0751,0.073,0.055,0.0316,0.037,0.0508,0.0123,0.0534,0.05,0.0283,0.0041,0.0363,0.0217,0.0276
inventory-turnover,0.1592,0.1338,0.1668,0.1413,0.1552,0.1669,0.1759,0.1597,0.13,0.131,0.1302,0.1806,0.146,0.1581,0.1452,0.1768,0.1332,0.1602,0.1391,0.1921,0.1463,0.1613,0.129,0.1062,0.1887,0.1586,0.1509,0.2062,0.2038,0.1962,0.1379,0.1654,0.1941,0.1715,0.1889,0.1866,0.1962,0.1719,0.2183,0.2127,0.1984,0.2725,0.1879,0.1594,0.2065,0.1552,0.314,0.161,0.1414,0.1484,0.15,0.1442,0.1014,0.0325,0.0949,0.1218,0.0212,0.1412,0.2706
receiveable-turnover,1.1442,1.0281,1.0186,1.0309,1.0192,1.0255,1.1729,1.3709,1.3266,1.3319,1.3192,1.394,1.2965,1.4014,1.3097,1.3818,1.4025,1.3442,1.1547,1.5878,1.4543,1.5684,1.372,1.2466,1.0972,1.189,1.063,1.2097,1.0923,1.231,1.1023,1.0287,1.0595,1.0378,1.0307,1.1737,1.2415,1.1837,1.0284,1.1841,1.1818,1.1407,1.2058,1.8284,1.4207,1.2304,1.2781,2.6421,1.566,1.8166,1.5723,0.3892,1.9175,2.1423,1.8433,0.1372,1.4225,1.263,2.7247
