,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,0.6672,0.8056,0.7331,0.8339,1.1425,1.0422,0.9109,0.9097,0.5023,0.5826,1.0705,0.9888,0.794,0.8777,0.9394,0.8802,1.075,1.1738,1.2152,0.9944,0.9568,1.0563,0.5873,0.6172,0.5749,0.6898,1.4681,1.2605,1.3888,1.2488,1.1423,1.0368,1.0485,1.5048,1.35,1.3178,1.8126,1.7194,1.5836,1.4569,1.2534,1.1143,0.9659,0.8823,0.8642,0.9518,0.988,0.911,0.8173,0.9795,0.9521,0.9762,1.0057,0.998,1.0717,1.2089,1.2038,1.0703,0.9592
long-term-debt-capital,0.2397,0.2003,0.2222,0.1311,0.1862,0.1567,0.2072,0.1444,0.1318,0.2024,0.2155,0.1602,0.1738,0.2327,0.2074,0.1403,0.211,0.2419,0.2447,0.2384,0.2615,0.2586,,,,,0.2682,0.2784,0.2669,0.2762,0.2798,0.2873,0.2788,0.2498,0.2577,0.2563,0.2278,0.2327,0.236,0.2417,0.2477,0.254,0.2633,0.285,0.371,0.3803,0.3667,0.3707,0.3954,0.4522,0.2654,0.263,0.2852,0.2912,0.3279,0.3786,0.3842,0.3952,0.4045
debt-equity-ratio,0.3655,0.3017,0.3378,0.1508,0.2288,0.1858,0.2811,0.1873,0.1727,0.2759,0.2934,0.2075,0.2271,0.3196,0.2988,0.1778,0.2827,0.3349,0.3384,0.3268,0.4013,0.36,0.4167,0.4089,0.4249,0.3722,0.3664,0.3858,0.3641,0.3817,0.3884,0.4032,0.3866,0.333,0.3472,0.3446,0.295,0.3033,0.309,0.3188,0.3293,0.3521,0.3816,0.4243,0.6188,0.6424,0.6069,0.6171,0.6835,0.8569,0.3618,0.3573,0.3996,0.4113,0.4883,0.612,0.627,0.6566,0.683
gross-margin,31.7157,31.6622,30.3188,31.5739,31.2594,30.7986,30.6574,31.9509,30.9975,31.1298,29.7449,30.8303,28.2596,29.2396,28.6776,30.7625,29.5519,29.1312,28.6118,30.5761,28.4451,28.6452,28.0438,29.4449,28.6612,28.5105,27.9112,28.9435,27.5835,27.3321,27.0576,29.0895,28.2264,28.1267,28.2427,30.0411,28.8768,28.9824,29.0389,30.3094,29.6185,29.777,29.8114,31.1614,29.7823,28.9653,27.8531,30.9762,29.2184,30.4624,30.3921,30.2744,26.9205,28.0907,27.8311,30.51,29.186,28.8053,30.043
operating-margin,13.5094,13.8366,10.7074,14.7278,13.8946,13.1596,12.8415,13.1974,12.9352,-9.3837,10.2138,13.166,10.9196,9.8264,11.3715,12.3332,12.9789,11.6778,10.7715,13.1881,11.2199,11.5272,10.2294,11.3137,8.5688,7.2486,10.5967,12.466,10.1509,11.1599,9.9101,13.1408,12.0991,10.7517,9.2313,11.4385,11.4698,10.7481,11.154,10.188,11.0467,9.4623,11.774,13.4392,12.1081,10.1841,10.4607,11.4154,11.223,11.1741,10.8084,11.6479,9.2075,10.4168,9.8409,3.1893,10.4882,9.7486,10.3615
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,13.9245,13.5782,10.9921,13.7279,14.1688,13.0496,12.7985,13.5726,13.001,-9.2556,10.5755,12.9686,11.078,10.4017,10.4068,12.2756,12.1341,11.5644,10.6637,12.9988,11.1432,11.0627,9.3924,10.8587,7.5157,6.6884,9.9454,11.7788,9.6139,9.8492,9.4789,12.0581,10.4912,9.9277,8.8862,11.0926,10.6044,9.7992,10.2583,9.6271,10.6694,9.5355,10.7162,11.3759,10.3572,9.4503,8.954,9.943,10.2737,5.6738,9.746,10.9756,7.3111,8.9008,8.0862,1.1847,8.8468,7.7871,6.2089
net-profit-margin,12.265,10.7117,9.6675,11.8748,11.5386,12.4421,10.2456,12.7352,8.489,-5.2176,7.3532,7.9779,6.8336,6.3741,6.3629,7.5087,7.4653,7.063,6.5145,7.853,6.8599,6.7641,5.7421,6.5716,5.1137,4.0896,6.0762,7.2549,5.8826,6.0067,5.7927,7.339,6.4102,6.0853,5.4699,6.7294,6.5495,5.9858,6.2685,5.9308,6.4725,5.8424,6.557,6.2282,5.8794,5.7463,5.5597,6.2542,6.6484,3.4758,5.998,6.485,3.138,5.156,5.0078,1.7602,6.271,3.926,3.7121
asset-turnover,0.3899,0.4329,0.4319,0.469,0.4536,0.476,0.4812,0.4656,0.4662,0.456,0.458,0.4585,0.466,0.4577,0.4422,0.4676,0.4303,0.4314,0.4205,0.4412,0.4122,0.428,0.4125,0.3901,0.3867,0.3974,0.4076,0.4288,0.4098,0.4261,0.4245,0.4401,0.4189,0.3919,0.4022,0.4051,0.3567,0.3638,0.3615,0.3701,0.3703,0.3804,0.3809,0.3847,0.3877,0.3735,0.371,0.3709,0.3547,0.3481,0.345,0.3428,0.3245,0.3179,0.3062,0.2833,0.2925,0.2893,0.2778
inventory-turnover,44.6265,51.0791,50.982,54.8738,52.978,53.6764,57.7429,54.6481,50.9097,50.8815,52.483,48.494,46.1659,45.1397,45.6301,43.7081,41.572,43.3061,43.6077,42.7046,40.1637,37.4864,38.6188,36.6937,36.1397,41.4813,40.2968,37.1066,33.5921,31.5944,30.4021,28.6532,27.5724,27.597,29.8052,30.4428,28.665,28.0399,28.7997,28.0175,25.8813,25.1623,25.6109,26.5755,27.0144,26.5075,27.6666,29.9001,28.2652,27.9497,27.8802,28.8212,29.0549,28.8411,26.1801,25.4155,22.7839,22.0441,21.8129
