,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,5.0325,5.0325,4.9049,5.1898,5.6572,4.9734,5.072,4.1751,5.9581,5.9063,5.3003,4.8911,5.7394,5.4888,5.2023,5.5936,5.0755,5.6618,6.008,5.1403,5.1325,5.5287,5.7644,5.1311,4.197,4.142,4.4472,3.6166,3.6362,3.0287,4.0637,3.9087,3.9884,4.4098,5.5478,5.2509,5.4026,5.2493,5.091,4.9713,4.7811,4.502,4.2805,3.8275,3.4073,3.1654,3.3944,2.6497,2.4578,2.3622,2.2434,2.1553,2.1626,2.0604,2.0404,2.1242,1.5714,1.5282,2.5689
long-term-debt-capital,0.4536,0.4536,0.4631,0.4395,0.439,0.4442,0.4363,0.4483,0.225,0.2305,0.2374,0.2428,0.2543,0.2623,0.2684,,,,,,,,,,,,,,,,,,,,,,,,,0.0028,0.0029,0.003,0.0031,0.0032,0.005,0.0056,0.0051,,0.0016,0.0018,0.0021,0.0024,0.0026,,,,0.0065,0.0073,0.0069
debt-equity-ratio,0.8522,0.8522,0.8851,0.7885,0.787,0.8037,0.7785,0.8171,0.3048,0.3144,0.3338,0.3425,0.3499,0.3647,0.3738,,,,,,,,,,,,,,,,,,,,,,0.0036,0.0068,0.016,0.0029,0.0029,0.003,0.0031,0.0032,0.0115,0.0185,0.0059,0.0719,0.0895,0.1055,0.0878,0.0897,0.1107,0.1297,0.1004,0.1004,0.114,0.0607,0.0252
gross-margin,66.0201,66.0201,65.5848,65.8112,66.9397,66.9397,63.3241,68.8354,67.8697,68.813,65.4964,69.2776,65.8137,64.3566,64.211,66.5596,62.6161,60.6711,58.1331,60.927,64.2019,64.5258,62.895,62.8423,64.411,64.0782,65.4998,64.1616,63.747,64.3938,65.9175,63.7398,63.7756,64.8525,61.2796,60.1773,53.5176,60.7217,59.8715,61.4957,60.3884,63.5408,64.5796,64.66,64.024,65.7927,63.5873,64.4407,63.0415,61.5097,60.9362,47.4206,57.3884,56.0759,55.3396,53.7721,51.6649,52.6166,54.6278
operating-margin,9.1399,9.1399,3.2664,3.1173,7.891,7.891,-5.6338,-0.3691,1.8841,10.013,5.6548,11.3371,12.1011,9.7402,15.4663,12.1417,6.8877,-1.2864,-4.5934,5.1278,8.1335,6.4053,4.7466,8.836,12.5931,8.386,9.3173,6.7226,8.8187,17.5666,5.0432,9.7016,8.4171,12.7676,8.1037,12.2613,-4.4194,16.6046,9.0285,12.6472,11.3186,14.9913,12.9684,10.9823,14.5613,15.4705,10.74,11.0978,7.3646,10.143,6.3244,0.9815,10.5555,2.679,-7.4965,-10.1387,-21.1204,-78.294,-7.512
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,3.8502,3.8502,-2.4443,1.2253,-0.1956,-0.1956,-11.1481,-4.4429,0.0477,8.6641,3.8705,8.348,10.4548,8.2089,14.0808,11.5894,7.7868,0.4673,-5.2408,4.374,7.95,6.9011,4.8613,36.3285,12.7779,8.1593,8.566,6.8354,7.8495,16.8886,4.8946,9.4187,7.719,12.8629,8.3952,11.8336,-16.1305,17.3393,11.2158,12.8324,11.1202,15.0588,12.3764,10.6416,14.1434,15.2753,11.2641,11.1018,8.8538,5.9667,5.9167,0.4647,9.9411,0.4963,-7.9233,-7.2323,-18.3011,-83.3411,-7.4667
net-profit-margin,3.9542,3.9542,-0.44,0.9296,0.327,0.327,-6.223,-5.6525,2.9614,6.485,4.9335,5.9717,6.6141,4.9848,5.9071,6.5089,5.7243,-1.413,-0.8099,4.6486,6.1318,6.1199,2.905,25.9131,8.5434,5.2058,6.0277,6.2104,4.4931,9.8138,3.003,5.9216,6.6635,6.0588,5.5173,7.0632,-10.6564,9.999,6.5081,8.2684,6.5984,8.884,7.3029,85.152,13.2667,14.3178,10.8143,10.5673,8.6056,5.6104,4.5303,-0.2371,8.6672,-0.1301,-10.4016,-3.7915,-20.4217,-85.0273,-7.9423
asset-turnover,0.1191,0.1191,0.115,0.1119,0.1202,0.1201,0.1062,0.0896,0.1349,0.1484,0.1411,0.1424,0.1465,0.1554,0.1448,0.2199,0.2039,0.2018,0.1953,0.2109,0.2116,0.1996,0.2059,0.203,0.2221,0.2124,0.2312,0.2087,0.2178,0.2121,0.2184,0.2056,0.2004,0.2065,0.2188,0.2126,0.2115,0.2087,0.2164,0.2138,0.2117,0.2152,0.2095,0.2042,0.2602,0.2768,0.2813,0.2705,0.2438,0.2625,0.294,0.2641,0.2488,0.2679,0.2523,0.2338,0.1765,0.1664,0.1867
inventory-turnover,0.5322,0.5322,0.5265,0.4804,0.4907,0.4946,0.5096,0.3526,0.5092,0.562,0.6027,0.5261,0.6059,0.661,0.6088,0.9098,0.9507,1.0344,1.0482,1.1395,1.0082,1.018,1.154,1.3484,1.2641,1.1106,1.201,1.1135,1.1828,1.2218,1.3879,1.5057,1.5357,1.6601,1.9552,1.8101,2.0992,1.5035,1.9034,1.7093,1.7298,1.5508,1.2939,1.275,1.3663,1.4853,1.6394,1.5898,1.4701,1.5182,1.6825,2.152,1.7016,1.9139,1.8862,1.8015,1.6965,1.9098,1.6995
