,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
current-ratio,5.079,4.4498,8.4591,10.4394,13.1317,14.4978,11.7059,9.05,10.1172,6.7344,7.0353,5.658,14.7888,16.1226,22.7143,20.9365,,,,
long-term-debt-capital,0.0592,0.0666,0.064,0.1207,0.1271,0.1247,0.1182,0.1384,0.1592,0.1548,0.1411,0.2068,0.1585,0.108,0.0547,0.0025,,,,
debt-equity-ratio,0.0841,0.0903,0.0846,0.1373,0.1457,0.1424,0.1341,0.1967,0.1894,0.2642,0.237,0.335,0.1883,0.121,0.0579,0.0025,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.7475,100.0,100.0,,
operating-margin,-898.8566,-1530.0,-1510.972,-429.0408,-111.9774,-537.9408,-803.6414,-993.7824,-425.8039,-843.2355,-4490.763,-4341.202,-2200.104,-566.7061,-2216.025,-1562.879,-1101.791,-6225.15,,
ebit-margin,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-856.0552,-1450.043,-1413.678,-409.4461,-104.9521,-525.2713,-787.8533,-986.8829,-423.4161,-853.6972,-4559.678,-4384.854,-2185.031,-562.0425,-2204.348,-1595.96,-1105.224,-28485.63,,
net-profit-margin,-856.0552,-1450.043,-1413.678,-409.4461,-104.9521,-525.2713,-787.8533,-986.8829,-423.4161,-853.6971,-4559.678,-4384.855,-2185.031,-562.0425,-2210.186,-1595.076,-1120.746,-28543.12,,
asset-turnover,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,12.373,194.1667,,203.9667,337.6512,20.3646,4.218,5.4006,9.0388,3.7768,0.7217,10.2046,0.8574,2.8351,0.7265,0.7772,,,,
days-sales-in-receivables,7.2739,0.4635,,0.4412,0.2665,4.4194,21.3369,16.6649,9.957,23.8295,124.7067,8.8196,104.9688,31.7444,123.8758,115.7955,,,,
roe,-15.6869,-17.5001,-13.4688,-10.6088,-6.7891,-16.7392,-12.4999,-17.3919,-14.9611,-14.291,-15.0619,-29.2526,-12.3519,-10.165,-8.8124,15.1996,,,,
return-on-tangible-equity,-15.6869,-17.5001,-13.4688,-10.6088,-6.7891,-16.7392,-12.4999,-17.3919,-14.9611,-14.291,-15.0619,-29.2526,-12.3519,-10.165,-8.8124,-10.8158,,,,
roa,-8.8466,-9.5005,-7.7191,-5.9598,-3.9311,-9.8399,-7.6585,-9.6954,-7.8434,-7.168,-7.8718,-17.1811,-8.6805,-7.6289,-7.132,-8.4579,,,,
roi,-14.759,-16.3339,-12.6062,-9.3284,-5.9259,-14.6525,-11.0219,-14.9844,-12.579,-12.0791,-12.9361,-23.2029,-10.3944,-9.0674,-8.3305,-10.7891,,,,
book-value-per-share,4.1113,3.9208,4.4389,4.8435,4.7248,4.8853,5.2987,4.6751,4.2492,4.5219,5.0713,3.7581,4.779,5.2957,5.7254,36.1166,,,,
operating-cash-flow-per-share,-1.6398,-1.1169,-0.5939,-0.9705,-0.992,-0.8347,-0.4883,-0.2335,0.3789,1.0686,1.9129,-1.5595,-1.03,-0.5534,-0.4322,-1.717,0.8766,6.5279,-3.0368,
free-cash-flow-per-share,-1.7289,-1.1617,-0.6078,-1.0706,-1.062,-0.8858,-0.5102,-0.2842,0.3364,1.0436,1.8949,-1.6673,-1.1093,-0.613,-0.4745,-2.1717,0.5246,6.1499,-3.1926,
