,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
current-ratio,8.5976,10.5917,10.6295,9.9904,9.2693,,,,,
long-term-debt-capital,0.0001,0.0001,0.0002,0.0002,0.0005,,,,,
debt-equity-ratio,0.0002,0.0002,0.0004,0.0004,0.0009,,,,,
gross-margin,69.5734,68.8133,63.0746,57.5731,53.665,48.6173,44.5663,,22.1973,
operating-margin,-28.7224,-28.2872,-64.5587,-83.3115,-111.5849,-117.1345,-111.7122,,-257.6177,
ebit-margin,,,,,,,,,,
pre-tax-profit-margin,-21.8446,-23.1718,-58.1776,-76.7712,-108.3717,-111.6293,-82.9379,,-256.8271,
net-profit-margin,-21.0196,-21.4914,-71.0708,-76.4214,-112.7512,-111.6448,-82.9379,,-299.1915,
asset-turnover,0.0642,0.0574,0.0633,0.056,0.0629,,,,,
inventory-turnover,1.2543,1.1874,1.3197,1.5266,1.4206,,,,,
receiveable-turnover,1.5331,1.3372,1.2644,0.9211,1.4817,,,,,
days-sales-in-receivables,58.7038,67.3028,71.1775,97.7124,60.7413,,,,,
roe,-1.6054,-1.3857,-4.5609,-5.2307,9.6035,,,,,
return-on-tangible-equity,-1.6433,-1.4192,-4.6357,-5.3165,-9.5119,,,,,
roa,-1.3803,-1.2021,-3.6865,-4.3023,-6.8218,,,,,
roi,-1.6052,-1.3856,-4.5599,-5.2294,-9.2071,,,,,
book-value-per-share,8.688,8.7869,5.4372,5.629,19.6252,,,,,
operating-cash-flow-per-share,-0.18,-0.2037,-0.0501,-2.3743,-3.628,-1.9051,-0.5503,,-4.4932,
free-cash-flow-per-share,-0.3046,-0.2683,-0.0816,-3.0388,-5.0007,-2.8221,-0.8876,,-4.8012,
