,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
current-ratio,6.7612,10.224,9.5663,10.4339,6.1325,,,,,
long-term-debt-capital,0.1105,0.0849,0.1145,,,,,,,
debt-equity-ratio,0.1347,0.1086,0.1488,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,,,,,
operating-margin,-2894.715,-1931.652,-1405.271,-1652.429,-19389.58,,,,,
ebit-margin,,,,,,,,,,
pre-tax-profit-margin,-2799.593,-1841.043,-1336.971,-1589.276,-19362.5,,,,,
net-profit-margin,-2799.594,-1841.044,-1336.971,-1589.276,-19362.5,,,,,
asset-turnover,,,,,,,,,,
roe,-17.6144,-11.6089,-13.6203,-11.6274,17.6724,,,,,
return-on-tangible-equity,-17.6144,-11.6089,-13.6203,-11.6274,-25.5713,,,,,
roa,-13.2029,-9.2786,-10.2623,-9.1471,-16.4204,,,,,
roi,-15.6677,-10.6233,-12.0602,-11.6274,-25.5713,,,,,
book-value-per-share,4.3766,5.1151,4.5556,5.1737,29.1932,,,,,
operating-cash-flow-per-share,-1.7528,-1.1178,-0.6609,-4.2787,-10.2886,-11.5028,-6.7899,,-10.0297,
free-cash-flow-per-share,-2.0491,-1.2616,-0.75,-4.9137,-11.6684,-12.717,-7.5528,,-13.912,
