,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
current-ratio,14.2767,18.3467,30.209,29.9412,28.6685,13.5664,15.6059,8.9423,11.4226,12.85,,,,,
long-term-debt-capital,0.0333,0.0035,0.0035,,,,,,,,,,,,
debt-equity-ratio,,,,,,,,,,,,,,,
roe,-11.3114,-9.8155,-7.0667,-6.7142,-5.2519,-11.8216,-11.1436,-18.1833,-14.2958,-12.2838,,,,,
return-on-tangible-equity,-11.3114,-9.8155,-7.0667,-6.7142,-5.2519,-11.8216,-11.1436,-18.1833,-14.2958,-12.2838,,,,,
roa,-10.2035,-9.2536,-6.8108,-6.4891,-5.0679,-10.9486,-10.427,-16.1461,-13.0497,-11.3303,,,,,
roi,-10.9351,-9.7814,-7.0421,-6.7142,-5.2519,-11.8216,-11.1436,-18.1833,-14.2958,-12.2838,,,,,
book-value-per-share,7.6132,8.337,9.0478,9.6348,10.2118,5.3366,5.6036,3.289,3.8503,4.373,,,,,
operating-cash-flow-per-share,-1.853,-1.1858,-0.5761,-2.2303,-1.569,-1.1064,-0.6168,-2.7761,-1.2632,-1.5496,-6.2032,,-10.688,-7.1642,
free-cash-flow-per-share,-1.896,-1.1963,-0.5819,-2.2516,-1.5867,-1.112,-0.6192,-2.7922,-1.2728,-1.552,-6.2119,,-10.8282,-7.2214,
