,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.5117,1.4361,1.0548,1.3493,1.6065,1.3631,1.3895,1.6202,1.6838,1.6179,1.6542,1.5574,1.7154,1.6855,1.7045,1.6737,1.4606,1.4727,1.273,1.6296,1.514,1.488,1.5069,1.4112,1.434,1.2942,1.2998,1.2578,1.2407,1.3103,1.2969,1.3023,1.5671,1.6108,1.6372,1.6208,1.5129,1.5447,1.4741,1.5249,1.5353,1.8993,1.6651,1.6115,1.6739,1.8475,1.7308,1.6121,1.6255,1.7733,1.6485,1.6997,1.425,1.4634,1.4369,1.3389,1.5327,1.5786,1.5332
long-term-debt-capital,1.0443,1.0547,1.0784,1.1002,1.1278,1.1507,1.1633,1.1793,1.183,1.1926,1.2065,1.2207,1.2459,1.2628,1.2466,1.2497,1.2576,1.2658,1.2937,1.2876,1.2811,1.3085,1.302,1.3353,1.3462,1.3886,1.4182,1.4355,1.3525,1.3695,1.3909,1.3765,1.5391,1.4407,1.4573,1.641,1.5726,1.5847,1.5609,1.4736,1.4879,1.4746,1.5132,1.5345,1.6137,1.596,1.6328,1.6401,1.6489,1.6458,1.6737,1.6794,0.6722,0.6952,0.6996,0.6703,0.5778,0.5899,0.6374
debt-equity-ratio,-23.6662,-20.448,-15.439,-11.2478,-8.8759,-8.0465,-7.5081,-6.6182,-6.5047,-6.2337,-5.8828,-5.57,-5.1016,-4.8403,-5.0932,-5.0427,-5.1191,-4.9936,-4.7321,-4.5285,-4.7308,-4.4001,-4.4726,-4.0958,-4.0285,-3.7675,-3.5706,-3.4684,-4.1038,-3.8947,-3.8097,-3.8569,-2.9349,-3.3608,-3.2571,-2.6149,-2.8218,-2.8185,-2.8883,-3.2176,-3.1263,-3.1299,-2.9955,-2.9146,-2.6657,-2.7113,-2.6115,-2.5914,-2.569,-2.5764,-2.5102,-2.4976,2.2128,2.4169,2.4834,2.154,1.459,1.5302,1.8492
gross-margin,83.5355,83.1931,83.6942,83.6891,83.4949,83.3724,83.2356,83.1604,83.3863,83.2759,83.0839,83.0655,83.4567,83.3511,83.2944,83.5496,83.3198,83.1262,83.0715,82.7833,83.308,83.402,82.654,82.2997,82.7696,82.6036,82.4763,82.203,82.9447,82.4704,83.1172,82.6747,82.5985,82.1355,82.7842,78.0341,82.1831,83.8706,84.0933,71.3329,83.9904,83.8167,83.7169,84.0743,83.7047,83.5387,83.5415,83.8588,83.483,83.7123,83.4806,83.4952,83.1643,82.8459,82.6345,83.4251,83.2531,82.8336,82.999
operating-margin,12.9037,13.1487,15.3551,15.6999,13.2216,14.4418,13.7004,15.672,11.5651,14.6185,13.9697,16.0041,14.2356,15.1468,14.8538,16.1089,13.5248,15.5502,15.3783,15.5355,14.8373,16.7497,13.553,14.1806,13.7181,14.9586,13.5545,14.0029,13.8427,14.1642,16.7281,16.1153,14.4668,14.6503,16.6352,18.7296,14.5105,14.6338,16.1585,22.7535,12.1997,13.8848,14.8567,12.1542,10.04,10.7307,11.5476,11.6083,9.5448,12.1712,13.7936,14.2549,9.1904,11.3837,13.3905,10.9421,10.1577,12.4218,14.0246
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,7.7123,9.5064,11.6641,12.1313,9.3354,10.7381,13.4728,11.9097,7.2737,10.8078,10.0348,14.7073,9.9124,10.9701,10.6725,10.2644,8.5532,9.9424,11.141,10.0457,10.0759,9.7941,7.6993,9.0539,8.29,9.5385,7.5711,6.5805,8.3974,8.6169,11.4575,31.5871,1.6947,6.4423,6.9808,9.7091,6.7571,6.6271,9.0801,10.4181,5.3896,7.0293,8.33,5.2168,3.0277,3.3668,4.8267,8.0924,5.1606,2.883,4.6129,3.0513,5.7782,7.6572,9.6337,8.3037,6.7884,9.374,10.7247
net-profit-margin,4.8212,6.2133,8.3007,8.6687,6.6282,7.1125,10.0149,4.0996,3.9828,6.1213,6.2035,8.6458,6.0175,6.3766,6.7641,5.6786,4.5556,5.1228,6.1079,5.4691,5.6182,5.2329,3.9289,4.7986,4.3165,5.0059,4.0758,3.723,4.4654,4.82,6.4247,24.9067,0.8405,3.1591,3.2406,4.8718,3.5085,3.7777,5.1432,4.9896,2.6019,3.7685,4.8446,3.799,1.2282,2.0201,2.3853,4.0389,4.5669,1.7239,2.6958,1.8801,3.8629,4.6384,5.908,5.2606,4.6473,6.6722,6.6969
asset-turnover,0.2891,0.2773,0.2885,0.3131,0.301,0.3055,0.3063,0.316,0.2993,0.3105,0.3143,0.3152,0.31,0.3108,0.313,0.313,0.309,0.3121,0.3093,0.311,0.3091,0.3095,0.2963,0.3065,0.2978,0.3025,0.3027,0.3004,0.2953,0.299,0.3097,0.2888,0.3055,0.3036,0.3111,0.2435,0.2979,0.3312,0.3131,0.1794,0.3123,0.3087,0.306,0.2992,0.2943,0.29,0.291,0.2865,0.2763,0.2839,0.2824,0.2741,0.2687,0.2751,0.2862,0.278,0.2734,0.2795,0.285
inventory-turnover,1.1815,1.1599,1.1479,1.1559,1.1567,1.1718,1.1419,1.2378,1.1494,1.1626,1.1972,1.1989,1.1304,1.16,1.2113,1.1716,1.1922,1.2389,1.2727,1.2971,1.2234,1.2651,1.2906,1.3265,1.2837,1.276,1.3397,1.3821,1.307,1.3479,1.3566,1.277,1.4175,1.46,1.4472,1.4225,1.5141,1.554,1.5113,1.5474,1.6188,1.6589,1.6876,1.5699,1.5936,1.607,1.6638,1.5648,1.5747,1.5907,1.6317,1.6009,1.5873,1.6889,1.7853,1.6623,1.7277,1.7966,1.8215
receiveable-turnover,1.7801,1.7457,1.6869,1.8079,1.7531,1.7489,1.804,1.7785,1.7886,1.8563,1.8755,1.8265,1.8663,1.8203,1.7449,1.7404,1.6914,1.7052,1.6323,1.6923,1.6691,1.6868,1.609,1.6966,1.7173,1.7192,1.7306,1.8052,1.7534,1.8087,1.723,1.7139,1.8492,1.8371,1.8241,1.5159,1.9048,2.0578,1.9453,1.1725,2.1529,2.0334,1.9202,1.922,1.8929,1.7797,1.724,1.7671,1.7031,1.7717,1.7302,1.7514,1.7418,1.8629,1.8376,1.8541,1.9212,1.8886,1.8998
days-sales-in-receivables,50.5585,51.5561,53.3514,49.7808,51.3388,51.4598,49.8888,50.6046,50.3179,48.4841,47.9865,49.2754,48.2249,49.4437,51.579,51.7133,53.2092,52.7796,55.1385,53.1818,53.9219,53.3565,55.9341,53.0466,52.4078,52.3491,52.0059,49.8554,51.3297,49.7596,52.2332,52.5126,48.6704,48.9916,49.3384,59.3699,47.2481,43.7352,46.2646,76.7568,41.8041,44.2603,46.8712,46.8273,47.545,50.5702,52.2043,50.9298,52.8437,50.798,52.0159,51.387,51.6707,48.3113,48.9774,48.54,46.8448,47.654,47.373
roe,-52.7989,-52.3729,-52.3725,-42.6662,-24.0215,-23.4182,-28.913,-12.8328,-10.4619,-15.6527,-14.5044,-19.2615,-12.0883,-12.173,-13.5189,-12.2064,-9.8589,-11.1671,-11.5718,-10.4032,-10.1529,-9.5932,-7.0203,-7.9965,-6.6298,-7.1743,-5.4668,-5.1193,-6.9328,-6.9855,-8.7247,-29.1132,-1.6111,-4.2474,-4.2886,-3.6502,-3.5166,-3.9756,-5.1194,-3.8105,-3.3056,-4.3037,-4.8709,-3.7149,-1.3407,-1.9342,-2.1376,-4.6119,-2.798,-1.0637,-1.6193,-1.0726,4.682,6.1127,8.3205,6.6831,4.4032,6.6209,7.7659
return-on-tangible-equity,-7.9525,-9.3542,-11.3405,-11.4525,-7.7988,-8.3391,-10.7686,-5.1739,-4.2663,-6.7089,-6.4157,-8.7947,-5.7959,-5.9961,-6.3798,-5.776,-4.6389,-5.3461,-5.6976,-5.2346,-5.1271,-5.0572,-3.6681,-4.3177,-3.6269,-4.1247,-3.2318,-3.0764,-3.7844,-3.9195,-5.0228,-16.649,-1.2412,-3.121,-3.1831,-2.9213,-2.7422,-3.1263,-4.0138,-2.8802,-2.5172,-3.2957,-3.7736,-2.9054,-1.0671,-1.5373,-1.7099,-3.691,-2.2432,-0.857,-1.3092,-0.873,9.7442,13.5445,19.6068,14.5284,7.539,11.588,15.0436
