,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,6.6819,6.7204,5.3396,4.4016,4.0368,3.874,4.1394,3.1574,0.8803,0.8301,5.0747,4.0777,4.9385,4.9807,5.0517,3.7136,4.086,4.5293,4.1034,3.477,3.3687,3.5703,3.433,3.3082,4.1419,5.0022,3.3233,2.9735,4.3425,4.2197,4.5276,3.5081,7.452,7.54,8.3899,5.5396,4.9221,5.5053,8.1548,5.3049,4.5246,4.8657,4.7688,3.4265,3.2363,3.1663,3.0957,2.333,2.2728,1.5721,2.7401,2.073,2.0844,8.107,7.7753,5.3488,5.9975,5.2723,4.9991
long-term-debt-capital,0.235,0.2438,0.2538,0.2517,0.2691,0.2795,0.2807,0.2836,,,0.2607,0.2622,0.2593,0.2655,0.2711,0.2738,0.2689,0.2638,0.2668,0.2706,0.2716,0.2754,0.279,0.3166,0.3436,0.3793,0.3757,0.3913,0.4087,0.428,0.44,0.4594,,,,,,,,,0.0282,0.0371,0.0472,0.0582,0.0712,0.085,0.0983,0.111,0.1285,0.1474,0.1657,0.181,0.2072,,,,,,
debt-equity-ratio,0.3072,0.3224,0.3402,0.3364,0.3682,0.3879,0.3902,0.3959,0.4086,0.4188,0.3527,0.3554,0.3501,0.3615,0.3719,0.377,0.3678,0.3582,0.3639,0.371,0.3728,0.38,0.3871,0.4633,0.5235,0.6112,0.6748,0.7183,0.7603,0.8108,0.8388,0.8946,,,,,,,,,0.058,0.0693,0.0825,0.0971,0.115,0.1342,0.1527,0.1703,0.1967,0.2261,0.2553,0.2946,0.3268,,,,,,
gross-margin,81.681,85.2576,83.5907,104.3997,85.2651,85.0311,85.1292,88.9988,88.9555,89.2501,87.6993,112.4325,80.5258,80.0777,76.8416,77.474,77.2779,76.2122,77.7655,78.8919,78.7602,77.9897,80.0806,81.2282,80.5556,79.1446,76.8539,78.8777,76.303,78.8288,77.769,77.7188,78.7128,77.1204,77.7108,78.3462,77.6512,78.3545,77.3156,79.0012,77.2463,75.1273,75.5612,72.4258,74.2224,74.3951,71.4403,74.2968,72.1075,71.4868,71.1986,74.8907,68.4795,69.4837,67.1389,68.9459,69.544,64.3436,68.0282
operating-margin,11.6235,24.1096,13.3191,17.871,15.7093,-0.5198,8.4299,12.9743,10.2337,10.7724,3.4669,14.936,10.2963,13.4571,8.2742,11.5342,10.9892,10.0501,7.2341,-0.0811,12.25,11.1566,7.4465,16.6631,16.6594,16.188,13.0936,27.9212,18.295,21.3177,14.9477,20.2925,26.0698,22.8997,19.5363,23.5927,22.8412,21.4702,19.5775,24.4383,24.2732,21.2584,19.7433,21.8075,21.9973,20.0122,14.6085,18.1363,20.3508,20.4815,18.2207,11.5255,2.3422,10.3739,10.4286,13.9598,21.1012,5.3019,6.5255
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,15.8669,22.9876,12.1464,16.4213,14.0315,-2.4586,6.6424,10.9244,7.771,9.0426,1.5932,13.2654,8.6554,11.7783,6.5674,10.0129,9.3538,8.4013,5.473,-1.8126,10.5364,9.4447,5.4839,14.7501,14.859,13.6016,9.9136,24.8843,14.6868,18.0305,11.1337,19.6836,26.243,23.2019,19.8625,23.5456,22.8125,21.4716,19.5683,24.0855,23.9216,20.8459,19.3629,21.5117,21.6297,19.5166,14.0487,17.2458,19.4857,19.2522,16.3472,9.9343,2.9065,13.7745,13.5731,16.6415,22.9825,7.2094,8.1362
net-profit-margin,14.3964,17.3027,13.2758,21.4281,12.0418,-2.2937,4.519,17.3227,5.0703,4.8885,1.2679,7.2944,11.4325,8.1218,3.8077,6.7891,5.7935,4.6334,3.1924,-2.1344,6.1074,5.3642,3.2023,9.1231,9.0079,8.2824,5.9825,15.0162,9.2804,10.8105,6.563,11.1682,15.6081,13.9044,11.9044,14.1739,13.8037,12.8835,11.6686,14.0626,14.1623,12.3351,11.4235,13.4684,12.5457,11.3188,8.1478,9.6861,10.9888,10.8582,9.2189,5.5471,2.9396,9.1098,7.968,15.6083,20.6367,10.386,2.9639
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,0.7115,0.8033,0.6652,0.6908,0.7448,0.7327,0.7557,0.776,0.6801,0.657,0.6663,0.7098,0.7102,0.7976,0.7223,0.7598,0.6801,0.6991,0.6628,0.7139,0.6729,0.6841,0.6439,0.7081,0.7604,0.7681,0.772,0.849,0.9772,1.0687,1.0495,0.8314,1.1063,1.1059,1.2266,1.1603,1.0632,1.1048,1.0416,1.0242,1.0237,0.9762,1.0729,1.1605,1.02,0.9851,0.9282,1.0495,0.9527,1.0858,0.9878,1.087,0.7322,1.3124,0.9106,0.9053,0.9523,0.9517,1.0038
days-sales-in-receivables,126.4935,112.0374,135.3002,130.2912,120.8365,122.8257,119.087,115.9764,132.3327,136.9804,135.0732,126.7955,126.7245,112.8326,124.5983,118.4551,132.3299,128.7357,135.7823,126.0607,133.7575,131.5631,139.764,127.1082,118.3602,117.1676,116.587,106.0084,92.0962,84.2148,85.7522,108.257,81.3534,81.3854,73.3713,77.5646,84.6521,81.4601,86.407,87.8721,87.916,92.1959,83.8836,77.5504,88.2336,91.3648,96.9633,85.7579,94.4685,82.8895,91.1111,82.7965,122.9174,68.5763,98.8308,99.4138,94.5116,94.5689,89.6563
roe,2.5337,3.6468,2.5832,4.6806,2.8497,-0.5443,1.0389,4.2431,1.0848,1.1372,0.2571,1.6459,2.4864,1.8038,0.8573,1.6628,1.276,0.9813,0.6479,-0.4491,1.3101,1.16,0.6561,2.2078,2.2496,2.1032,1.454,4.3178,2.3714,3.0838,1.7092,2.8451,3.9338,3.5733,2.9914,4.0161,3.8737,3.4115,3.0292,3.9137,3.8596,3.2459,2.989,3.9571,3.7375,3.2773,2.1973,2.9088,3.2315,3.2146,2.6761,1.7445,0.3508,1.7506,1.7168,3.6513,5.6128,1.4626,1.5382
return-on-tangible-equity,8.4341,11.7391,9.4446,21.0484,20.284,-6.4361,15.1571,94.8138,169.7377,-48.5476,0.9767,6.5861,9.7739,6.9777,3.7639,8.01,5.8675,4.2917,3.1272,-2.4669,7.7834,8.1476,5.6409,24.2953,23.2044,37.8043,138.5492,-112.8327,-30.3837,-20.6514,-9.0522,-10.7766,5.9252,5.5611,4.8497,6.8487,7.6295,6.6686,5.2814,7.1752,7.3233,6.354,6.3553,9.2628,10.0445,9.6397,7.4353,11.2074,16.7509,27.189,14.4104,12.0626,4.7489,1.8054,1.7724,3.7748,5.8171,1.5194,1.5997
roa,1.7657,2.5092,1.7342,3.096,1.8446,-0.3471,0.6659,2.6378,0.6629,0.6815,0.1663,1.0378,1.5872,1.1484,0.5422,1.0258,0.7906,0.6174,0.4015,-0.2717,0.7968,0.7109,0.3995,1.2626,1.2571,1.1262,0.7516,2.1497,1.1894,1.4942,0.8139,1.2804,3.5225,3.2212,2.7008,3.5009,3.3216,2.9726,2.7721,3.4459,3.2535,2.7573,2.5225,3.1719,2.9713,2.579,1.721,2.1457,2.4081,2.1348,1.9427,1.1861,0.2396,1.5563,1.5221,3.0331,4.7965,1.2238,1.2778
roi,1.9383,2.7577,1.9275,3.5023,2.0828,-0.3921,0.7474,3.0397,1.0848,1.1372,0.1901,1.2143,1.8416,1.3248,0.6249,1.2076,0.9329,0.7225,0.4751,-0.3275,0.9543,0.8406,0.473,1.5088,1.4766,1.3054,0.9077,2.6284,1.4022,1.7638,0.9572,1.538,3.9338,3.5733,2.9914,4.0161,3.8737,3.4115,3.0292,3.9137,3.7508,3.1255,2.848,3.7268,3.4713,2.9987,1.9812,2.586,2.8162,2.7408,2.2328,1.4288,0.2781,1.7506,1.7168,3.6513,5.6128,1.4626,1.5382
