,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,10.3897,10.0087,9.4028,7.877,7.9897,8.3794,5.3765,4.7975,6.2546,5.029,5.6418,5.9643,6.8324,6.2834,6.1361,5.6221,7.1054,8.3759,8.3303,7.2538,6.3467,7.0008,7.1607,7.5196,7.3908,7.6908,6.1431,5.6973,7.0073,6.364,5.6333,4.7317,4.5138,4.4653,4.6335,4.5626,5.0294,5.1028,5.7594,5.3491,5.3979,5.0642,4.8636,4.1571,4.4997,4.3677,4.3963,3.3739,5.3857,8.3715,2.9043,8.2025,7.0448,7.311,4.3527,4.4491,4.779,2.7777,2.6896
long-term-debt-capital,0.3046,0.3126,0.3202,0.346,0.4262,0.4332,0.6135,0.6239,0.6004,0.7115,0.7217,0.8381,0.7518,0.7842,0.7155,0.7228,0.6193,0.5673,0.5847,0.5978,0.3163,0.3013,0.2963,0.2931,0.2787,0.2781,0.4305,0.4531,0.4698,0.502,0.494,0.4592,0.4352,0.4018,0.3806,0.3618,0.3476,0.3391,0.3161,0.3114,0.3082,0.3017,0.3022,0.4647,0.7116,0.7399,0.7489,0.9947,0.9986,0.7789,0.7474,0.6595,0.9884,0.953,1.0628,0.9813,0.9723,2.0328,1.7482
debt-equity-ratio,0.4395,0.4647,0.4815,0.5406,0.7601,0.7656,1.5872,1.663,1.5029,2.5658,2.5941,5.19,3.0289,3.7109,2.5711,2.653,1.6298,1.315,1.4153,1.4976,0.4732,0.4427,0.4326,0.4262,0.3979,0.3973,0.7784,0.855,0.9167,1.0423,0.996,0.8689,0.7928,0.6948,0.637,0.5899,0.5531,0.532,0.4763,0.4663,0.459,0.4418,0.4426,0.882,2.4674,2.9071,3.0824,195.0688,742.1509,3.6805,4.5115,2.0468,90.3107,21.4383,-17.8902,55.4409,37.1681,-2.0416,-2.4295
gross-margin,99.424,99.1673,99.6498,99.0526,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
operating-margin,1.5027,-11.493,40.8914,5.6123,-12.7735,-42.7026,-2.2857,-3.695,9.561,5.7449,16.8264,36.0907,14.5213,-127.1822,-148.2128,-122.0453,-97.9988,37.0728,-14.9082,11.8783,-48.7779,-11.6511,-105.3478,-47.0034,-108.1408,-20.8128,3.7477,-131.4295,-241.755,7.8073,-79.4276,-57.4515,-107.7391,-56.641,-76.1716,-60.019,-31.257,-79.4452,-16.3069,-36.183,-38.8331,-15.575,-2.0332,-27.2387,0.5974,3.6394,-33.9646,-17.9554,26.0335,-515.6046,-853.102,-608.7112,-561.4509,-390.9029,-323.0334,-58.7938,-162.8318,-122.0072,-315.8694
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,2.0948,-10.3405,41.0247,5.604,-13.6958,-47.7397,-7.4762,-9.7335,-5.5209,-2.55,7.7409,29.4652,6.6269,-148.3909,-169.9978,-137.7926,-72.8324,30.2563,-27.9725,18.4337,-57.3679,-19.623,-119.1577,-56.2204,-126.1946,-29.6834,-4.0037,-55.5628,-330.5319,-2.5496,-103.2623,-61.8338,-129.7832,-72.03,-94.5382,-52.5927,-43.509,-107.0161,-32.2729,-44.9893,-44.9292,-11.9128,-4.8486,-31.8291,1.9007,1.5588,-33.2245,-50.3271,28.9198,-488.513,-809.2244,400.1319,-579.0962,-360.6858,-352.5615,-54.04,-203.4325,-185.6023,-398.5219
net-profit-margin,15.5832,-0.5348,28.4115,166.6077,-3.1356,-34.2726,-0.9833,-1.7414,-2.2068,-2.7478,7.7409,27.8926,6.6269,-147.7905,-170.627,-138.5139,-72.8324,29.6011,-26.7117,36.5928,-60.5406,-21.1665,-111.0756,-57.4607,-104.1764,-26.583,-3.8561,-13.2692,-324.4462,-2.5496,-103.2709,-61.8338,-129.7832,-72.0662,-94.5477,-52.9334,-43.509,-107.0246,-32.2729,-52.1993,-43.2632,-8.8087,589.7454,-34.6116,5.4747,-12.5812,-31.4884,-91.1227,-272.5894,-289.1162,-531.4286,-622.3494,-372.118,-49.6457,-352.5615,-54.04,-203.4326,-185.6023,-398.5219
asset-turnover,0.058,0.0569,0.1048,0.072,0.0647,0.0524,0.1111,0.1268,0.0945,0.1029,0.1068,0.2044,0.1315,0.0474,0.0421,0.0544,0.0497,0.1234,0.0655,0.0888,0.0555,0.0698,0.0337,0.0499,0.0267,0.0483,0.0784,0.0364,0.0239,0.1002,0.0494,0.0668,0.041,0.0469,0.0418,0.048,0.0497,0.0388,0.0499,0.0491,0.0393,0.0437,0.0436,0.0518,0.0504,0.0487,0.0453,0.052,0.1814,0.0145,0.007,0.0089,0.0173,0.0217,0.0329,0.088,0.042,0.0723,0.0424
inventory-turnover,0.0499,0.0737,0.0941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
