,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.2608,1.3332,1.4423,1.474,1.7201,1.653,1.5793,1.411,1.3151,1.3435,2.5219,2.4739,2.7257,3.0781,2.8345,2.17,2.5136,2.4886,2.4413,2.227,2.6096,2.468,2.4064,2.197,2.0196,2.1573,2.0968,1.9008,1.8714,1.745,2.6893,2.3811,2.4644,2.51,2.0499,2.0504,2.453,2.2735,2.1007,1.8196,1.8499,1.7849,1.6337,1.6486,1.6098,1.6445,1.5322,1.5096,1.4974,1.3593,1.2548,1.1991,2.5936,2.5854,2.5585,2.4915,2.5381,2.4674,2.216
long-term-debt-capital,0.3162,0.313,0.3193,0.3166,0.3133,0.3186,0.3205,0.3377,0.265,0.2756,0.2775,0.2417,0.2445,0.2529,0.2178,0.153,0.1644,0.1653,0.1804,0.1782,0.1466,0.1456,0.1484,0.1525,0.1225,0.1216,0.1453,0.1505,0.152,0.1602,0.1749,0.1851,0.1748,0.1804,0.1339,0.1393,0.1381,0.1306,0.1322,0.1398,0.1408,0.1503,0.1553,0.1604,0.1551,0.1589,0.1357,0.1404,0.0961,0.0446,0.0469,0.0487,0.0471,0.0464,0.0459,0.0495,0.0549,0.0621,0.0681
debt-equity-ratio,0.5019,0.484,0.4981,0.5101,0.4836,0.5102,0.5143,0.5748,0.4754,0.4807,0.4602,0.3852,0.3709,0.3621,0.3214,0.2791,0.276,0.2714,0.2797,0.269,0.1993,0.2194,0.2258,0.2455,0.2164,0.2151,0.2377,0.2494,0.2643,0.2906,0.3169,0.3439,0.2984,0.3014,0.2978,0.2965,0.2099,0.2205,0.2287,0.2874,0.2302,0.2944,0.3214,0.2788,0.3201,0.2999,0.2502,0.2202,0.1812,0.1503,0.1636,0.1677,0.0584,0.0647,0.0683,0.0694,0.0656,0.0749,0.0825
gross-margin,66.8725,66.2484,66.9597,65.8674,67.6184,66.7451,66.9449,64.0555,64.7583,68.9686,69.5542,68.8612,69.2144,71.1287,69.5172,68.1489,69.4539,69.8825,69.5983,67.9358,70.7641,69.0228,69.8868,67.5565,69.5932,69.2958,68.2719,65.8105,67.1769,68.783,69.5458,67.1609,68.3099,68.8378,70.4569,67.7832,69.3365,69.7978,71.0319,67.9053,70.5988,70.7986,71.709,71.2027,70.0145,71.1185,71.508,70.3328,71.4496,71.1982,70.8386,70.7134,72.5295,71.6531,72.1983,71.1499,72.7539,72.4025,72.7556
operating-margin,7.9454,34.2428,22.0868,15.3084,21.7368,23.8742,27.3927,12.6764,24.3766,25.203,31.3802,23.8816,29.6352,26.5339,30.2826,21.0993,24.1024,32.2764,32.0882,14.8077,36.8766,28.8587,29.942,14.9823,20.8649,26.811,24.3416,17.6558,21.0826,12.3521,31.2597,1.9563,25.6857,20.6182,27.886,14.2419,28.1605,27.5277,40.1766,15.7332,28.148,27.9743,30.8998,23.1656,26.9455,26.5958,29.3133,14.6143,21.8303,26.6407,24.2868,19.7924,27.5533,26.9625,35.5219,19.8493,27.7823,25.5916,30.6032
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,7.9454,34.2428,22.0868,15.3084,21.7368,23.8742,27.3927,12.6764,24.3766,25.203,31.3802,23.8816,29.6352,26.5339,30.2826,21.0993,24.1024,32.2764,32.0882,14.8077,36.8766,28.8587,29.942,14.9823,20.8649,26.811,24.3416,17.6558,21.0826,12.3521,31.2597,1.9563,25.6857,20.6182,27.886,14.2419,28.1605,27.5277,40.1766,15.7332,28.148,27.9743,30.8998,23.1656,26.9455,26.5958,29.3133,14.6143,21.8303,26.6407,24.2868,19.7924,27.5533,26.9625,35.5219,19.8493,27.7823,25.5916,30.6032
net-profit-margin,8.4568,27.2688,18.7253,14.9162,19.3336,18.9822,21.8252,-53.0478,19.1552,20.3142,24.8902,21.0648,23.9731,21.6265,25.4948,18.0506,19.6351,25.3893,24.8647,13.8107,25.7161,22.1903,26.0944,19.1719,16.9673,21.441,19.9772,14.6201,17.4056,8.5463,24.227,1.3411,20.0063,16.7259,21.4926,12.4137,22.8074,22.4984,28.9553,13.3285,22.1802,21.0513,23.3395,17.8764,20.7902,20.2249,22.2181,14.8775,17.0207,20.3622,17.1111,15.8456,20.7722,21.103,25.4387,16.6138,20.6174,20.279,22.1244
asset-turnover,0.1333,0.1326,0.1334,0.1333,0.1307,0.1341,0.1278,0.1284,0.1262,0.1233,0.1226,0.1282,0.127,0.1322,0.1283,0.1335,0.1283,0.1347,0.1351,0.14,0.1398,0.1442,0.1359,0.1383,0.1385,0.1438,0.144,0.1447,0.1434,0.1423,0.1389,0.143,0.1431,0.148,0.1495,0.152,0.1525,0.1661,0.1673,0.1748,0.1647,0.1743,0.1745,0.1788,0.1815,0.1867,0.1883,0.1971,0.1903,0.2026,0.2058,0.1939,0.217,0.2191,0.2091,0.2142,0.2176,0.2339,0.2357
inventory-turnover,0.7486,0.7492,0.728,0.8095,0.7593,0.7863,0.7337,0.8282,0.7273,0.6027,0.6093,0.6923,0.6463,0.6261,0.6523,0.7045,0.6366,0.6456,0.6533,0.7152,0.6413,0.7405,0.6811,0.7559,0.6578,0.7017,0.7221,0.8009,0.7167,0.6682,0.7228,0.8493,0.789,0.8065,0.7706,0.9372,0.8493,0.913,0.8531,1.0255,0.7963,0.8132,0.7932,0.8654,0.8723,0.8335,0.8276,0.9264,0.7894,0.8454,0.8688,0.8196,0.8204,0.8783,0.8519,0.9189,0.8354,0.8887,0.9166
receiveable-turnover,1.4005,1.4033,1.4184,1.4466,1.4485,1.4762,1.4125,1.497,1.4937,1.4183,1.4444,1.5477,1.5104,1.5323,1.5327,1.6593,1.5047,1.4862,1.5065,1.6617,1.5899,1.5905,1.4951,1.5671,1.4613,1.5393,1.5202,1.5526,1.5259,1.4988,1.4696,1.5362,1.5168,1.5113,1.4891,1.6006,1.456,1.5921,1.5603,1.7158,1.4672,1.5039,1.5284,1.5621,1.5676,1.5609,1.5595,1.6896,1.5953,1.5978,1.6181,1.5705,1.6655,1.6372,1.6937,1.7989,1.7207,1.7295,1.7492
days-sales-in-receivables,64.2622,64.1363,63.4509,62.2154,62.1349,60.9693,63.7183,60.1188,60.2519,63.4572,62.31,58.1526,59.5859,58.7372,58.7198,54.2395,59.8141,60.5566,59.7427,54.1607,56.6064,56.5853,60.1954,57.4323,61.5892,58.4695,59.2031,57.9684,58.9814,60.0473,61.2417,58.5844,59.3365,59.5517,60.4396,56.2299,61.8142,56.5303,57.6815,52.4524,61.3428,59.8445,58.8839,57.6149,57.411,57.6602,57.7103,53.2657,56.4168,56.3281,55.6208,57.3074,54.0393,54.9712,53.1396,50.0317,52.3038,52.0381,51.4526
roe,3.0115,9.2243,6.3591,5.091,6.0873,6.2873,6.9038,-17.8075,5.0879,5.321,6.2865,,5.8706,5.5152,6.1351,,4.693,6.3488,6.3644,3.6142,6.2005,5.5427,6.1725,4.752,4.272,5.502,5.2307,3.9598,4.1232,2.3298,6.3716,0.3819,5.2042,4.4679,5.8066,3.4324,5.9643,6.5259,8.5535,4.3607,6.639,6.9367,8.0085,6.3842,7.2375,7.1649,7.886,5.4803,5.8477,7.1448,6.2866,5.514,6.8026,6.9216,8.0369,5.412,6.8879,7.3588,8.4358
return-on-tangible-equity,-7.646,-25.2477,-19.3317,-16.6121,-26.7383,-22.5775,-21.5559,42.8966,-31.6356,-26.8486,27.5841,18.3923,19.4571,16.1986,17.8573,13.5329,13.8263,19.9638,22.1448,12.1799,16.5753,14.9497,17.6638,15.0978,16.132,19.5322,21.1978,18.8059,19.9257,14.3337,14.5515,0.956,11.7492,10.0905,13.8763,7.9043,13.7516,15.8473,21.4117,11.3694,17.8581,18.4633,23.5876,18.318,19.2857,19.3049,22.2209,16.3094,18.1159,22.0765,21.9971,20.3951,10.1314,10.2665,11.7095,7.8952,10.25,11.2649,13.0015
