,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,33.1448,13.234,8.3945,10.5842,2.1998,2.3394,1.4133,0.9923,0.9677,0.8731,0.7696,0.7179,0.6222,0.5744,10.8708,0.9636,12.9406,10.9602,10.5586,8.1285,10.7698,1.5351,1.5902,0.8598,0.5125,0.4473,0.5373,0.6722,0.5835,0.6845,0.8654,0.7385,0.6317,0.665,0.7022,1.1054,0.962,0.9955,1.2161,1.3066,1.1291,1.4412,1.2801,1.3302,1.6627,2.1544,2.2996,2.1571,1.935,1.9422,1.2568,1.3791,0.285,0.4244,0.4388,0.5653,0.5241,0.5084,0.6091
long-term-debt-capital,0.4299,0.3787,0.3636,0.5209,0.4629,0.4902,0.0323,0.045,0.0508,0.0593,0.0676,0.0797,0.0868,0.0951,0.3595,0.1431,0.4099,0.7441,0.8599,0.8897,0.8199,0.0245,0.0347,0.0583,0.0767,0.1378,0.2567,0.4229,0.5348,0.6285,0.6482,0.7778,0.9254,0.8491,0.8592,1.7735,,,0.7113,0.7275,,-0.002,-0.0037,-0.266,0.0809,0.0138,0.0162,0.0211,0.0327,0.0355,0.0278,0.0731,-1.302,-1.4795,-1.7852,2.8478,2.7548,2.4961,2.2177
debt-equity-ratio,0.7541,0.6354,0.5961,1.1344,1.1665,1.3008,0.5064,0.6088,0.6031,0.6308,0.6527,0.7105,0.7162,0.7347,0.5629,1.0222,0.6991,2.9316,6.2091,8.1612,4.6193,0.1105,0.1671,0.3022,0.4231,0.5802,0.8758,1.4076,1.7739,2.2844,2.1719,5.1144,16.6333,7.5042,8.1607,-3.385,-0.5606,3.6992,4.5958,3.8683,-0.0181,-0.0217,-0.0274,-0.3866,0.4545,0.0654,0.0669,0.074,0.1027,0.0949,0.0661,1.5382,-0.5756,-0.6072,-0.6528,-1.566,-1.5959,-1.6974,-1.8529
gross-margin,87.3146,90.375,91.1278,95.0411,96.8027,98.7406,98.5968,96.558,92.8539,96.7744,98.8349,92.4132,95.3791,96.3117,96.7789,95.8336,92.9383,85.8834,92.6448,82.5949,90.0087,88.8198,84.6409,91.0633,80.4844,87.3278,94.3095,82.9263,89.2863,92.4242,97.2498,84.0921,87.7548,78.2527,86.5246,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,85.7055,79.9331,76.7091,70.0825
operating-margin,-20.7917,-16.5286,1900.798,55.6285,51.1618,77.935,65.9597,56.1815,49.4172,46.4905,34.9062,50.6848,25.2833,20.332,50.9174,51.9889,48.5679,23.6996,22.9352,41.8975,23.5891,12.8017,31.9589,43.6113,23.6063,15.8038,33.7482,31.3311,-22.353,-31.6092,-14.8864,36.0516,-56.5929,-10.8535,-38.0647,-151.6498,-200.91,-62.1446,-67.573,8.83,9.7962,-61.3247,-77.2756,-592.3724,-121.0937,-117.2564,-244.1321,-139.3762,-159.2261,-1018.865,-12358.72,,,-1698.777,-491.2148,-4.9777,-14.3393,-14.2077,-42.6389
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-80.0992,-72.1495,1937.984,-95.2962,173.5015,106.1482,98.4953,60.7688,36.1678,29.6482,21.1604,18.9315,5.6016,-51.4881,32.2821,27.4949,41.1502,121.0338,-0.5068,30.4796,6.0175,11.6987,13.4729,13.6188,15.5709,39.7077,11.7587,6.9674,-0.8157,-69.488,-13.7154,38.5561,-72.3916,-3.7652,-105.4672,-40.2792,-146.5778,5.7383,-45.569,7.3775,13.3527,-58.9413,-79.0074,-597.0135,-116.8826,-123.2098,-235.9048,-142.8076,-131.8124,-844.7518,-11099.15,,,-1615.428,-469.6637,-10.2328,-22.7604,-19.448,-49.8905
net-profit-margin,-61.4761,-57.706,1532.373,-71.2871,147.5199,81.2501,80.6293,-13.8849,25.2464,21.6396,17.354,-8.1838,4.8615,-31.607,22.2882,29.9203,1125.162,127.9401,5.1637,30.6753,8.5487,15.0075,13.1407,12.6824,15.1096,63.5804,12.8315,7.7961,-3.0431,-44.0439,20.1029,36.2526,-72.7748,-5.6546,247.0483,114.2893,-151.7944,-4.8476,-46.1564,21.7031,22.8199,-21.9647,-54.0232,-562.0066,-345.3697,-133.826,-80.6935,102.9114,22.7779,12.8369,116732.4,,,-1501.223,-4880.885,-7.6249,-19.6263,-19.4851,-49.9446
asset-turnover,0.016,0.0139,0.0227,0.0473,0.0217,0.0485,0.0744,0.0752,0.0504,0.0437,0.0465,0.0635,0.036,0.0331,0.0506,0.0421,0.0339,0.0604,0.0555,0.0891,0.055,0.1062,0.1513,0.1407,0.1279,0.0962,0.1184,0.1308,0.0654,0.0558,0.0512,0.1073,0.0469,0.0586,0.029,0.0521,0.0693,0.0458,0.0446,0.0985,0.0675,0.0588,0.0678,0.0723,0.0357,0.03,0.0293,0.0333,0.0259,0.0062,0.0004,,,0.0037,0.0101,0.1135,0.1046,0.1518,0.1181
inventory-turnover,0.4794,0.2495,0.3241,0.4148,0.1794,0.1191,0.0748,0.3972,0.4763,0.1326,0.0447,1.5065,0.2481,0.1877,0.5457,0.5407,1.0238,3.2419,0.3807,14.881,1.3968,1.4517,1.2576,0.9461,1.3808,0.536,0.2336,1.3718,0.2681,0.1612,0.1152,1.5819,0.3587,0.6257,0.1246,,,,,,,,,,,,,,,,,,,,,0.5468,0.9351,1.6857,1.6046
