,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.6976,1.7128,1.6666,1.7212,1.7163,1.6305,1.6423,1.6624,2.2813,1.2481,1.2501,1.2072,1.5114,1.8694,1.5288,1.5156,1.5605,1.8574,2.029,1.9465,2.1029,1.8216,2.043,2.0773,2.3614,2.3994,2.2577,2.2162,2.1846,2.1463,2.1056,1.9827,2.079,2.3295,2.3115,2.2003,2.2847,2.3158,2.121,2.0413,2.0303,2.2741,2.2456,2.1997,2.3967,2.4158,2.3631,2.1367,2.0373,2.0244,1.8449,1.6681,1.3455,1.7283,1.5623,1.7337,1.8497,1.7117,1.5456
long-term-debt-capital,0.3378,0.3482,0.3585,0.3618,0.3553,0.3577,0.3608,0.3673,0.3827,0.1496,0.155,0.1633,0.2871,0.282,0.1759,0.1827,0.1862,0.1776,0.1783,0.1831,0.1845,0.0184,0.0188,0.0201,0.0211,0.0229,0.0238,,,,,,,,,,0.0006,0.0006,0.0005,,,0.0,0.0,0.1274,0.0,0.0,0.0,,0.0015,0.0066,0.0095,0.018,0.0254,0.035,0.0451,0.0565,0.3214,0.3411,0.3623
debt-equity-ratio,0.5128,0.5499,0.5783,0.5858,0.5998,0.6256,0.6116,0.6688,0.6359,0.5508,0.5624,0.5623,0.5167,0.4394,0.2342,0.2413,0.244,0.2297,0.2307,0.238,0.2397,0.0212,0.0218,0.0231,0.0241,0.0261,0.0275,,,,,,0.0006,0.0006,0.0006,0.0005,0.0011,0.0011,0.001,,,0.0,0.0,0.146,0.0013,0.0014,0.0103,0.0154,0.0249,0.0336,0.0428,0.0549,0.0607,0.0725,0.0851,0.0996,0.5981,0.6499,0.7096
gross-margin,3.6817,3.2896,2.0587,0.7107,4.2546,3.1773,2.6411,5.3338,5.569,2.97,4.5534,7.4032,5.659,3.5049,4.6083,7.3466,1.0696,3.1492,3.6681,6.1733,5.295,3.9185,7.3201,4.9027,6.2642,8.3591,7.7389,8.8971,8.1363,7.5055,6.5044,8.2066,7.4425,10.2685,10.2445,7.7308,11.5294,10.0844,7.8049,10.2728,9.0488,6.3751,5.272,7.3491,7.5736,7.4403,6.0964,8.9502,8.8266,8.5935,9.4851,10.7039,10.6427,10.9114,10.8072,4.457,13.9269,12.3609,18.9224
operating-margin,1.8141,1.4169,0.2934,-1.2061,2.4716,1.3082,0.9566,3.3974,3.583,1.0159,2.4873,5.1415,3.5783,1.3079,2.3696,5.1708,-1.1757,0.9877,1.2729,3.6892,2.7,1.387,5.227,2.7975,4.2434,6.3483,5.7711,7.0524,6.2277,5.6244,4.5928,6.0811,5.2485,8.2255,8.2305,5.9857,9.6701,8.1651,5.9614,8.3873,7.2283,4.7211,3.4895,4.9576,5.1232,5.2293,3.886,6.5226,6.2475,5.6113,6.6819,7.7172,7.5935,8.0705,8.1469,9.4703,11.2498,8.4879,9.9076
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,1.5934,1.1865,0.0558,-1.4918,2.2099,1.0147,0.6303,2.9737,3.1686,0.7461,2.2422,4.9269,3.4006,1.1961,2.2743,5.0857,-1.2617,0.888,1.1547,3.5677,2.4143,1.1923,5.1727,2.8148,4.1864,6.2968,5.7399,7.0362,6.2042,5.6593,4.5685,6.0029,5.2682,8.2777,8.2801,6.0293,9.7187,8.1946,5.9795,8.4283,7.3129,4.8905,3.7936,5.5124,5.6617,5.6402,4.5438,7.3337,7.1189,6.4758,7.3667,8.2408,8.1693,8.9737,9.9899,19.4371,10.9414,7.7971,8.9894
net-profit-margin,1.1632,0.7612,0.0248,-1.5161,1.4645,0.7483,0.6344,3.217,2.2862,0.3876,1.3593,2.7842,1.9742,0.3399,1.185,2.1509,-0.6561,0.4011,0.7429,2.195,2.9391,0.5615,2.6612,1.834,5.4066,3.7354,3.4144,4.4566,8.299,3.3487,2.6888,4.122,4.5651,4.9018,4.951,4.395,5.9687,4.7769,3.5051,6.0821,4.6416,2.8938,2.1888,3.5637,3.5781,3.3322,2.6517,4.757,4.4911,3.715,4.3057,4.8752,4.9445,5.0695,5.5705,11.9563,7.3957,4.6749,5.1008
asset-turnover,0.5821,0.581,0.5664,0.6192,0.608,0.5768,0.5838,0.573,0.5332,0.577,0.5344,0.517,0.5695,0.5289,0.5424,0.6132,0.5552,0.5351,0.4606,0.4749,0.4448,0.4757,0.5317,0.5731,0.5343,0.5423,0.5275,0.5491,0.5398,0.5718,0.5668,0.5379,0.5007,0.4881,0.4737,0.4835,0.5033,0.5213,0.5229,0.4989,0.4732,0.4673,0.4658,0.4668,0.4342,0.4414,0.4508,0.4585,0.414,0.357,0.3912,0.382,0.3716,0.3606,0.3674,0.4081,0.3514,0.3687,0.376
inventory-turnover,36.4171,37.9186,36.1324,44.8708,40.3008,34.8357,46.3964,39.1755,27.3873,23.0505,19.9791,19.8297,19.9269,17.8353,19.0719,23.1637,26.3673,26.5085,27.3078,23.411,21.3768,19.27,19.0156,19.3268,17.2733,15.4841,15.8841,16.5417,17.6447,19.4248,16.7852,16.7376,,,,24.7685,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,2.2503,2.2066,2.2305,2.4398,2.2583,2.1564,2.413,2.5643,2.2804,2.2578,2.059,2.0822,2.5949,2.2966,2.5017,2.9599,2.8529,2.8374,2.7652,2.7776,3.05,2.9417,4.7664,4.2329,5.5555,5.0959,5.614,6.0055,6.573,6.7023,5.7827,5.9328,6.002,3.8155,6.1775,7.0063,7.5095,6.3455,6.32,6.2823,5.6683,6.236,7.3479,8.0631,7.1889,7.9548,7.987,9.9163,7.6171,6.7833,6.4897,6.5482,7.2493,11.5569,9.8477,10.2866,7.37,10.0394,7.5623
days-sales-in-receivables,39.994,40.7858,40.3496,36.888,39.8528,41.7354,37.2978,35.0975,39.4664,39.8612,43.7103,43.2242,34.6832,39.1879,35.9763,30.4064,31.5463,31.7194,32.5469,32.4025,29.5085,30.5944,18.8821,21.2621,16.2,17.6613,16.0312,14.9863,13.6924,13.4282,15.5637,15.1699,14.995,23.5882,14.5689,12.8456,11.9848,14.1832,14.2405,14.326,15.8778,14.4323,12.2484,11.162,12.5193,11.314,11.2684,9.076,11.8155,13.2678,13.8682,13.7443,12.4149,7.7875,9.1392,8.7493,12.2116,8.9647,11.9012
roe,1.5614,1.0203,0.0333,-2.1759,2.0383,1.0275,0.8775,4.2702,2.7634,0.4308,1.5439,3.2533,2.4317,0.1209,1.232,2.343,-0.7218,0.3719,0.6195,1.7419,2.2524,0.3694,2.0727,1.5989,4.2219,2.9883,2.7194,3.6372,6.673,2.9814,2.3822,3.5183,3.5648,3.5781,3.4889,3.1692,4.4114,3.688,2.7695,4.6002,3.3548,2.0626,1.5631,2.5971,2.3651,2.2523,1.8344,3.4464,2.903,2.0344,2.6398,2.945,2.9197,2.9063,3.349,8.2314,5.4573,3.7081,4.4008
return-on-tangible-equity,13.0886,11.3682,0.7558,-79.308,38.1471,22.2867,32.2382,2842.198,11.0637,2.1179,8.254,20.8694,14.5147,0.3925,4.1272,8.0217,-2.5015,1.1252,1.5822,4.5526,5.8848,0.9268,3.9345,3.0891,7.1163,5.2806,4.9033,6.6615,12.5324,6.1574,5.15,7.957,7.7351,7.1331,6.8106,5.9002,8.4253,7.4624,5.8957,9.5218,7.236,3.8462,3.0018,4.8118,4.0995,3.9861,3.3476,6.505,5.8353,4.3483,6.0008,7.166,14.5794,6.9735,9.1224,16.677,15.0244,12.8532,21.6722
roa,0.6771,0.4423,0.014,-0.9388,0.8904,0.4316,0.3704,1.8432,1.2485,0.2003,0.715,1.4641,1.1154,0.0596,0.6502,1.2074,-0.362,0.1984,0.3378,0.9544,1.2422,0.2318,1.3411,1.0511,2.8888,2.0259,1.8011,2.447,4.4796,1.9147,1.524,2.2174,2.2859,2.3924,2.3452,2.1252,3.0038,2.4904,1.8328,3.0343,2.1963,1.3522,1.0195,1.6637,1.5538,1.471,1.1954,2.1811,1.8594,1.3261,1.6846,1.8622,1.8375,1.8279,2.0464,4.8725,2.5452,1.6591,1.9166
roi,1.0339,0.665,0.0214,-1.3887,1.3141,0.66,0.5609,2.702,1.7059,0.3664,1.3046,2.7219,1.7335,0.0868,1.0153,1.915,-0.5874,0.3058,0.509,1.423,1.8369,0.3626,2.0337,1.5668,4.1327,2.9199,2.6546,3.6372,6.673,2.9814,2.3822,3.5183,3.5648,3.5781,3.4889,3.1692,4.409,3.6858,2.7681,4.6002,3.3548,2.0626,1.563,2.2663,2.365,2.2522,1.8343,3.4464,2.8986,2.021,2.6148,2.8919,2.8456,2.8047,3.1978,7.7666,3.7034,2.4431,2.8064
book-value-per-share,55.6816,54.681,53.8173,53.6997,54.9063,53.7068,52.9959,52.7433,50.0251,48.2936,47.7073,46.7627,44.7807,44.1358,43.8992,43.1793,39.9186,42.7393,42.4979,42.085,41.3971,40.6463,42.6804,41.8774,41.3303,39.2397,38.0845,37.1927,35.918,33.068,31.953,31.1071,30.8966,31.0537,30.7495,30.7565,30.2641,28.7778,27.6395,28.1361,26.2705,25.2921,21.1782,24.5385,24.5508,23.9189,23.2173,22.617,21.6879,20.9022,20.3128,20.2045,19.2623,18.7315,18.0121,17.3048,16.4928,15.4304,14.7684
operating-cash-flow-per-share,5.8452,1.2024,1.463,6.5845,1.3646,0.8314,3.1638,6.6396,4.5874,0.1596,-1.2947,2.7612,-0.3149,-4.8386,-1.2999,6.0848,7.1559,4.2081,1.6726,6.9338,7.1302,4.9361,2.9527,6.6183,6.1826,3.1791,1.6594,6.5022,3.9818,2.7071,1.0657,3.6063,3.1579,-0.0592,0.8696,8.9702,7.4414,3.7334,1.7184,6.1716,2.848,1.1472,1.6117,6.7078,5.8142,3.0973,0.3086,4.884,3.828,2.2626,1.1746,5.0999,3.3815,1.809,0.5212,4.9875,3.841,2.4406,1.0247
free-cash-flow-per-share,4.0549,0.0637,0.9409,3.8574,-0.6911,-0.6301,2.4024,4.2979,2.8489,-0.9552,-1.7498,0.2409,-2.1619,-6.0771,-1.9368,3.3185,4.9623,2.8019,0.8622,4.6549,5.2729,3.7833,2.5585,4.2861,4.6633,2.1901,1.2477,4.0077,2.09,1.3766,0.5429,1.8549,1.894,-0.8959,0.5698,7.6298,6.499,3.092,1.4332,5.2336,2.1175,0.7912,1.4658,5.7999,5.226,2.6833,0.1108,3.6903,3.0298,1.9444,1.0367,5.0151,3.5661,2.153,0.9488,5.8784,3.4585,2.2072,0.8877
