,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,12.5953,14.085,14.9433,17.5323,13.9262,19.6698,4.1639,5.8191,4.1364,3.9685,4.8524,5.8978,3.7025,4.015,5.2293,5.7155,1.376,3.7279,4.6033,4.4998,4.0239,3.5353,3.8426,2.6255,2.5699,2.5967,3.2088,4.0062,4.9942,1.6914,1.5536,1.0043,1.0666,6.3501,9.1605,5.5216,3.848,3.3853,3.0679,2.7034,6.042,7.0219,7.5175,5.9411,8.4557,6.9797,7.694,5.3346,3.2855,3.984,4.4097,3.2313,5.7321,4.9873,4.9806,7.4695,13.7629,7.5404,8.3286
long-term-debt-capital,0.209,0.1804,0.1733,0.1257,0.121,0.1168,0.8082,0.7363,0.7441,0.9864,0.8458,0.7342,1.3827,1.1905,1.0011,0.9742,0.0331,0.7847,0.626,0.7804,0.7341,1.3696,1.0802,3.0837,1.6,1.4298,1.0197,0.7439,0.5904,0.0906,0.0788,0.0687,0.062,0.4788,0.4514,0.719,0.6848,0.6801,0.6901,0.6954,0.6882,0.6424,0.596,0.5531,0.7555,0.7004,0.6568,0.6109,0.6635,0.6392,0.6137,0.5958,0.6146,0.6022,0.567,0.5728,0.5023,0.3158,0.3047
debt-equity-ratio,0.2705,0.2225,0.2106,0.1438,0.1377,0.1323,4.2147,2.7919,2.9378,73.2717,5.5514,2.7627,-3.6478,-6.3422,-909.9527,38.5018,3.3856,3.8044,1.7437,3.6786,2.7604,-3.7055,-13.4621,-1.5192,-2.6668,-3.3269,-51.8191,2.9054,1.4414,1.7245,1.4084,1.1604,0.9974,0.9186,0.8228,2.5586,2.1726,2.1258,2.2272,2.2835,2.2072,1.7961,1.4751,1.2374,3.103,2.3511,1.9264,1.5698,2.3683,2.1294,1.9083,1.9295,1.7406,1.6519,1.4286,1.3422,1.0102,0.4626,0.4421
gross-margin,83.1371,78.4774,80.7243,81.2659,82.7714,99.4923,82.5188,89.7838,96.2898,74.012,75.2063,82.3659,80.6445,76.4771,84.936,78.7554,88.7243,53.5148,92.239,67.7884,93.0609,82.0854,60.0071,71.2322,78.8586,85.2017,49.3088,65.5254,60.743,69.5871,51.4903,65.467,81.3876,53.0321,71.1213,77.4088,83.5333,88.5135,87.0747,77.418,39.998,20.0878,42.0657,64.0391,75.0502,66.0262,37.1699,63.4379,51.2491,40.0913,33.516,41.145,46.8226,38.9386,68.9388,66.0959,74.6933,71.6322,73.5067
operating-margin,-337.9424,-475.9596,-427.6345,-251.833,-355.2842,89.5086,-228.1524,-25.1755,45.4364,-146.4512,-220.1431,-85.8344,-90.5466,-116.9586,-16.1068,-74.5847,0.6989,-191.823,39.5612,-191.7348,60.4504,-80.3704,-184.1182,-115.2507,-10.7127,-96.2879,-196.0703,-205.1499,-178.6878,-113.9503,-211.3321,-218.4005,-78.8311,-197.7035,-299.7345,-45.3259,-16.414,4.3864,-10.1032,-14.0865,-282.2949,-234.6782,-311.9967,95.7782,-161.2062,-163.5116,-209.5288,56.8334,-34.7508,-42.4595,-30.546,-57.4531,-38.6854,-104.9632,-114.555,-330.6589,-64.2763,-92.6445,-84.5511
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-337.073,-472.6013,-423.4109,-251.2179,-349.5533,89.669,-251.2678,-35.2419,39.9358,-172.8064,-257.7361,-111.498,-118.5739,-147.937,-32.8301,-137.4143,-13.5292,-231.6447,31.28,-239.51,53.3247,-113.7797,-232.7146,-147.7685,-26.8433,-125.6364,-238.4412,-250.4445,-235.3085,-144.3675,-228.2746,-233.0313,-88.5769,-209.5724,-317.6034,-49.2475,-22.236,-1.1418,-17.5166,-19.0982,-304.2845,-248.4986,-328.9053,266.0741,-171.4726,-163.3645,-202.541,60.5887,-33.0605,-41.355,-29.9038,-54.3989,-33.4357,-104.3306,-115.5807,-329.6006,-65.4536,-94.2627,-91.8264
net-profit-margin,-338.1751,-471.4089,-419.9277,-246.6028,-346.3115,89.3118,-251.9649,-35.4325,39.8037,-173.0926,-258.274,-112.6809,-118.9564,-148.3246,-33.1137,-137.5082,-13.6826,-232.3684,31.0843,-233.6488,53.138,-114.4636,-233.6806,-153.018,-27.1602,-126.2418,-239.3627,-250.2884,-236.5142,-144.7602,-228.9654,-237.5807,-88.9168,-209.9186,-318.9132,-49.8301,-22.969,-1.2147,-18.4433,-19.6775,-302.915,-246.9125,-327.5358,270.8073,-172.7599,-163.5949,-203.6064,59.3587,-33.0605,-41.7343,-30.1979,-55.5834,-33.4357,-104.3306,-115.5807,-329.184,-65.4536,-94.2627,-91.8264
asset-turnover,0.014,0.0111,0.013,0.0185,0.0123,0.4702,0.0765,0.1876,0.2627,0.0727,0.0468,0.0658,0.0855,0.0708,0.1197,0.079,0.1335,0.0496,0.2179,0.0443,0.2786,0.0596,0.0406,0.0717,0.159,0.082,0.0514,0.0425,0.034,0.0354,0.0258,0.026,0.0418,0.0258,0.016,0.0869,0.0755,0.0802,0.0606,0.0678,0.0226,0.0275,0.0192,0.0506,0.0377,0.0335,0.0311,0.0907,0.0763,0.0937,0.1191,0.091,0.0742,0.0728,0.0344,0.0383,0.0384,0.0411,0.0399
inventory-turnover,0.3591,0.3805,0.4619,0.6556,0.3597,0.4647,0.6226,0.9093,0.4156,0.8166,0.471,0.5945,0.654,0.7511,0.7884,0.7372,0.653,1.0405,0.6749,0.4863,0.7884,0.362,0.6143,0.6661,0.8541,0.2447,0.6344,0.399,0.4314,0.4895,0.6172,0.4306,0.4729,0.8309,0.2786,1.4089,0.5449,0.5001,0.4936,1.3613,0.6869,1.0266,0.4201,1.0941,0.5424,0.6818,1.1391,1.9733,1.5987,2.2922,3.3704,2.8072,1.974,2.2634,0.2711,0.5985,0.6995,0.6337,0.7066
receiveable-turnover,0.7091,0.6251,0.6579,0.9216,0.8693,30.8004,2.436,19.0399,46.1461,8.4076,15.8006,2.3887,2.5501,1.1797,1.484,1.9737,20.2131,6.1579,37.7127,5.4206,2.8839,9.3577,10.6582,13.9731,13.366,5.6054,6.3077,3.6427,4.7077,2.0847,1.6615,3.196,2.096,2.0486,5.231,1.8052,6.8296,4.5059,4.3115,8.1252,1.615,1.5329,1.6755,2.5404,2.5178,1.6906,1.4239,3.0398,1.5303,1.3229,1.313,1.4827,1.8409,1.3491,1.6613,2.6317,2.4984,2.7326,4.4993
days-sales-in-receivables,126.9235,143.9807,136.789,97.6541,103.5347,2.922,36.9465,4.7269,1.9503,10.7046,5.696,37.6774,35.2931,76.2918,60.6455,45.5989,4.4526,14.6154,2.3865,16.6034,31.2082,9.6177,8.4442,6.441,6.7335,16.0561,14.2684,24.7068,19.1174,43.1722,54.1685,28.1599,42.9385,43.9328,17.2051,49.8561,13.1779,19.9737,20.8746,11.0767,55.7273,58.7134,53.7164,35.428,35.7456,53.2342,63.2053,29.6068,58.8138,68.0342,68.5428,60.7021,48.8882,66.7121,54.1759,34.1979,36.0233,32.9359,20.0032
roe,-6.6372,-7.0583,-7.255,-5.7181,-5.3708,52.2174,-164.3564,-38.5139,72.3261,-1768.27,-142.7208,-47.8855,63.7023,123.826,7088.544,-842.075,-21.0048,-150.0246,43.7488,-125.7379,149.5298,92.2992,471.0053,53.0116,32.9214,105.423,2101.661,-112.5654,-45.6793,-25.9177,-25.2925,-18.955,-10.4282,-14.4785,-12.8126,-24.9057,-8.1452,-0.472,-5.8518,-7.4985,-29.1866,-24.5555,-19.97,40.3788,-34.0949,-23.2253,-23.1596,18.2066,-10.8951,-14.5802,-12.1891,-17.1122,-7.7892,-23.6865,-10.9095,-33.1198,-5.4814,-6.3875,-5.8929
return-on-tangible-equity,-6.9967,-7.423,-7.6115,-5.9846,-5.6105,54.4567,525.8102,-298.6313,794.5582,81.8861,201.1402,-363.0344,29.9431,41.9889,25.396,77.2591,21.9051,127.1847,4206.503,113.727,-241.1127,29.1764,53.5291,28.6405,13.0516,36.5211,69.5934,179.5137,-231.2513,-61.4614,-47.795,-30.9084,-15.5986,-20.8159,-17.6001,-159.4522,-28.6113,-1.5653,-21.6968,-29.676,-104.6218,-59.2806,-38.4268,67.5583,-131.2009,-52.9233,-42.8998,28.7057,-20.7917,-25.6872,-19.9322,-26.796,-11.996,-35.6405,-15.465,-46.0733,-7.9042,-9.3726,-8.476
roa,-4.7315,-5.2346,-5.4703,-4.5676,-4.2747,41.9984,-19.2822,-6.6473,10.458,-12.5817,-12.0847,-7.418,-10.1681,-10.4952,-3.964,-10.8569,-1.8259,-11.5307,6.7747,-10.3444,14.8049,-6.8259,-9.4866,-10.968,-4.3189,-10.3554,-12.2936,-10.6322,-8.0426,-5.1291,-5.915,-6.1817,-3.7137,-5.4231,-5.115,-4.3321,-1.7336,-0.0974,-1.1176,-1.3338,-6.8413,-6.7799,-6.2867,13.698,-6.5167,-5.4759,-6.3223,5.3843,-2.5221,-3.9106,-3.597,-5.0581,-2.4815,-7.5961,-3.9774,-12.6071,-2.5129,-3.8775,-3.6636
