,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
current-ratio,16.5153,14.2415,13.6832,3.2477,,,,
long-term-debt-capital,0.1094,0.1618,0.1284,0.3168,,,,
debt-equity-ratio,0.1384,0.2026,0.1473,0.7949,,,,
gross-margin,100.0,100.0,100.0,100.0,,,,
operating-margin,-1348.791,-1130.781,-2980.545,-1216.302,,,,
ebit-margin,,,,,,,,
pre-tax-profit-margin,-1313.229,-1116.845,-1894.164,-1922.384,,,,
net-profit-margin,-1313.229,-1116.845,-1894.164,-1922.384,,,,
asset-turnover,,,,,,,,
receiveable-turnover,0.5958,0.9746,1.103,1.0,,,,
days-sales-in-receivables,151.0668,92.343,81.5953,90.0,,,,
roe,-11.3125,-16.5442,-9.5588,6.801,,,,
return-on-tangible-equity,-11.3125,-16.5442,-9.5588,-83.7414,,,,
roa,-9.4747,-12.9341,-7.7238,-28.7435,,,,
roi,-10.0746,-13.8679,-8.3318,-57.2122,,,,
book-value-per-share,2.8437,1.7994,2.0788,12.3172,,,,
operating-cash-flow-per-share,-0.6754,-0.3564,-3.2145,-13.5119,-8.8995,-3.5308,,-7.8533
free-cash-flow-per-share,-0.6907,-0.3598,-3.2369,-13.5529,-8.937,-3.5389,,-8.1279
