,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-06-30
current-ratio,1.4044,1.3406,1.0799,1.1934,1.3328,0.9549,0.7742,0.8311,0.8036,0.7152,0.6809,0.6492,1.2753,1.4196,1.5155,1.473,1.4733,2.0219,2.1309,2.123,2.0202,1.8852,1.7346,1.6887,1.5963,2.5218,,,,,
long-term-debt-capital,-1.2356,-0.007,-0.0104,-0.0058,-0.0028,-0.0049,-0.0062,-0.0069,-0.0049,-0.0038,-0.0049,-0.0052,-0.0048,-0.0072,-0.0321,-0.0485,-0.0665,-0.0051,-0.0052,-0.006,-0.0061,-0.0065,-0.0064,-0.0057,0.2925,0.2242,,,,,
debt-equity-ratio,-0.5638,-0.039,-0.263,-0.1206,-0.0548,-0.0751,-0.1825,-0.2187,-0.1391,-0.1409,-0.2725,-0.2565,-0.0104,-0.0099,-0.0334,-0.0479,-0.0639,-0.0058,-0.0067,-0.0129,-0.0124,-0.0137,-0.0128,-0.0115,1.2902,0.4451,,,,,
gross-margin,69.9048,68.8525,51.7628,52.8933,71.5863,-494.3621,52.1444,51.2572,51.0001,1348.389,53.3316,50.9027,55.7883,59.1127,62.4692,61.3956,59.7087,58.9042,60.7161,62.1031,60.7423,63.3756,64.0405,65.1825,71.9315,73.6489,72.466,71.8174,72.6882,,
operating-margin,27.7924,26.9275,20.3039,23.4276,32.3405,-248.5399,23.1839,64.4835,18.0457,625.7092,20.814,20.8204,23.1479,17.5257,25.0304,24.0317,25.2076,24.5058,26.3297,26.3244,28.8455,26.4684,30.8181,29.3185,45.2888,43.2338,44.6879,40.7204,42.5949,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,26.637,24.6337,20.0754,25.2728,32.3614,-241.6315,21.1213,61.0788,18.7882,598.9952,20.7089,79.111,25.9937,19.5142,27.1538,25.2577,26.3234,21.12,28.2952,28.0936,30.831,29.6773,49.3768,31.4783,47.092,44.5967,45.7747,42.4111,44.1083,,
net-profit-margin,239.3211,-90.853,62.8574,164.4844,-232.8532,757.9456,-24.3423,68.3523,86.1395,-2139.574,-21.2218,111.6527,22.4412,33.7219,100.4282,-18.6455,173.9635,-31.5419,-143.2251,-13.221,-162.8308,208.6878,225.7285,-1777.524,-0.1979,-0.3313,1.8905,0.9645,1.1361,,
asset-turnover,0.1166,0.1231,0.1575,0.1595,0.1163,-0.0184,0.1854,0.1773,0.156,0.0058,0.1462,0.137,0.1658,0.1625,0.161,0.1631,0.16,0.1742,0.1758,0.1741,0.1787,0.1889,0.188,0.1907,0.461,0.4017,,,,,
inventory-turnover,1.7387,1.9301,3.1491,2.8376,1.2184,-4.8153,3.5567,3.2308,3.3223,-3.6301,3.6344,2.6795,3.9932,4.2321,3.8248,3.723,3.422,3.3136,3.4435,3.4155,4.0045,4.1415,4.2077,4.5133,5.1827,4.9776,,,,,
receiveable-turnover,1.916,1.8811,2.0469,2.1374,1.6055,-0.2283,2.4432,2.4009,2.2463,0.0918,2.3419,1.9798,2.1685,2.0871,2.3156,2.3324,2.3319,2.6892,2.5871,2.8742,2.83,3.4844,3.1198,3.0414,3.8823,3.9703,,,,,
days-sales-in-receivables,46.9717,47.8454,43.9694,42.1065,56.0586,-394.1821,36.8372,37.4865,40.0657,980.4948,38.4305,45.4602,41.5031,43.1229,38.8667,38.5872,38.5946,33.4673,34.7881,31.3128,31.8019,25.8293,28.8477,29.5915,23.1824,22.6682,,,,,
roe,-61.7634,-8.1449,-12.2653,-11.7682,-4.2628,-7.0826,-6.7428,-2.0819,-4.7042,-4.451,-5.0675,-18.28,-3.156,-2.5804,-3.4606,-2.4931,-1.9873,-1.0282,-2.3546,-2.4477,-2.2875,-2.6973,-3.4602,-1.4773,146.2999,-1.0248,,,,,
return-on-tangible-equity,-5.699,-3.4876,-3.9901,-4.8701,-2.6293,-3.9319,-3.2194,-0.8962,-2.3686,-2.5108,-2.6332,-9.2378,-2.2394,-1.9019,-2.5806,-1.93,-1.5637,-0.9507,-2.1734,-2.2332,-2.0951,-2.587,-3.3465,-1.4357,-663.022,-6.6053,,,,,
roa,2.7341,2.7331,2.7495,3.9628,3.3129,4.3713,3.336,0.8521,2.4204,2.9502,2.7452,9.4102,3.0744,2.714,3.8576,3.4114,3.0877,2.0952,4.8389,4.5943,5.0577,5.3449,8.4992,4.6984,21.5637,-0.1331,,,,,
roi,-138.0808,-8.202,-12.3927,-11.836,-4.2747,-7.1173,-6.7844,-2.0963,-4.7272,-4.4679,-5.0926,-18.3755,-3.1713,-2.5989,-3.5715,-2.614,-2.1194,-1.0334,-2.3669,-2.4623,-2.3015,-2.715,-3.4824,-1.4857,103.5054,-0.7951,,,,,
book-value-per-share,-0.9179,-6.817,-4.7614,-6.8106,-14.6713,-10.722,-8.541,-6.9328,-9.2287,-11.9379,-10.1194,-9.6252,-12.8838,-13.7303,-14.5602,-17.0137,-18.2784,-21.6457,-21.2384,-18.635,-19.6639,-17.05,-20.3279,-24.0338,13.6691,13.7569,,,,,
operating-cash-flow-per-share,0.8471,8.1869,2.8522,1.5883,1.2087,3.6967,6.9072,1.4832,0.5358,7.7867,5.4272,0.9792,0.2926,2.5564,1.8683,3.2406,0.1561,10.2031,6.8489,4.3192,1.4169,14.3613,8.8675,6.1318,11.8699,65.4422,45.6392,26.7419,9.4148,,
free-cash-flow-per-share,0.7022,7.0423,2.3089,1.2345,0.7378,3.0237,5.688,1.2058,0.4169,6.3699,4.4002,0.7363,0.1739,2.0266,1.4912,2.3054,0.0383,8.2207,5.4805,3.4085,0.9733,12.1867,7.6437,5.3282,9.6842,58.0429,40.7931,23.5904,7.4025,,
