,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31
current-ratio,14.3299,8.0683,9.51,11.8472,7.5624,8.3558,5.4777,8.4651,3.6382,4.8173,6.0435,6.3354,7.334,7.9183,7.1715,8.4772,9.2666,8.3948,3.1521,4.6779,6.0362,6.823,5.8314,,3.9272,
long-term-debt-capital,0.1609,0.3388,0.2729,0.1649,0.0458,0.0555,0.1403,0.1809,0.4226,0.3719,0.2816,0.2358,0.2013,0.1771,0.1048,0.1026,0.0972,0.1139,0.3366,0.2774,0.2345,0.2101,0.0873,,0.3916,
debt-equity-ratio,0.2045,0.5445,0.3996,0.1975,0.1036,0.0955,0.2076,0.2327,1.0499,0.7503,0.4453,0.318,0.2526,0.2158,0.1775,0.158,0.1557,0.1587,0.6174,0.4037,0.3081,0.2784,0.1313,,0.7465,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,110.8477,86.4127,99.6641,103.2473,116.4808,105.939,103.8012,100.3764,,,
operating-margin,-2994.838,-1185.57,-2421.127,-1505.348,-737.7382,-695.1804,-563.5135,-876.3542,-410.3982,-398.7859,-593.6465,-179.5314,-196.0947,-497.1692,-448.5215,-132.8253,-858.7938,-1160.918,-1239.717,-1024.535,-1255.538,-957.7485,-628.9838,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-2256.597,-1269.159,-2444.718,-1361.566,-700.9847,-663.3115,-542.8694,-1060.178,-465.6195,-430.3723,-610.4185,-153.0938,-209.0431,-481.0829,-506.2165,-472.8837,-821.3969,-1169.653,-1187.344,-943.6183,-964.687,-901.3158,-673.1493,,,
net-profit-margin,-2256.597,-1269.159,-2444.718,-1361.194,-699.9683,-675.1475,-540.2242,-1063.235,-453.3186,-430.3723,-610.4185,-161.242,-211.4943,-473.6014,-519.1851,-458.2331,-820.4445,-1169.597,-1141.882,-0.6196,-904.8956,-862.8655,-669.3224,,,
asset-turnover,0.0022,0.0098,0.0042,0.0059,0.0112,0.0099,0.0181,0.0123,0.0163,0.0313,0.0196,0.048,0.0339,0.019,0.0175,0.0156,0.0124,0.007,0.0118,0.0127,0.0093,0.0098,0.0115,,,
inventory-turnover,,,,,,,,,,,,,,,,,1.0414,,,,,,,,,
receiveable-turnover,10.3564,6.969,2.4642,6.9013,5.7029,2.9412,3.2904,1.6293,1.162,0.8496,1.8977,0.9947,0.6648,0.5884,0.7619,0.9896,0.431,0.3032,0.2431,0.3063,0.2825,0.2515,0.3527,,,
days-sales-in-receivables,8.6902,12.9143,36.5229,13.041,15.7815,30.6,27.3519,55.2399,77.4558,105.9348,47.4255,90.483,135.3805,152.9642,118.1284,90.9473,208.8,296.8085,370.1915,293.8661,318.5393,357.8947,255.207,,,
roe,-6.7395,-23.777,-17.6766,-12.1867,-11.0257,-9.4279,-18.7397,-30.7456,-52.2517,-77.9484,-44.3327,-23.1381,-18.9061,-21.8759,-19.9601,-14.6368,-19.8107,-16.0821,-35.9921,-0.0175,-16.5955,-15.5582,-12.5518,,,
return-on-tangible-equity,-6.8551,-24.9815,-18.4288,-12.5866,-11.3508,-9.9398,-20.9152,-34.6636,-101.8593,-117.9318,-54.9392,-26.8462,-21.6635,-24.5843,-21.5502,-15.522,-21.2269,-19.3291,-81.2382,-0.0297,-24.5911,-18.8743,-14.6552,,,
roa,-5.0052,-12.4069,-10.3244,-7.9911,-7.84,-6.674,-9.7738,-13.1051,-7.3712,-13.4644,-11.9504,-7.7382,-7.1745,-8.9796,-9.0689,-7.1287,-10.1488,-8.1947,-13.4811,-0.0079,-8.386,-8.4592,-7.7083,,,
roi,-5.655,-15.7223,-12.8523,-10.1768,-10.5205,-8.9044,-16.1097,-25.1824,-30.1678,-48.9629,-31.8507,-17.6827,-15.0997,-18.0022,-17.8675,-13.1346,-17.8841,-14.2509,-23.8695,-0.0126,-12.7042,-12.2894,-11.4548,,,
book-value-per-share,8.0306,3.4899,4.1604,4.8085,5.3616,5.8831,3.1557,2.8513,0.7648,1.065,1.7949,2.519,3.2127,3.8335,4.5013,5.258,5.9935,,,,,,,,,
operating-cash-flow-per-share,-1.784,-1.3392,-0.7017,-2.1335,-1.5581,-1.0489,-0.6761,-2.3818,-1.8033,-1.2051,-0.4586,-2.8834,-2.2477,-1.534,-0.6368,0.3382,1.4864,1.41,-0.742,-1.8765,-1.2639,-0.7134,-0.4609,,,
free-cash-flow-per-share,-1.8745,-1.3771,-0.7079,-2.2004,-1.6065,-1.082,-0.6966,-2.5471,-1.9298,-1.3158,-0.536,-3.494,-2.6866,-1.6757,-0.7124,-0.0063,1.3149,1.3156,-0.82,-3.0402,-2.262,-1.4751,-0.6449,,,
