,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
current-ratio,25.7312,15.2975,20.1026,20.8222,10.2946,11.6111,15.3649,8.4603,10.9207,13.9766,20.163,17.7382,5.5621,,,,,
long-term-debt-capital,0.0118,0.0213,0.0208,,,,,,,,,,,,,,,
debt-equity-ratio,0.0153,0.028,0.0267,,,,,,,,,,,,,,,
gross-margin,100.0,,,,,,,,,,,,,100.0,100.0,,100.0,
operating-margin,-873.8666,,,,,,,,,,,,,-149.343,-231.6348,,-316.6059,
ebit-margin,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-832.5,,,,,,,,,,,,,-157.8844,-268.3652,,-358.7592,
net-profit-margin,-832.5,,,,,,,,,,,,,-157.8844,-268.3652,,-206.1131,
asset-turnover,,,,,,,,,,,,,,,,,,
roe,-8.5019,-12.607,-9.9548,-7.8192,-20.5123,-16.5887,-15.1811,-21.8851,-18.4979,-13.1665,-10.6247,-9.2884,14.8758,,,,,
return-on-tangible-equity,-8.5019,-12.607,-9.9548,-7.8192,-20.5968,-16.6496,-15.2319,-22.006,-18.587,-13.2231,-10.6675,-9.3238,14.7511,,,,,
roa,-8.0841,-11.5711,-9.2842,-7.3876,-18.2125,-14.9196,-13.9605,-18.8798,-16.4405,-11.9664,-9.8797,-8.5855,-19.9616,,,,,
roi,-8.402,-12.3382,-9.7476,-7.8192,-20.5123,-16.5887,-15.181,-21.8851,-18.4979,-13.1665,-10.6247,-9.2884,14.8758,,,,,
book-value-per-share,6.2374,4.099,4.5263,4.9229,2.4842,2.9354,3.366,3.0577,3.6503,4.2561,4.7394,5.1992,-91.8266,,,,,
operating-cash-flow-per-share,-1.2837,-0.8604,-0.4273,-1.742,-1.3253,-0.899,-0.5696,-2.0707,-1.4649,-0.9264,-0.5322,-5.2825,-22.4501,-9.8593,-10.5196,,-17.8332,
free-cash-flow-per-share,-1.2974,-0.8702,-0.4319,-1.7748,-1.3536,-0.9162,-0.5707,-2.1332,-1.5264,-0.9764,-0.5535,-6.517,-30.3205,-15.8241,-10.6201,,-18.1387,
