,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
current-ratio,4.9189,8.1117,5.1915,5.2094,5.4254,7.1809,5.782,5.8937,9.0017,13.2825,10.5615,8.9378,11.3657,8.4815,,,,,
long-term-debt-capital,0.1678,0.1316,0.0234,0.0003,0.0003,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0007,0.0011,0.0026,,,,,
debt-equity-ratio,0.225,0.1681,0.046,0.0004,0.0003,0.0003,0.0001,0.0008,0.0012,0.0015,0.0026,0.0027,0.0029,0.0056,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,,,,,,,100.0,
operating-margin,-3653.942,-4374.026,-3738.546,-2083.65,-3961.165,-3879.467,-4005.676,,,,-1054.769,,,,,,,-1922.713,
ebit-margin,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-3547.132,-4211.039,-3625.771,-2019.261,-3819.66,-3745.867,-3908.919,,,,-1045.868,,,,,,,-1923.344,
net-profit-margin,-3547.133,-4211.039,-3625.771,-2019.261,-3819.66,-3745.867,-3908.919,,,,-1045.867,,,,,,,-2311.356,
asset-turnover,,,,,,,,,,,,,,,,,,,
receiveable-turnover,,,,,,,,,,,1.9982,,,,,,,,
days-sales-in-receivables,,,,,,,,,,,45.0409,,,,,,,,
roe,-20.9286,-17.3837,-25.7131,-22.9456,-16.5937,-12.9213,-13.8403,-23.4248,-17.5909,-14.6771,-16.4181,-13.6039,-15.6079,17.5712,,,,,
return-on-tangible-equity,-20.9286,-17.3837,-25.7131,-22.9456,-16.5937,-12.9213,-13.8403,-23.4248,-17.5909,-14.6771,-16.4181,-13.6039,-15.6079,-22.5138,,,,,
roa,-13.7613,-12.8139,-18.6151,-16.8893,-13.0452,-10.692,-11.2904,-19.496,-15.5903,-13.4988,-14.7585,-12.0068,-14.1111,-19.724,,,,,
roi,-17.4162,-15.0966,-25.1125,-22.9391,-16.5895,-12.9181,-13.8397,-23.4226,-17.5893,-14.6758,-16.416,-13.5949,-15.5914,-22.4557,,,,,
book-value-per-share,2.2284,2.6373,1.8959,2.3274,2.818,3.2335,3.2417,2.4722,2.9892,3.4721,2.993,3.4473,3.8845,19.886,,,,,
operating-cash-flow-per-share,-1.1699,-0.9221,-0.602,-1.2345,-0.7875,-0.501,-0.0791,-1.7605,-1.301,-0.9627,-0.548,-3.1928,-1.4055,-8.5268,-4.4353,,-6.8972,-5.318,
free-cash-flow-per-share,-1.2755,-0.9679,-0.6195,-1.2766,-0.8226,-0.5061,-0.0841,-1.7928,-1.3297,-0.9904,-0.565,-3.3757,-1.4968,-9.2425,-5.0723,,-7.3079,-5.4151,
