,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30
current-ratio,8.6187,7.6723,7.687,10.4712,16.7004,1.6908,,,,
long-term-debt-capital,0.3828,0.534,0.5734,0.4527,0.4774,0.6237,,,,
debt-equity-ratio,0.623,1.15,1.3486,0.8272,0.9134,1.701,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,,,,,
operating-margin,-1708.926,-2401.192,-2320.556,-617.4274,-19109.66,,,,,
ebit-margin,,,,,,,,,,
pre-tax-profit-margin,-1676.698,-2370.698,-2285.21,-547.8004,-18978.99,,,,,
net-profit-margin,-1676.698,-2370.698,-2252.239,-510.7448,-17918.49,,,,,
asset-turnover,,,,,,,,,,
roe,-11.6906,-24.0559,-34.9056,-4.8182,-32.9524,19.8701,,,,
return-on-tangible-equity,-28.8728,246.4756,103.0002,240.6134,-3507.063,-81.4494,,,,
roa,-6.0733,-9.1992,-11.9531,-2.0987,-14.0012,-16.535,,,,
roi,-7.2151,-11.209,-14.8899,-2.637,-17.2218,-18.7724,,,,
book-value-per-share,3.0252,2.2681,2.0998,2.7757,2.8669,5.7232,,,,
operating-cash-flow-per-share,-1.1929,-0.8502,-0.4784,-0.8214,-0.1337,-3.6553,-1.8624,,-4.8217,-3.3024
free-cash-flow-per-share,-1.2361,-0.8869,-0.5015,-1.0656,-0.2602,-4.1731,-2.182,,-4.9007,-3.3445
