,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
current-ratio,0.8616,0.9097,0.9114,1.2914,1.2414,2.0618,1.4181,1.365,1.3142,1.4458,0.9475,1.6008,1.7143,1.9628,2.64,2.7056,2.4543,2.4685,2.3274,2.3362,2.5937,2.5307,2.6703,2.9683,3.1467,2.954,2.6561,3.2547,2.7256,2.9129,2.9116,3.0374,3.17,3.2851,3.1751,2.2717,2.1857,2.1943,2.4263,2.3719,7.226,7.0619,6.8609,
long-term-debt-capital,0.4621,0.4453,0.4414,0.4948,0.3796,0.6514,0.5935,0.5869,0.6033,0.5594,0.4364,0.5319,0.508,0.4741,0.3581,0.3472,0.1504,0.1467,0.1468,0.5016,0.1219,0.1173,0.1148,0.114,0.1121,0.115,0.2097,0.2093,0.0505,0.0529,0.0571,0.0517,0.0559,0.0603,0.0572,0.2888,0.2685,0.2449,0.2875,0.296,0.3155,0.3205,0.3258,
debt-equity-ratio,1.3582,1.264,1.2396,1.1959,1.1492,1.9391,1.5619,1.5205,1.6261,1.3101,1.2432,1.1856,1.038,0.904,0.56,0.534,0.1961,0.1904,0.2105,1.0091,0.1539,0.1356,0.1324,0.1314,0.1286,0.1325,0.2755,0.2753,0.1186,0.109,0.115,0.0994,0.1102,0.0961,0.0995,0.5111,0.4731,0.4274,0.5129,0.5265,0.4609,0.4718,0.4832,
gross-margin,79.0801,78.9591,79.8733,79.3619,77.1738,77.8199,79.2789,78.2732,77.4661,78.7849,79.0475,73.7943,70.6678,71.2921,72.4345,70.1438,71.235,73.0975,75.46,74.6641,76.5113,75.559,74.7666,135.1146,71.5763,71.4481,71.4289,65.87,72.8863,72.5846,71.6404,70.7801,71.0717,72.3488,71.137,70.8104,72.7342,73.0128,72.0648,72.3871,72.9217,72.4393,71.114,
operating-margin,-5.244,1.1605,2.5834,1.6318,-4.7057,-0.8072,-0.4483,7.9085,-10.8555,-4.8933,-5.4168,-9.9946,-24.5367,-20.1317,-18.1309,-48.1086,-51.2135,-42.7033,-42.4988,-181.1839,-5.7711,-9.1595,-5.649,-1798.224,-5.6107,-10.7199,-5.579,-17.6699,-18.4987,-7.3787,1.6573,-2.1059,-7.1878,-3.5468,1.0801,-5.6133,-11.1916,-2.6813,-7.2167,-13.3825,-12.0042,-8.2671,-6.375,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-15.4895,-6.7461,-11.5784,-9.3497,-16.8923,-46.2916,-9.9236,-0.284,-25.1867,-11.4501,-20.1861,-18.9071,-34.9795,-26.5535,-24.5022,-57.132,-77.9433,-46.1925,-59.1295,-495.6526,-7.5618,-10.9234,-6.8936,-1395.928,-8.0138,-15.5078,-8.2917,-21.5644,-19.6725,-7.7393,1.1899,-1.867,-6.5171,-3.8967,-45.0796,-13.0107,-28.7485,-18.3201,-20.0071,-71.2618,-20.2933,-15.4439,-8.1369,
net-profit-margin,-20.613,-7.7533,-15.9047,-14.1795,-21.9081,-32.9591,-12.851,13.3882,-77.3417,-22.9069,-33.1275,-23.249,-70.008,-134.3518,-28.3488,-63.4029,-123.3619,-55.1045,-63.8335,-524.83,-6.9397,-12.0299,-5.8826,-1681.351,-9.4266,-16.0453,-8.3425,-6.0772,-20.1345,-7.7014,-0.2364,-2.8693,-2.8442,-4.4031,-34.5201,-13.2147,-25.6684,-15.7671,-16.2266,-53.6453,-17.3414,-13.7329,-6.9157,
asset-turnover,0.0847,0.0832,0.0813,0.0884,0.0684,0.0852,0.0956,0.1022,0.0775,0.0784,0.073,0.0843,0.0679,0.0761,0.0855,0.0805,0.1282,0.1261,0.1207,0.0511,0.1152,0.1252,0.1256,0.0209,0.0966,0.1143,0.127,0.1208,0.1123,0.1279,0.1386,0.1349,0.1099,0.1195,0.128,0.1247,0.0996,0.1141,0.121,0.1102,0.2044,0.1439,0.0739,
inventory-turnover,0.2253,0.2482,0.2478,0.272,0.2468,0.2665,0.2359,0.2812,0.223,0.2357,0.2425,0.3353,0.2702,0.2678,0.2165,0.2364,0.2755,0.2543,0.2287,0.1303,0.1909,0.2221,0.2475,-0.0596,0.2243,0.2706,0.2799,0.3111,0.1933,0.2286,0.2647,0.2525,0.1942,0.209,0.2493,0.2307,0.1705,0.2082,0.2082,0.2307,0.2347,0.1634,0.0865,
