,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31
current-ratio,2.9995,7.1885,9.1221,9.126,9.8887,6.8862,12.1913,14.5214,2.7111,3.5852,5.3869,5.9042,9.577,10.5787,7.8686,6.153,5.7279,3.2138,1.2271,1.7627,2.3026,2.1263,1.1441,1.5801,1.0899,1.0627,1.2917,1.8903,1.5583,1.204,1.6851,1.8545,2.6959,0.9981,1.5349,2.0861,,,,,
long-term-debt-capital,0.0424,0.0235,0.0223,,,,,,0.189,0.1654,0.1484,0.1349,0.1334,0.121,0.0765,0.08,0.0844,0.1495,0.3683,0.2819,0.0396,0.0325,0.8887,0.6099,1.9365,2.2817,1.212,0.6631,0.6813,1.7109,0.993,0.8188,0.598,1.5757,0.6275,0.4096,,,,,
debt-equity-ratio,0.05,0.027,0.0257,,,,,,0.3224,0.2402,0.1875,0.1559,0.1539,0.1376,0.1194,0.1216,0.117,0.2039,0.7127,0.4188,0.0413,0.0335,11.9438,1.5631,-2.0678,-1.7802,-5.716,1.9679,2.1381,-3.4942,199.2986,6.1114,1.8568,-3.7333,2.5371,0.9362,,,,,
gross-margin,100.0,100.0,,,,,,,,-15.6772,7.7522,47.5332,1.5373,-2.2988,15.2292,20.2434,14.693,21.2298,14.9762,15.2445,18.3699,42.6599,54.8924,28.4447,25.3069,48.2219,40.4383,36.626,49.7338,48.1071,72.4097,37.2105,47.2783,61.1703,46.073,47.7056,58.4585,37.4878,14.4026,,
operating-margin,-46562.06,-3815.341,,,,,,,,-309.8386,-782.6038,-212.2338,-254.3836,-889.6551,-152.9437,-232.133,-132.4671,-159.2236,-212.3754,-77.2691,-190.4567,1033.398,-152.6594,-63.0883,-153.7667,-139.5549,-217.4044,-149.6102,-125.8488,-185.5667,-41.887,-260.8909,-194.8644,-175.7546,-194.2146,-211.5629,-235.6758,-358.5394,-675.3273,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-46107.62,-3532.554,,,,,,,,-315.3544,-782.9747,-215.0737,-268.0518,-873.4195,-110.3411,-252.1624,-202.5987,-185.1771,-220.026,-96.5688,-28.9986,1150.898,-67.0186,-275.7987,-151.3951,-149.0941,-301.6044,-6.7713,-228.1084,-213.8107,-56.0691,-300.3924,-211.8773,-187.2716,-209.9115,-24.3071,-313.4741,-542.1422,-878.3142,,
net-profit-margin,-46107.62,-3532.554,,,,,,,,-322.9193,-790.3189,-213.8449,-258.7062,-901.7241,-112.8503,-145.4202,-160.2632,983.6296,-495.4703,-206.4801,-262.6459,933.1156,-283.2859,-359.0062,-151.3951,-149.0941,-301.6044,-6.7713,-228.1084,-213.8107,-56.0964,-300.0252,-211.9446,-187.3303,-209.9889,-24.2503,-313.4741,-542.1422,-878.3142,,
asset-turnover,0.0015,0.0018,,,,,,,,0.0375,0.0129,0.0475,0.0257,0.0077,0.0321,0.0199,0.0284,0.0299,0.0256,0.049,0.0456,0.0505,0.0739,0.0882,0.1312,0.1675,0.1065,0.1177,0.0926,0.1237,0.223,0.0785,0.089,0.1992,0.1288,0.0934,,,,,
inventory-turnover,,,,,,,,,,3.6927,0.2733,0.8179,0.6873,0.1801,0.825,0.4032,0.7523,0.4589,0.2994,0.736,0.2068,0.2467,0.2244,0.7145,0.4429,0.3512,0.3284,0.467,0.31,0.2775,0.3551,0.2957,0.3186,0.2142,0.2671,0.252,,,,,
receiveable-turnover,,,,,,,,,,1.5211,2.6251,0.8735,1.0071,0.9886,1.8772,4.356,2.3349,1.2373,2.8411,1.6351,0.8296,1.138,0.6326,1.4885,1.1634,2.1609,1.213,1.6828,1.5358,1.6408,3.7117,1.6082,1.7484,3.1812,2.4308,1.9678,,,,,
days-sales-in-receivables,,,,,,,,,,59.1663,34.2841,103.0339,89.3699,91.0345,47.9426,20.6611,38.5461,72.7379,31.6775,55.0433,108.4866,79.0857,142.2655,60.4627,77.3563,41.6484,74.1942,53.4825,58.6017,54.8518,24.2476,55.9638,51.4743,28.2915,37.0254,45.736,,,,,
roe,-115.9167,-8.1086,-7.0846,-4.2909,-7.8444,-10.3046,-11.0238,-13.1941,-71.5556,-28.2492,-20.8916,-19.5452,-11.7097,-11.6257,-5.8783,-6.4905,-6.8388,-6.1954,-29.6416,-17.4316,-2.5393,113.4928,-204.7096,-148.4967,78.1337,82.8745,421.437,-4.5119,-145.0971,114.399,-3698.36,-254.5636,-73.0557,268.5103,-177.0474,-7.4302,,,,,
return-on-tangible-equity,-204.7667,-10.5784,-9.0693,-5.4177,-9.8278,-16.8519,-18.2867,-20.6357,86.8556,76.7571,277.5352,-196.3233,-50.0799,-37.8461,-15.6929,-16.0241,-16.0101,1023.854,13.6551,18.0264,-2.5393,113.4928,-204.7122,-148.4967,78.1338,82.8744,421.437,-4.5119,-145.0974,114.399,-3698.563,-254.564,-73.0558,268.5103,-177.0472,-7.4302,,,,,
roa,-69.1012,-6.2458,-5.4957,-3.4601,-6.4072,-7.2977,-7.7018,-9.5263,-23.2803,-11.8172,-10.0918,-10.195,-6.4955,-6.7226,-3.5659,-3.8787,-4.0368,-2.7143,-5.6396,-4.7507,-1.3651,58.1674,-4.953,-24.3209,-19.8635,-24.9672,-32.1107,-0.8093,-21.1178,-26.4562,-12.4964,-23.5543,-18.8548,-37.3144,-27.0494,-2.2648,,,,,
roi,-111.0021,-7.9184,-6.9263,-4.2909,-7.8444,-10.3046,-11.0238,-13.1941,-58.0345,-23.5754,-17.7908,-16.9093,-10.1477,-10.2192,-5.4287,-5.971,-6.2619,-5.2692,-18.7239,-12.5172,-2.4387,109.8088,-22.7867,-57.936,-73.176,-106.2226,-89.3638,-1.5202,-46.2376,-81.3234,-26.0733,-46.1348,-29.3699,-154.5909,-65.9521,-4.3869,,,,,
