,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,8076.0,7979.0,7535.0,7765.0,7656.0,7767.0,7390.0,7589.0,6829.0,6637.0,6335.0,5333.0,5302.0,5333.0,4885.0,5188.0,5150.0,5170.0,4897.0,5356.0,5079.0,5057.0,4755.0,4008.0,4825.0,5446.0,5378.0,3188.231,5264.787,5313.297,5283.685,10377.0,9816.665,9616.291,9040.85,9967.852,8674.505,8826.014,7698.354,8790.127,7761.336,7494.876,6718.368,7950.268,7497.66,7314.021,6765.603,7221.35,6376.706,6370.62,5945.561,6820.964,5573.77,5501.124,4580.465,6047.333,5383.995,5523.8,5382.679
cost-goods-sold,3358.0,3279.0,3160.0,3191.0,3166.0,3282.0,3067.0,3282.0,2876.0,3189.0,3062.0,2382.0,2285.0,2287.0,2140.0,2206.0,2242.0,2218.0,2081.0,2337.0,2319.0,2288.0,2274.0,1961.0,2255.0,2545.0,2432.0,1680.867,2488.913,2370.056,2359.164,3838.0,3973.25,3870.472,3858.983,4045.041,3741.116,3543.932,3335.104,3784.224,3360.187,3128.998,2935.921,3178.381,3352.869,3119.7,2961.072,3161.678,2864.03,2804.326,2592.011,3275.733,2391.218,2388.613,1759.583,2809.557,2677.188,2631.835,2522.531
gross-profit,4718.0,4700.0,4375.0,4574.0,4490.0,4485.0,4323.0,4307.0,3953.0,3448.0,3273.0,2951.0,3017.0,3046.0,2745.0,2982.0,2908.0,2952.0,2816.0,3019.0,2760.0,2769.0,2481.0,2047.0,2570.0,2901.0,2946.0,1507.364,2775.874,2943.241,2924.521,6539.0,5843.415,5745.819,5181.867,5922.811,4933.389,5282.082,4363.25,5005.903,4401.149,4365.878,3782.447,4771.887,4144.791,4194.321,3804.531,4059.672,3512.676,3566.294,3353.55,3545.23,3182.552,3112.511,2820.882,3237.776,2706.807,2891.965,2860.148
research-development-expenses,596.0,577.0,672.0,562.0,574.0,575.0,589.0,619.0,568.0,520.0,553.0,368.0,352.0,348.0,379.0,369.0,378.0,345.0,313.0,361.0,305.0,310.0,369.0,323.0,339.0,363.0,346.0,376.028,350.653,370.605,363.714,1152.0,1009.627,1037.78,930.4,1057.432,1078.927,857.698,730.367,747.0478,675.736,670.206,650.743,731.6312,680.36,656.863,619.957,662.4009,640.718,583.474,619.056,642.7301,617.625,556.337,438.579,490.392,448.869,445.258,436.656
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,6878.0,6773.0,6796.0,6600.0,6661.0,6885.0,6782.0,6938.0,6060.0,6251.0,6577.0,4544.0,4405.0,4517.0,4361.0,4373.0,4437.0,4441.0,4287.0,4527.0,4351.0,4380.0,4390.0,3590.0,4352.0,4819.0,4763.0,3211.623,4954.771,4749.107,4774.5,8295.0,9221.787,7842.838,7739.701,8137.901,7493.32,7220.048,6227.871,6926.318,6121.583,5823.456,5657.609,6207.375,6101.143,5907.436,5617.762,5703.349,5450.152,5184.256,4997.936,7053.449,4884.604,4958.347,3537.704,4746.532,4553.315,4428.885,4246.808
operating-income,1198.0,1206.0,739.0,1165.0,995.0,882.0,608.0,651.0,769.0,386.0,-242.0,789.0,897.0,816.0,524.0,815.0,713.0,729.0,610.0,829.0,728.0,677.0,365.0,418.0,473.0,627.0,615.0,-23.3916,310.0166,564.1899,509.1851,2082.0,594.8779,1773.453,1301.148,1829.95,1181.185,1605.966,1470.483,1863.809,1639.753,1671.42,1060.759,1742.893,1396.517,1406.585,1147.841,1518.001,926.5537,1186.364,947.625,-232.4854,689.166,542.7773,1042.761,1300.802,830.6802,1094.915,1135.871
total-non-operating-income-expense,-95.0,-104.0,-107.0,-218.0,-277.0,-105.0,-177.0,-77.0,-143.0,-91.0,978.0,86.0,-1076.0,-101.0,-522.0,15.0,1.0,257.0,43.0,-25.0,-13.0,-19.0,-24.0,-13.0,8.0,-26.0,-61.0,-1420.799,-78.706,-34.686,-45.809,-128.0,-93.283,-98.897,-232.363,-62.117,-117.075,-47.279,-148.276,-40.927,231.622,-104.382,871.72,-56.69,-23.481,229.733,12.885,-35.076,-33.135,66.274,-106.96,12.033,37.151,114.359,70.608,99.122,64.99,51.555,41.985
pre-tax-income,1103.0,1102.0,632.0,947.0,718.0,777.0,431.0,574.0,626.0,295.0,736.0,875.0,-179.0,715.0,2.0,830.0,714.0,986.0,653.0,804.0,715.0,658.0,341.0,405.0,481.0,601.0,554.0,-1444.191,231.311,529.504,463.376,1954.0,501.595,1674.556,1068.786,1767.83,1064.11,1558.687,1322.207,1822.882,1871.375,1567.038,1932.479,1686.206,1373.036,1636.318,1160.726,1482.926,893.419,1252.638,840.665,-220.4519,726.317,657.136,1113.369,1399.924,895.67,1146.47,1177.856
total-provision-income-taxes,143.0,96.0,-40.0,292.0,166.0,59.0,22.0,1438.0,65.0,25.0,350.0,110.0,178.0,116.0,-54.0,135.0,118.0,200.0,124.0,170.0,277.0,233.0,117.0,81.0,-163.0,125.0,10.0,-580.214,-107.61,118.663,112.161,335.0,198.414,-268.226,204.968,326.983,173.45,267.037,319.192,284.153,391.008,278.933,493.842,296.4829,288.424,314.304,222.859,279.8979,176.414,263.894,143.128,239.439,10.475,44.892,264.809,423.5081,214.961,269.418,339.968
