,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,4.799,4.888,3.938,2.758,3.063,2.639,6.627,3.756,3.794,5.917,3.772,3.878,3.794,38.979,4.03,34.376,19.146,9.883,9.574,9.9,2.486,0.985,0.025,
research-development-expenses,15.51,16.876,19.53,17.613,18.675,19.42,20.128,22.916,24.454,21.44,20.572,20.863,19.046,26.882,20.927,22.657,11.813,13.533,10.646,7.54,5.858,5.403,4.729,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,29.337,24.995,28.852,30.76,27.968,28.394,29.325,31.832,33.057,29.821,28.982,29.019,27.74,35.722,30.063,31.551,18.721,19.415,16.856,11.04,7.838,7.537,6.113,
operating-income,-24.538,-20.107,-24.914,-28.002,-24.905,-25.755,-22.698,-28.076,-29.263,-23.904,-25.21,-25.141,-23.946,3.257,-26.033,2.825,0.425,-9.532,-7.282,-1.14,-5.352,-6.552,-6.088,
total-non-operating-income-expense,1.334,1.494,1.452,1.343,1.374,1.32,1.183,0.995,0.869,0.716,0.646,0.671,0.565,0.511,0.432,0.176,0.142,-16.728,-9.334,0.2,0.668,2.926,-1.696,
pre-tax-income,-23.204,-18.613,-23.462,-26.659,-23.531,-24.435,-21.515,-27.081,-28.394,-23.188,-24.564,-24.47,-23.381,3.768,-25.601,3.001,0.567,-26.26,-16.616,-0.93,-4.684,-3.626,-7.784,
total-provision-income-taxes,-2.252,-0.035,-0.035,-0.339,-0.385,-0.038,-0.021,-0.95,-3.874,-3.788,-2.752,5.096,11.67,1.472,3.226,,0.0,0.0,,0.0,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-20.952,-18.578,-23.427,-26.32,-23.146,-24.397,-21.494,-26.131,-24.52,-19.4,-21.812,-29.566,-35.051,2.296,-28.827,3.1,0.567,-26.26,-16.616,-0.93,-4.684,-3.626,-7.784,
ebitda,-18.824,-19.384,-24.039,-23.035,-23.952,-24.814,-21.681,-26.974,-28.183,-22.781,-23.909,-23.865,-22.9,4.274,-24.989,3.727,0.752,-9.406,-7.189,-1.062,-5.284,-6.501,-6.045,
ebit,-24.538,-20.107,-24.914,-28.002,-24.905,-25.755,-22.698,-28.076,-29.263,-23.904,-25.21,-25.141,-23.946,3.257,-26.033,2.825,0.425,-9.532,-7.282,-1.14,-5.352,-6.552,-6.088,
basic-shares-outstanding,80.233,80.032,79.673,78.812,79.087,78.818,77.907,72.901,75.167,71.101,68.242,65.201,65.134,64.435,63.802,44.706,62.274,52.653,0.416,0.321,0.3289,0.295,0.2955,
shares-outstanding,80.233,80.032,79.673,78.812,79.087,78.818,77.907,72.901,75.167,71.101,68.242,65.201,65.134,71.474,63.802,44.706,71.726,52.653,0.416,0.321,0.3289,0.295,0.2955,
eps-basic-net-earnings-per-share,-0.26,-0.23,-0.29,-0.33,-0.29,-0.31,-0.28,-0.34,-0.33,-0.27,-0.32,-0.45,-0.54,0.04,-0.45,39.58,0.01,-0.5,-39.97,-0.21,-14.24,-12.27,-26.34,
eps-earnings-per-share-diluted,-0.26,-0.23,-0.29,-0.33,-0.29,-0.31,-0.28,-0.34,-0.33,-0.27,-0.32,-0.44,-0.54,0.03,-0.45,39.58,0.01,-0.5,-39.97,-0.21,-14.24,-12.27,-26.34,0.0
