,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
eps-earnings-per-share-diluted,-1.03,-1.01,-0.87,-0.95,-0.89,-0.91,-0.92,-0.81,-0.63,-0.65,-0.52,-0.56,-0.53,-0.43,-0.37,0.89,-0.36,-1.6,-0.81,0.0,-1.07,-0.94,0.0
research-development-expenses,30.558,31.988,31.316,33.029,31.691,35.254,33.446,28.654,21.063,22.191,17.417,16.958,15.888,11.82,9.976,10.766,3.85,3.131,2.069,,2.469,1.801,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,64.602,63.188,55.028,58.433,52.976,53.813,50.119,41.64,32.289,33.004,26.341,25.301,22.241,18.286,15.699,16.155,9.024,7.377,3.441,,3.129,2.768,
operating-income,-64.602,-63.188,-55.028,-58.433,-52.976,-53.813,-50.119,-41.64,-32.289,-33.004,-26.341,-25.301,-22.241,-18.286,-15.699,-16.155,-9.024,-7.377,-3.441,,-3.129,-2.768,
total-non-operating-income-expense,0.043,0.358,0.791,1.417,1.303,1.294,0.636,0.53,0.497,0.507,0.471,0.225,0.155,0.147,0.176,0.147,0.033,0.001,,,,0.005,
pre-tax-income,-64.559,-62.83,-54.237,-57.016,-51.673,-52.519,-49.483,-41.11,-31.792,-32.497,-25.87,-25.076,-22.086,-18.139,-15.523,-16.008,-8.991,-7.376,-3.441,,-3.129,-2.763,
total-provision-income-taxes,-0.104,0.048,0.029,-0.018,0.029,0.033,0.017,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,
net-income,-64.455,-62.878,-54.266,-56.998,-51.702,-52.552,-49.5,-41.166,-31.792,-32.497,-25.87,-25.076,-22.086,-18.139,-15.523,-16.008,-8.991,-7.376,-3.441,,-3.129,-2.763,
ebitda,-63.85,-62.655,-54.904,-58.313,-52.897,-53.631,-49.788,-41.343,-31.896,-32.601,-25.957,-24.989,-21.883,-17.919,-15.283,-15.833,-8.937,-7.358,-3.43,,-3.125,-2.768,
ebit,-64.602,-63.188,-55.028,-58.433,-52.976,-53.813,-50.119,-41.64,-32.289,-33.004,-26.341,-25.301,-22.241,-18.286,-15.699,-16.155,-9.024,-7.377,-3.441,,-3.129,-2.768,
basic-shares-outstanding,62.615,62.332,62.022,57.403,58.274,57.903,53.578,50.401,50.458,50.23,50.069,42.751,41.997,41.8,41.694,19.041,25.149,4.619,4.259,,2.927,2.927,
shares-outstanding,62.615,62.332,62.022,57.403,58.274,57.903,53.578,50.401,50.458,50.23,50.069,42.751,41.997,41.8,41.694,19.041,25.149,4.619,4.259,,2.927,2.927,
eps-basic-net-earnings-per-share,-1.03,-1.01,-0.87,-0.95,-0.89,-0.91,-0.92,-0.81,-0.63,-0.65,-0.52,-0.56,-0.53,-0.43,-0.37,0.89,-0.36,-1.6,-0.81,,-1.07,-0.94,
