,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31
revenue,80.137,79.047,79.79,89.69,75.543,71.04,58.393,60.402,57.916,65.187,56.67,63.543,64.223,68.033,59.366,76.912,63.868,53.853,56.886,55.877,59.711,49.003,45.87,54.876,59.318,62.524,52.963,52.05,56.619,49.413,46.241,
cost-goods-sold,44.885,46.66,48.887,55.001,46.283,44.976,41.421,40.021,37.363,38.44,33.842,43.575,36.611,36.319,34.464,43.741,46.29,40.535,43.606,43.916,47.92,34.007,33.362,35.26,39.038,35.035,33.406,,,,,
gross-profit,35.252,32.387,30.903,34.689,29.26,26.064,16.972,20.381,20.553,26.747,22.828,19.968,27.612,31.714,24.902,33.171,17.578,13.318,13.28,11.961,11.791,14.996,12.508,19.616,20.28,27.489,19.557,52.05,56.619,49.413,46.241,
research-development-expenses,18.606,15.996,14.607,16.734,11.34,15.46,14.03,11.446,10.075,10.732,11.25,12.6,9.723,10.594,8.605,8.86,11.117,10.726,6.568,8.078,8.585,5.994,6.209,7.28,9.041,7.791,8.904,,,,,
selling-general-administrative-expenses,14.242,15.418,19.468,16.41,15.37,13.545,12.719,10.85,13.421,13.83,12.817,12.194,12.092,10.79,12.222,10.018,10.205,12.778,13.973,11.269,11.01,9.99,8.104,9.42,11.007,7.716,8.301,,,,,
other-operating-income-expenses,,,,,,,,,,,2.643,,,,,,-0.004,-0.074,0.0,,-0.013,-0.184,-0.164,-0.12,-0.006,0.0,,,,,,
operating-expenses,77.733,78.074,82.962,88.145,72.993,73.981,68.17,62.317,60.859,63.002,55.266,68.369,58.426,57.703,55.291,62.541,67.616,64.113,64.147,62.902,67.528,50.175,47.839,51.96,59.092,50.542,50.611,,,,,
operating-income,2.404,0.973,-3.172,1.545,2.55,-2.941,-9.777,-1.915,-2.943,2.185,1.404,-4.826,5.797,10.33,4.075,14.371,-3.748,-10.26,-7.261,-7.025,-7.817,-1.172,-1.969,2.916,0.226,11.982,2.352,52.05,56.619,49.413,46.241,
total-non-operating-income-expense,-0.822,60.12,-0.461,-0.956,0.024,-1.259,0.888,0.601,0.829,0.988,0.1,-0.113,0.204,-0.578,-0.259,-4.033,-0.528,0.031,1.064,1.208,-0.167,-0.704,-0.502,-0.15,0.109,-0.063,-0.161,,,,,
pre-tax-income,1.582,61.093,-3.633,0.589,2.574,-4.2,-8.889,-1.314,-2.114,3.173,1.504,-4.939,6.001,9.752,3.816,10.338,-4.276,-10.229,-6.197,-5.817,-7.984,-1.876,-2.471,2.79,0.335,11.919,2.191,52.05,56.619,49.413,46.241,
total-provision-income-taxes,0.598,14.173,-1.479,-1.129,0.958,-1.347,-1.748,-1.997,-2.213,1.201,0.611,-1.485,2.111,2.857,1.327,2.805,-1.268,-3.582,-5.532,-3.296,-2.605,-0.696,-0.852,0.96,0.494,4.109,-0.191,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,
net-income,1.31,47.787,0.868,1.867,2.389,-2.853,-7.141,0.683,0.099,1.972,0.893,-3.454,3.89,6.895,2.489,7.533,-3.008,-6.647,-0.665,-2.521,-5.379,-1.18,-1.619,1.829,-0.159,7.81,2.382,4.362,3.282,4.911,5.539,
ebitda,6.871,5.292,1.346,5.925,6.722,1.234,-5.988,2.088,1.203,6.025,5.225,-0.908,9.512,13.947,7.503,17.649,-0.385,-6.901,-4.009,-3.249,-4.137,2.405,1.446,6.369,3.496,15.29,5.391,52.05,56.619,49.413,46.241,
ebit,2.404,0.973,-3.172,1.545,2.55,-2.941,-9.777,-1.915,-2.943,2.185,1.404,-4.826,5.797,10.33,4.075,14.371,-3.748,-10.26,-7.261,-7.025,-7.817,-1.172,-1.969,2.916,0.226,11.982,2.352,52.05,56.619,49.413,46.241,
basic-shares-outstanding,47.239,47.107,46.744,46.395,46.241,46.557,46.514,46.107,46.101,46.025,46.069,45.375,45.398,44.957,45.041,44.961,45.31,44.849,44.601,41.957,44.644,39.767,38.769,38.724,38.709,38.708,38.707,38.668,38.598,38.54,38.516,
shares-outstanding,50.075,49.894,50.416,46.395,48.281,46.557,46.514,48.367,48.215,47.866,48.057,47.504,47.953,45.968,46.81,44.961,45.31,44.849,44.601,41.957,44.644,39.767,38.769,39.141,38.709,38.847,38.845,38.836,38.848,39.105,39.095,
eps-basic-net-earnings-per-share,0.03,1.01,0.02,0.04,0.05,-0.06,-0.15,0.02,0.0,0.04,0.02,-0.08,0.09,0.15,0.06,0.17,-0.07,-0.15,-0.01,-0.06,-0.12,-0.03,-0.04,0.05,0.0,0.2,0.06,0.11,0.09,0.13,0.14,
eps-earnings-per-share-diluted,0.03,0.96,0.02,0.04,0.05,-0.06,-0.15,0.02,0.0,0.04,0.02,-0.07,0.08,0.15,0.05,0.17,-0.07,-0.15,-0.01,-0.06,-0.12,-0.03,-0.04,0.05,0.0,0.2,0.06,0.11,0.08,0.13,0.14,0.0
