,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,1.35,1.022,801.057,8.648,3.573,3.994,1.755,15.364,2.415,1.898,1.66,53.562,19.242,9.512,9.847,-17.177,9.138,9.181,12.256,9.191,8.164,12.801,6.814,6.516,3.578,68.927,2.373,1.936,1.485,21.977,2.189,2.076,3.459,3.259,3.925,4.012,7.629,2.459,2.513,2.682,2.619,2.428,2.658,2.698,1.857,2.645,2.609,4.569,5.041,4.811,4.911,4.699,4.416,9.328,12.126,5.876,7.432,5.505,4.42
cost-goods-sold,,,,,,,,,,,,,2.812,2.609,3.616,,3.219,3.115,3.593,2.586,1.836,2.01,1.327,1.38,1.092,1.59,2.118,0.832,1.396,0.652,0.791,1.885,1.557,2.277,2.381,2.105,1.814,1.63,1.865,1.834,1.705,1.643,1.354,2.152,1.743,2.29,2.33,,,,,,,,,,,,
gross-profit,1.35,1.022,801.057,8.648,3.573,3.994,1.755,15.364,2.415,1.898,1.66,53.562,16.43,6.903,6.231,-17.177,5.919,6.066,8.663,6.605,6.328,10.791,5.487,5.136,2.486,67.337,0.255,1.104,0.089,21.325,1.398,0.191,1.902,0.982,1.544,1.907,5.815,0.829,0.648,0.848,0.914,0.785,1.304,0.546,0.114,0.355,0.279,4.569,5.041,4.811,4.911,4.699,4.416,9.328,12.126,5.876,7.432,5.505,4.42
research-development-expenses,60.257,51.211,45.396,37.89,28.811,26.755,21.573,20.711,17.233,17.7,15.344,9.268,17.466,18.546,18.502,15.042,22.072,24.201,21.968,27.826,24.508,27.025,20.988,19.04,14.592,18.828,14.008,13.947,11.619,14.076,14.47,13.09,14.978,14.703,15.935,16.488,20.155,20.502,18.314,21.187,22.147,24.205,42.62,53.325,47.475,56.206,47.368,40.69,32.219,40.86,35.755,38.095,22.727,22.076,20.49,20.787,20.855,19.166,18.902
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,80.685,69.578,76.547,53.292,39.577,37.16,32.724,28.964,36.626,24.85,22.864,3.55,29.099,35.735,29.042,12.431,34.319,36.16,34.0,39.351,34.373,38.167,30.352,28.487,23.444,29.021,23.377,22.216,20.575,20.117,21.792,20.405,22.761,23.243,29.109,26.443,29.372,29.423,27.73,31.33,29.857,35.405,52.182,64.639,55.722,66.237,59.14,47.997,40.489,48.084,41.062,43.707,27.012,26.19,26.482,25.894,23.852,22.525,22.098
operating-income,-79.335,-68.556,724.51,-44.644,-36.004,-33.166,-30.969,-13.6,-34.211,-22.952,-21.204,50.012,-9.857,-26.223,-19.195,-29.608,-25.181,-26.979,-21.744,-30.16,-26.209,-25.366,-23.538,-21.971,-19.866,39.906,-21.004,-20.28,-19.09,1.86,-19.603,-18.329,-19.302,-19.984,-25.184,-22.431,-21.743,-26.964,-25.217,-28.648,-27.238,-32.977,-49.524,-61.941,-53.865,-63.592,-56.531,-43.428,-35.448,-43.273,-36.151,-39.008,-22.596,-16.862,-14.356,-20.018,-16.42,-17.02,-17.678
total-non-operating-income-expense,6.47,7.153,5.957,3.09,1.69,1.333,-0.164,-0.67,-1.059,-0.811,-1.347,-1.102,-2.622,-0.96,-2.353,-3.579,-1.237,0.172,-2.551,-1.901,15.537,32.846,-1.717,-1.488,2.666,0.194,2.128,-1.0,3.569,-23.959,-6.974,-5.353,-3.434,-2.924,-14.714,-5.81,-14.523,-1.793,-6.053,-1.124,-7.597,-5.006,-1.09,-0.271,-1.762,-1.677,2.066,3.043,3.17,4.665,4.256,3.119,2.972,-1.647,2.13,0.949,0.782,1.128,0.376
pre-tax-income,-72.865,-61.403,730.467,-41.554,-34.314,-31.833,-31.133,-14.27,-35.27,-23.763,-22.551,48.91,-12.479,-27.183,-21.548,-33.187,-26.418,-26.807,-24.295,-32.061,-10.672,7.48,-25.255,-23.459,-17.2,40.1,-18.876,-21.28,-15.521,-22.099,-26.577,-23.682,-22.736,-22.908,-39.898,-28.241,-36.266,-28.757,-31.27,-29.772,-34.835,-37.983,-50.614,-62.212,-55.627,-65.269,-54.465,-40.385,-32.278,-38.608,-31.895,-35.889,-19.624,-18.509,-12.226,-19.069,-15.638,-15.892,-17.302
total-provision-income-taxes,,,110.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
