,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
revenue,,,,,,,,,,
gross-profit,30.0502,4.0165,4.0165,3.4402,3.3753,3.3999,4.1086,,1.6689,
research-development-expenses,16.5881,16.0006,14.1904,14.5623,13.1499,10.3378,7.1438,,7.2229,
selling-general-administrative-expenses,,,,,,,,,,
operating-expenses,24.5454,22.4414,19.831,20.3837,17.4341,11.9174,8.3907,,8.0802,
operating-income,5.5048,-18.4249,-15.8145,-16.9436,-14.0589,-8.5175,-4.2821,,-6.4113,
total-non-operating-income-expense,1.4948,1.2603,1.41,0.8557,0.6712,0.663,0.1317,,0.0141,
pre-tax-income,,,,,,,,,,
income-after-taxes,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,
net-income,-17.6754,-17.1647,-14.4045,-16.0879,-125.4383,-22.6886,-75.6325,,-6.3973,
ebitda,6.0984,-18.018,-15.3781,-16.6813,-13.7627,-8.2667,-4.1193,,-6.4113,
ebit,5.5048,-18.4249,-15.8145,-16.9436,-14.0589,-8.5175,-4.2821,,-6.4113,
basic-shares-outstanding,32.74,31.44,31.326,9.423,2.011,1.898,1.898,,1.898,
shares-outstanding,32.74,31.44,31.326,9.423,2.011,1.898,1.898,,1.898,
eps-basic-net-earnings-per-share,-0.54,-0.55,-0.46,88.75,-62.38,-11.96,-39.86,,-3.37,
eps-earnings-per-share-diluted,-0.54,-0.55,-0.46,88.75,-62.38,-11.96,-39.86,0.0,-3.37,0.0
