,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,43.2928,42.6966,48.1483,34.6579,11.255,0.7274,0.6501,3.5098,8.7138,9.3425,8.9859,4.3655,0.0313,0.0396,0.0438,0.0438,0.0437,0.1238,0.0438,0.1708,0.0437,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.159,0.0438,0.0479,0.0313,0.024,,,,0.2961,,,,0.1481,0.1876,2.6332,0.2357,0.7017,-0.0598,0.2354,0.7248,0.4029,0.578,0.6226,-0.0037,0.0111,-0.0949,0.2462,0.0575,0.2525,0.2103,0.1733,0.0776
cost-goods-sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3476,,,,,,,,,
gross-profit,43.2928,42.6966,48.1483,34.6579,11.255,0.7274,0.6501,3.5098,8.7138,9.3425,8.9859,4.3655,0.0313,0.0396,0.0438,0.0438,0.0437,0.1238,0.0438,0.1708,0.0437,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.159,0.0438,0.0479,0.0313,0.024,,,,0.2961,,,,0.1481,0.1876,2.6332,0.2357,0.7017,-0.0598,0.2354,0.7248,0.4029,0.578,0.275,-0.0037,0.0111,-0.0949,0.2462,0.0575,0.2525,0.2103,0.1733,0.0776
research-development-expenses,23.3863,19.2917,20.7986,17.572,15.9939,12.0527,12.0024,12.9196,18.8025,11.1367,11.4382,9.5271,32.335,9.4232,10.0208,10.3388,10.3919,7.4904,11.6408,17.7443,8.3964,6.3922,5.2164,3.133,3.2474,1.7565,2.125,1.5767,2.0445,1.2192,1.3587,0.7691,0.5096,0.3656,0.1407,2.2619,-0.096,0.1233,0.2244,0.2778,0.988,2.5097,1.5065,3.8883,4.9048,3.621,1.8399,1.7789,3.1774,12.8169,3.5017,1.4877,2.3034,1.0609,3.1177,1.7224,1.3223,1.3448,0.439
selling-general-administrative-expenses,10.2684,4.8092,5.339,6.1397,6.4302,4.5944,3.6818,4.4036,1.3472,3.9199,3.6774,8.5547,-4.2805,9.1397,10.4839,8.2518,12.1371,7.886,7.4434,7.2517,9.1832,6.0756,5.644,3.5167,2.9748,2.915,2.8603,2.9428,2.9306,5.2082,3.1174,2.8395,2.3298,1.3381,1.6032,1.3096,0.8916,1.2078,1.1117,1.8504,2.5049,1.9,3.4608,4.7114,5.4848,5.5063,4.9123,4.6654,4.8694,4.1089,3.4737,2.6646,0.7466,3.4765,2.6631,2.5248,2.2483,1.4971,1.0676
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,,,,,,-1.4217,-1.308,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.1012,0.0,0.0,-0.1012,-0.1004,-0.4282,-0.344,-0.5888,-1.0097,-0.902,-0.6872,-0.583,-0.529,-0.6371,-0.3896,-0.2284,-0.262,-0.1714,-0.1499,-0.1185,0.0894,-0.1365,-0.2384
operating-expenses,33.6547,24.1009,26.1376,23.7118,22.4241,16.6471,15.6842,17.3232,18.964,15.0567,15.1156,19.2674,21.8264,19.3811,21.3086,19.385,25.276,16.1175,29.6765,25.286,22.3981,12.7439,11.2563,7.0531,8.0429,6.4336,5.434,4.969,5.4222,6.8509,4.9,4.063,2.9127,1.7702,1.8116,3.6319,0.7364,1.3916,1.3966,2.3083,3.6722,4.938,5.4299,9.278,11.4992,10.132,7.5433,7.1313,8.3317,18.0144,7.4691,4.4847,3.5824,4.7692,5.9911,4.3657,3.644,2.9787,1.7454
operating-income,9.6381,18.5958,22.0107,10.9461,-11.1691,-15.9197,-15.0341,-13.8134,-10.2502,-5.7142,-6.1296,-14.9019,-21.7951,-19.3415,-21.2649,-19.3413,-25.2323,-15.9937,-29.6327,-25.1153,-22.3543,-12.7001,-11.2125,-7.0094,-7.9991,-6.3899,-5.3903,-4.81,-5.3785,-6.8029,-4.8688,-4.039,-2.9127,-1.7702,-1.8116,-3.3358,-0.7364,-1.3916,-1.3966,-2.1602,-3.4846,-2.3048,-5.1943,-8.5763,-11.559,-9.8966,-6.8186,-6.7285,-7.7537,-17.3918,-7.4728,-4.4736,-3.6774,-4.523,-5.9336,-4.1132,-3.4337,-2.8054,-1.6678
total-non-operating-income-expense,2.2404,1.74,1.8863,1.0911,0.4102,0.3137,0.1497,0.6145,-0.4793,0.1944,0.0871,2.8158,-0.4245,-0.0793,0.449,0.0769,0.4891,0.0577,0.9488,2.54,-0.0609,1.0636,-2.7702,-3.6764,-5.806,0.2122,-1.5494,0.0293,-0.2222,-1.4368,-0.7149,1.3525,-0.0339,-0.1745,0.7243,0.5293,0.1734,1.4759,-0.0581,-0.0704,0.0538,-0.2049,-0.073,0.6395,-0.0698,0.1152,0.2476,0.3286,0.385,0.2382,0.3281,0.3132,0.3108,0.348,0.3145,0.1798,-0.9553,0.4943,2.5604
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
