,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,4.231,3.08,3.885,3.735,4.286,3.218,3.565,3.3157,2.6596,2.3593,0.6844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research-development-expenses,21.736,18.7,22.704,21.251,19.109,17.84,14.541,10.5968,10.9294,12.125,10.5737,8.6224,8.833,7.519,8.1186,5.2256,4.6301,4.6678,3.8344,2.9754,3.672,1.0956,2.9737,5.1582,3.7533,3.5085,2.6091,2.7414,4.1881,6.1619,6.4227,17.5402,3.6672,3.0996,0.9708,0.86,0.1932,0.5212,0.281,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,30.224,22.78,32.221,30.057,26.861,30.384,20.237,15.5955,15.1098,15.9266,14.6142,11.8678,11.6789,10.4541,11.2772,8.1763,7.1222,7.1539,7.2032,6.2847,11.0554,2.5061,4.1102,6.094,4.933,4.8088,3.769,3.8168,5.3703,7.4783,8.1901,18.8878,5.5459,6.9016,2.6668,3.3,0.5103,0.6599,0.3175,
operating-income,-25.993,-19.7,-28.336,-26.322,-22.575,-27.166,-16.672,-12.2797,-12.4502,-13.5673,-13.9298,-11.8678,-11.6789,-10.4541,-11.2772,-8.1763,-7.1222,-7.1539,-7.2032,-6.2847,-11.0554,-2.5061,-4.1102,-6.094,-4.933,-4.8088,-3.769,-3.8168,-5.3703,-7.4783,-8.1901,-18.8878,-5.5459,-6.9016,-2.6668,-3.3,-0.5103,-0.6599,-0.3175,
total-non-operating-income-expense,0.983,1.186,1.277,1.3,1.034,0.326,0.423,0.3276,0.1423,-0.1011,-0.0008,-0.2963,0.1048,0.3019,0.2886,0.428,0.5043,0.2112,0.0583,0.0554,0.0352,0.0369,0.0402,0.047,0.0513,0.0569,0.0459,0.0257,0.0149,0.0083,0.0162,0.0285,-0.2555,-0.0599,-0.0557,-6.236,-1.2659,-1.4679,-1.57,
pre-tax-income,-25.01,-18.514,-27.059,-25.022,-21.541,-26.84,-16.249,-11.9521,-12.3079,-13.6684,-13.9306,-12.1641,-11.5741,-10.1522,-10.9886,-7.7483,-6.6179,-6.9427,-7.145,-6.2294,-11.0203,-2.4693,-4.0699,-6.047,-4.8817,-4.7519,-3.7231,-3.7911,-5.3554,-7.47,-8.1739,-18.8594,-5.8014,-6.9615,-2.7225,-9.52,-1.7762,-2.1278,-1.8875,
total-provision-income-taxes,-0.015,-0.011,0.007,1.139,-0.006,-0.034,,-8.9446,-0.0359,-0.0695,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
