,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,34.306,28.433,23.286,18.821,17.868,14.162,12.703,14.04,15.052,13.416,12.007,14.1961,13.4788,12.2284,12.3188,11.8038,11.0858,14.4204,8.348,8.4021,6.5706,6.3268,5.2022,4.7449,5.5078,5.8375,4.5282,5.5012,5.6859,4.5239,6.8645,5.427,3.919,3.5429,3.5695,3.2816,3.1221,3.051,3.3641,2.5816,1.6548,1.7096,2.3651,1.7676,1.3886,1.3901,1.1144,1.9763,1.2307,1.8063,2.8437,2.016,0.7566,0.8591,0.6367,0.734,0.444,0.4924,0.5544
cost-goods-sold,13.062,12.441,10.946,9.63,7.289,6.96,7.186,7.107,8.523,5.617,6.219,6.6894,8.0337,7.3181,6.7757,5.9754,5.0998,4.7081,3.6747,5.4225,2.5074,2.1301,1.1767,0.6848,3.0046,3.4807,2.0271,1.702,3.2965,2.5311,1.9908,2.144,1.8071,1.3933,1.4528,0.8828,1.0795,0.996,1.315,1.5951,0.7564,0.6992,1.0892,0.4369,0.596,0.5347,0.452,1.8551,0.5516,0.5677,0.4676,0.4836,0.3197,0.4312,0.3215,0.2611,0.2999,0.2683,0.3075
gross-profit,21.244,15.992,12.34,9.191,10.579,7.202,5.517,6.933,6.529,7.799,5.788,7.5066,5.445,4.9103,5.543,5.8284,5.986,9.7123,4.6733,2.9796,4.0632,4.1967,4.0255,4.0601,2.5032,2.3569,2.5011,3.7991,2.3894,1.9928,4.8737,3.283,2.112,2.1496,2.1167,2.3988,2.0425,2.055,2.0491,0.9865,0.8984,1.0104,1.2759,1.3308,0.7926,0.8554,0.6623,0.1212,0.679,1.2385,2.3762,1.5325,0.4369,0.4279,0.3152,0.4729,0.1441,0.2241,0.2469
research-development-expenses,2.863,2.494,2.387,3.007,3.191,3.23,2.9,2.319,3.289,3.159,3.087,4.0374,5.9586,3.948,5.648,5.6419,5.1424,4.5687,4.378,5.7347,4.4267,3.9429,4.5336,3.4771,4.318,4.3955,3.0727,4.8765,4.1204,2.7147,3.2099,1.5744,1.4292,1.9463,1.7493,2.1412,2.3327,2.2428,2.0858,1.9455,2.0049,1.7453,2.2068,1.9557,2.1533,1.7912,1.9663,1.3649,1.6521,1.5217,0.8236,0.9161,0.8933,1.0396,0.9295,1.1736,0.7916,0.923,0.7888
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,32.31,30.022,28.268,24.533,19.227,18.073,18.322,18.059,19.998,16.136,16.773,18.4162,19.6152,18.2806,20.027,18.2948,16.8533,15.8819,15.09,18.4423,13.7442,15.4179,14.0105,10.6921,11.877,10.9682,7.9315,10.5459,9.2051,7.3145,6.9616,5.5894,5.1855,5.1393,4.9811,4.5072,4.787,4.602,4.949,5.0613,4.1976,3.8023,4.9435,4.3709,4.4152,4.5363,4.5364,5.27,3.9201,4.0047,3.3078,3.4035,2.752,3.4269,2.9629,2.6848,2.4347,2.8387,2.8557
operating-income,1.996,-1.589,-4.982,-5.712,-1.359,-3.911,-5.619,-4.019,-4.946,-2.72,-4.766,-4.2201,-6.1364,-6.0522,-7.7082,-6.491,-5.7676,-1.4615,-6.742,-10.0402,-7.1736,-9.0912,-8.8083,-5.9472,-6.3692,-5.1307,-3.4033,-5.0447,-3.5192,-2.7905,-0.0971,-0.1624,-1.2665,-1.5964,-1.4115,-1.2256,-1.665,-1.551,-1.5849,-2.4797,-2.5428,-2.0927,-2.5784,-2.6032,-3.0266,-3.1461,-3.422,-3.2937,-2.6894,-2.1985,-0.4641,-1.3875,-1.9953,-2.5678,-2.3262,-1.9509,-1.9908,-2.3462,-2.3013
total-non-operating-income-expense,-0.953,-0.637,-0.557,11.846,-0.577,-0.609,-0.574,0.305,-0.507,-0.12,0.03,-0.1803,0.0155,-0.0092,0.0521,0.0394,0.0295,-0.0452,-0.0457,-0.0078,-0.0128,-0.0066,0.0137,0.0121,0.0092,0.0274,-0.0052,0.0329,-0.015,-0.0165,0.0227,0.0084,-0.0328,0.0423,0.0309,-0.073,0.0336,-0.0013,-0.0241,0.0731,-0.2815,-0.1917,-0.197,-0.1399,-0.1622,-0.1146,-0.0757,0.0521,0.0786,-0.0986,0.0345,-0.0262,0.0705,0.111,0.0217,0.0302,0.0141,0.0185,0.0284
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,1.043,-2.226,-5.539,6.134,-1.936,-4.52,-6.193,-3.714,-5.453,-2.84,-4.736,-4.5004,-6.121,-6.0615,-7.6561,-6.6266,-5.738,-1.5066,-6.7877,-10.0729,-7.1864,-9.0977,-8.7946,-5.6351,-6.36,-5.1033,-3.4084,-5.0117,-3.5342,-2.8071,-0.0744,-0.1539,-1.2993,-1.5541,-1.3806,-1.2986,-1.6314,-1.5523,-1.6089,-2.4066,-2.8244,-2.2844,-2.7754,-2.7432,-3.1888,-3.2608,-3.4977,-3.2416,-2.6107,-2.297,-0.4296,-1.4137,-1.9249,-2.4567,-2.404,-1.9207,-1.9766,-2.3777,-2.2729
ebitda,2.574,-0.929,-4.304,-4.796,-0.758,-3.308,-5.015,-3.453,-4.382,-2.24,-4.272,-3.7416,-5.6532,-5.5698,-7.2914,-6.0878,-5.3635,-1.0687,-6.362,-9.6884,-6.8026,-8.8096,-8.5685,-5.7064,-6.1847,-4.9873,-3.2686,-4.9254,-3.4164,-2.7615,-0.0508,-0.1059,-1.2219,-1.56,-1.371,-1.1744,-1.6162,-1.5065,-1.5406,-2.429,-2.3715,-1.9904,-2.4698,-2.4423,-2.8999,-3.0127,-3.2901,-1.0023,-2.5075,-2.0281,-0.3298,-1.2711,-1.8603,-2.444,-2.2079,-1.8317,-1.8686,-2.2282,-2.1474
ebit,1.996,-1.589,-4.982,-5.712,-1.359,-3.911,-5.619,-4.019,-4.946,-2.72,-4.766,-4.2201,-6.1364,-6.0522,-7.7082,-6.491,-5.7676,-1.4615,-6.742,-10.0402,-7.1736,-9.0912,-8.8083,-5.9472,-6.3692,-5.1307,-3.4033,-5.0447,-3.5192,-2.7905,-0.0971,-0.1624,-1.2665,-1.5964,-1.4115,-1.2256,-1.665,-1.551,-1.5849,-2.4797,-2.5428,-2.0927,-2.5784,-2.6032,-3.0266,-3.1461,-3.422,-3.2937,-2.6894,-2.1985,-0.4641,-1.3875,-1.9953,-2.5678,-2.3262,-1.9509,-1.9908,-2.3462,-2.3013
basic-shares-outstanding,163.119,162.734,160.446,157.407,157.471,157.024,156.724,156.054,156.401,155.926,155.215,154.992,155.061,154.936,154.858,146.594,154.809,144.65,131.745,130.55,130.771,130.052,129.656,126.897,127.162,126.463,126.107,110.185,108.9618,104.552,103.659,96.995,103.312,95.157,85.72,83.17,83.615,82.912,82.265,73.489,75.871,68.101,68.05,67.233,67.98,67.32,65.629,59.605,64.66,54.627,53.413,51.582,53.095,52.962,46.972,41.46,42.171,40.54,40.458
shares-outstanding,168.503,162.734,160.446,157.407,157.471,157.024,156.724,156.054,156.401,155.926,155.215,154.992,155.061,154.936,154.858,146.594,154.809,144.65,131.745,130.55,130.771,130.052,129.656,126.897,127.162,126.463,126.107,110.185,108.9618,104.552,103.659,96.995,103.312,95.157,85.72,83.17,83.615,82.913,82.265,73.489,75.871,68.101,68.05,67.233,67.98,67.32,65.629,59.605,64.66,54.627,53.413,51.582,53.095,52.962,46.972,41.46,42.171,40.54,40.458
