,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
revenue,0.3832,0.3997,0.2842,0.3448,0.4135,0.4961,0.3079,0.3191,0.3175,0.3748,0.0663,0.2898,0.3267,,,,,,,,
cost-goods-sold,0.33,0.3198,0.2742,0.2892,0.2955,0.3627,0.2268,0.2154,0.2278,0.2871,0.0996,0.0395,0.0335,,,,,,,,
gross-profit,0.0532,0.0799,0.01,0.0555,0.118,0.1333,0.0811,0.1037,0.0897,0.0877,-0.0333,0.2503,0.2931,,,,,,,,
research-development-expenses,0.2651,0.9497,0.1525,,0.0014,0.0003,,,,,,,,,,,,,,,0.0
selling-general-administrative-expenses,4.2544,2.6814,2.8546,0.4684,2.4961,0.7533,0.8241,0.6535,0.5614,0.3037,0.2524,0.041,0.0012,0.0051,0.0234,0.0069,0.0123,0.0048,0.0071,,
other-operating-income-expenses,-1.01,-0.7925,-1.4682,-2.3125,,-0.593,-0.5718,-1.7885,-0.1862,-0.1727,-0.2072,-0.2347,-0.084,-0.041,-0.0361,,,,,,
operating-expenses,5.8596,4.7435,4.7495,3.0685,2.7929,1.7093,1.6226,2.6574,0.9754,0.7635,0.5592,0.3151,0.1188,0.0461,0.0595,0.0069,0.0123,0.0048,0.0071,,
operating-income,-5.4763,-4.3438,-4.4653,-2.7237,-2.3794,-1.2133,-1.3147,-2.3383,-0.6579,-0.3887,-0.4929,-0.0254,0.2078,-0.0461,-0.0595,-0.0069,-0.0123,-0.0048,-0.0071,,
total-non-operating-income-expense,1.1423,-0.1054,-0.0396,-0.0305,-0.0238,-0.1306,-0.2363,-0.0207,-0.0528,-0.0418,-0.0565,0.0005,0.0,0.0001,0.0,,,,,,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,0.0
income-after-taxes,,,,,,,,,,,,,,,,,,,,,0.0
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,0.0
net-income,-3.8582,-4.3572,-4.4058,-2.6535,-2.3447,-1.2944,-1.4816,-1.7737,-0.7107,-0.4305,-0.5493,-0.0468,0.2079,-0.046,-0.0595,-0.0069,-0.0123,-0.0048,-0.0071,,
ebitda,-5.3308,-4.1984,-4.3262,-2.5845,-2.2438,-1.0887,-1.1913,-2.2152,-0.6336,-0.3546,-0.4929,-0.0254,0.2078,-0.0461,-0.0595,-0.0069,-0.0123,-0.0048,-0.0071,,
ebit,-5.4763,-4.3438,-4.4653,-2.7237,-2.3794,-1.2133,-1.3147,-2.3383,-0.6579,-0.3887,-0.4929,-0.0254,0.2078,-0.0461,-0.0595,-0.0069,-0.0123,-0.0048,-0.0071,,
basic-shares-outstanding,75.666,75.183,73.69,72.004,72.573,71.98,69.782,65.033,64.629,64.629,62.595,51.139,50.0,50.0,50.0,6.334,1.5,6.0,6.0,,
shares-outstanding,75.666,75.183,73.69,72.004,72.573,71.98,69.782,65.033,64.629,64.629,62.595,51.139,50.0,50.0,50.0,6.334,1.5,6.0,6.0,,
eps-basic-net-earnings-per-share,-0.05,-0.06,-0.06,-0.04,-0.03,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.002,0.004,-0.001,-0.001,0.01,-0.01,0.0,0.0,,
eps-earnings-per-share-diluted,-0.05,-0.06,-0.06,-0.04,-0.03,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.002,0.004,-0.001,-0.001,0.01,-0.01,0.0,0.0,0.0,0.0
