,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
eps-earnings-per-share-diluted,-0.57,-0.67,-0.72,4.36,-0.49,-2.98,-4.51,0.0,-2.85,-1.15,0.0
research-development-expenses,13.042,12.267,12.446,12.809,9.232,7.407,5.647,,5.411,1.881,
selling-general-administrative-expenses,,,,,,,,,,,
operating-expenses,18.064,16.612,17.7,16.676,12.232,9.547,7.788,,6.37,2.542,
operating-income,-18.064,-16.612,-17.7,-16.676,-12.232,-9.547,-7.788,,-6.37,-2.542,
total-non-operating-income-expense,0.919,0.557,0.597,0.655,0.641,-0.96,-0.454,,-0.071,0.008,
pre-tax-income,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,
net-income,-17.145,-16.055,-17.103,-16.021,-11.591,-10.507,-10.485,,-6.441,-2.534,
ebitda,-17.849,-16.412,-17.51,-16.488,-12.091,-9.491,-7.756,,-6.346,-2.542,
ebit,-18.064,-16.612,-17.7,-16.676,-12.232,-9.547,-7.788,,-6.37,-2.542,
basic-shares-outstanding,30.297,24.046,23.894,13.435,23.747,3.529,2.325,,2.263,2.203,
shares-outstanding,30.297,24.046,23.894,13.435,23.747,3.529,2.325,,2.263,2.203,
eps-basic-net-earnings-per-share,-0.57,-0.67,-0.72,4.36,-0.49,-2.98,-4.51,,-2.85,-1.15,
