,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31
eps-earnings-per-share-diluted,-0.56,-0.41,-0.32,-0.33,-0.31,-0.32,-0.19,-0.29,-0.27,-0.3,-0.41,-0.37,-0.38,-0.36,-0.31,-0.12,-0.41,-0.19,-0.19,0.0,0.0
research-development-expenses,15.8356,11.0031,7.6031,7.1512,6.0408,5.5505,4.7525,4.4939,4.4711,5.0074,5.9852,5.8068,5.5688,5.2981,4.5263,2.22,1.5244,1.6284,1.4163,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,
operating-expenses,18.9472,13.4482,10.4215,9.4503,8.2435,7.9896,7.1632,6.4441,6.2974,6.7507,7.672,7.6256,7.2078,6.8273,5.8829,3.18,2.0238,2.0848,1.9331,,
operating-income,-18.9472,-13.4482,-10.4215,-9.4503,-8.2435,-7.9896,-7.1632,-6.4441,-6.2974,-6.7507,-7.672,-7.6256,-7.2078,-6.8273,-5.8829,-3.18,-2.0238,-2.0848,-1.9331,,
total-non-operating-income-expense,-0.1884,-0.314,-0.2189,-0.1467,-0.0385,-0.2913,2.3577,-0.9864,-0.1361,-0.3336,-0.323,0.2966,0.0132,0.0151,0.0169,-0.22,-2.5523,-0.0446,-0.207,,
pre-tax-income,,,,,,,,,,,,,,,,0.0,,,,,
income-after-taxes,,,,,,,,,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,0.0,,,,,
net-income,-19.1356,-13.7622,-10.6404,-9.597,-8.282,-8.2809,-4.8056,-7.4305,-6.4335,-7.0843,-7.995,-7.3289,-7.1946,-6.8122,-5.8659,-1.714,-4.5761,-2.1294,-2.1401,,
ebitda,-18.7609,-13.2497,-10.3026,-9.3561,-8.1418,-7.8814,-7.0428,-6.3152,-6.167,-6.6227,-7.5463,-7.5469,-7.2022,-6.8243,-5.8808,-3.214,-1.9984,-2.0444,-1.9149,,
ebit,-18.9472,-13.4482,-10.4215,-9.4503,-8.2435,-7.9896,-7.1632,-6.4441,-6.2974,-6.7507,-7.672,-7.6256,-7.2078,-6.8273,-5.8829,-3.18,-2.0238,-2.0848,-1.9331,,
basic-shares-outstanding,34.4455,33.8018,33.052,26.8837,26.3259,25.7912,25.501,22.7646,23.634,23.596,19.538,19.1507,19.1499,19.1494,19.149,14.43,11.108,11.108,11.108,,
shares-outstanding,34.4455,33.8018,33.052,26.8837,26.3259,25.7912,25.501,22.7646,23.634,23.596,19.538,19.1507,19.1499,19.1494,19.149,14.43,11.108,11.108,11.108,,
eps-basic-net-earnings-per-share,-0.56,-0.41,-0.32,-0.33,-0.31,-0.32,-0.19,-0.29,-0.27,-0.3,-0.41,-0.37,-0.38,-0.36,-0.31,-0.12,-0.41,-0.19,-0.19,,
