,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,3600.1,3616.7,3489.8,3526.3,3439.0,3356.5,3131.1,3307.001,3077.8,3078.4,2810.7,2872.0,2955.8,2894.2,2726.8,2839.3,2777.9,2591.6,2555.0,2640.65,2511.446,2421.452,2129.751,1965.851,1827.78,1723.473,1415.096,1417.942,1385.554,1420.951,1292.014,1326.711,1309.934,1208.647,1203.342,1219.072,1175.789,1212.702,1108.86,1127.057,1120.518,1093.289,1036.484,1068.913,1092.964,993.444,942.186,893.3,789.231,773.176,715.91,708.3411,703.492,660.041,611.175,632.853,596.211,605.634,587.802
cost-goods-sold,430.0,476.3,602.0,488.5,460.8,421.0,446.0,509.2,370.0,366.2,384.6,378.4999,416.9,370.3,313.0,331.9001,310.0,286.1,312.4,297.229,302.639,291.887,279.245,258.527,234.696,230.728,133.749,133.827,139.358,139.112,133.197,139.637,123.527,100.503,103.113,100.304,95.918,106.985,97.055,99.7,93.486,90.721,98.197,101.161,107.493,92.401,100.934,87.566,81.613,84.063,81.95,62.104,66.792,77.993,67.494,113.351,89.561,71.093,99.609
gross-profit,3170.1,3140.4,2887.8,3037.8,2978.2,2935.5,2685.1,2797.801,2707.8,2712.2,2426.1,2493.5,2538.9,2523.9,2413.8,2507.4,2467.9,2305.5,2242.6,2343.421,2208.807,2129.565,1850.506,1707.324,1593.084,1492.745,1281.347,1284.115,1246.196,1281.839,1158.817,1187.074,1186.407,1108.144,1100.229,1118.768,1079.871,1105.717,1011.805,1027.357,1027.032,1002.568,938.287,967.7521,985.471,901.043,841.252,805.734,707.618,689.113,633.96,646.2371,636.7,582.048,543.681,519.502,506.65,534.541,488.193
research-development-expenses,540.4,484.8,563.7,611.6,507.9,981.0,496.7,587.6001,446.4,796.2,423.4,533.9001,529.0,473.1,437.3,541.7,519.9,490.7,460.5,500.0692,417.174,447.273,528.884,422.28,410.017,327.463,284.34,345.1809,304.217,329.559,355.962,338.934,301.391,285.644,293.633,290.8451,319.054,331.675,307.03,283.082,304.055,416.453,279.478,292.767,268.8,252.259,258.232,229.292,286.274,218.149,191.449,199.48,211.033,161.985,145.892,168.312,227.039,179.843,172.477
selling-general-administrative-expenses,554.5,587.6,567.7,591.1002,497.7,516.2,501.3,571.9999,433.4,429.8,498.7,494.1999,462.7,492.4,497.3,583.0,477.8,491.9,560.4,573.5679,570.436,576.622,511.674,522.906,405.584,431.012,352.598,375.978,299.631,301.767,300.089,283.9181,261.398,266.301,244.516,276.394,244.16,262.322,248.664,241.62,226.755,220.829,221.83,230.963,232.824,245.689,215.829,193.73,190.644,203.668,188.061,186.945,173.442,170.289,154.391,169.122,161.41,155.754,158.472
other-operating-income-expenses,15.3,-41.2,-185.1,-135.1,40.4,-41.1,-36.9,-31.3,-65.2,-47.7,-30.8,-461.9,-10.6,-5.0,-2.3,-24.7,-0.2,2.2,-7.8,-2.651,53.812,-0.119,4.658,5.055,7.046,10.482,-82.583,-66.502,-53.282,-91.369,-87.152,-103.617,-83.975,-90.25,-75.994,-67.831,-63.991,-62.692,-63.557,-63.296,-60.697,-49.138,-42.773,-28.431,-43.533,-33.429,-21.406,-13.549,-5.842,0.105,5.567,-8.074,5.114,34.991,0.298,-15.208,-21.046,-75.565,-6.293
operating-expenses,1793.8,1660.8,1987.1,2083.199,1741.4,2143.3,1596.4,1840.8,1423.9,1877.4,1786.0,1984.5,1530.5,1433.7,1348.4,1671.3,1406.0,1358.5,1437.0,1480.802,1358.868,1432.727,1458.403,1308.034,1143.249,1060.946,904.571,972.4361,850.304,915.228,922.644,917.609,821.4409,797.834,787.059,863.8871,981.654,816.822,805.171,743.6801,736.34,870.375,731.526,743.953,747.114,696.647,696.182,630.8699,660.0209,566.736,534.218,516.6228,506.164,782.0559,438.186,539.5532,575.046,559.333,512.528
operating-income,1806.3,1955.9,1502.7,1443.101,1697.6,1213.2,1534.7,1466.201,1653.9,1201.0,1024.7,887.4995,1425.3,1460.5,1378.4,1168.0,1371.9,1233.1,1118.0,1159.849,1152.578,988.725,671.3479,657.8169,684.531,662.5271,510.525,445.5059,535.25,505.7231,369.3701,409.1017,488.493,410.813,416.2831,355.1846,194.1349,395.88,303.689,383.377,384.1779,222.9139,304.958,324.9601,345.85,296.7969,246.004,262.4301,129.2101,206.44,181.692,191.7183,197.328,-122.0149,172.989,93.2999,21.165,46.301,75.274
total-non-operating-income-expense,-27.3,-197.4,357.3,-28.6,115.1,-34.5,-41.0,-66.4,-44.0,-68.6,-38.0,-49.3,-58.1,-58.5,-52.8,-82.4,-15.4,-10.9,-15.0,-8.77,-16.29,4.861,-5.601,-5.375,-4.64,-10.428,-14.457,-14.29,-4.548,2.95,15.144,-3.973,-7.727,-11.728,9.951,-4.664,-6.945,1.012,-8.386,6.366,9.36,14.68,6.846,-33.077,-23.713,-4.018,3.08,-25.796,44.904,31.586,21.702,-10.647,22.319,21.806,18.665,11.838,11.192,6.051,-8.926
pre-tax-income,1779.0,1758.5,1860.0,1414.5,1812.7,1178.7,1493.7,1399.8,1609.9,1132.4,986.7,838.2001,1367.2,1402.0,1325.6,1085.8,1356.4,1222.2,1102.9,1150.979,1136.288,993.586,665.747,652.5421,679.891,652.099,496.068,431.216,530.702,508.673,384.514,405.129,480.766,399.085,426.234,350.5211,187.19,396.892,295.303,389.743,393.538,237.594,311.804,291.8831,322.137,292.779,249.084,236.634,174.114,238.026,203.394,181.071,219.647,-100.209,191.654,105.138,32.357,52.352,66.348
