,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,1008.949,1019.457,1042.044,1068.93,1120.062,1155.2,1187.234,1165.89,1177.988,1186.472,1216.766,1208.868,1246.126,1258.83,1263.156,1235.702,1238.841,1238.184,1247.881,1252.103,1083.935,748.393,747.275,734.233,728.999,716.468,712.266,699.412,696.145,690.473,682.708,670.5358,615.728,583.299,586.92,594.8038,575.789,565.518,544.424,595.7279,505.843,500.757,497.946,486.928,482.277,478.201,480.648,469.458,464.594,458.41,446.834,432.26,387.043,268.427,222.183,213.047,209.252,193.295,174.983
cost-goods-sold,615.717,590.246,586.094,586.851,607.076,627.076,632.325,634.554,650.654,642.405,674.542,686.1761,704.221,693.103,715.902,697.2621,699.72,694.991,696.889,707.9989,637.084,435.415,429.87,422.336,420.579,416.027,413.003,417.1679,411.467,403.515,398.769,389.961,381.414,366.242,370.954,360.619,368.936,353.051,355.324,338.64,328.939,316.586,318.112,322.595,322.601,306.526,305.059,309.265,294.997,285.866,280.809,276.383,245.192,161.281,136.945,127.105,133.567,122.866,110.349
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,56.409,57.576,56.311,47.357,58.796,62.907,81.435,59.017,63.779,67.09,65.56,66.668,63.425,90.695,92.621,91.97,99.534,89.545,89.53,98.574,90.02,47.008,44.665,42.157,45.824,46.035,46.611,44.627,43.158,46.071,44.973,42.392,38.711,33.681,33.543,34.692,33.231,31.834,31.952,34.716,34.72,31.721,33.707,31.286,32.948,40.297,36.388,26.869,34.733,35.758,40.653,44.439,29.248,23.125,21.085,27.69,31.025,11.323,11.658
other-operating-income-expenses,-261.401,-271.631,-285.699,-337.1459,-334.084,-470.587,-342.687,-334.674,-328.325,-324.357,-280.345,-275.901,-280.941,-283.351,-286.142,-271.024,-275.209,-271.126,-357.908,-303.411,-251.029,-164.225,-170.276,-171.357,-159.969,-158.717,-149.306,-163.498,-154.375,-158.798,-149.099,-157.73,-102.027,-83.936,-98.641,-113.858,-90.031,-83.721,-68.249,-155.164,-68.036,-68.434,-67.741,-68.628,-70.63,-67.199,-67.812,-68.263,-67.708,-67.176,-68.481,-72.799,-63.623,-46.623,-45.734,-48.487,-47.259,-47.091,-46.502
operating-expenses,1029.171,1017.246,1025.383,1115.385,1116.436,1292.789,1601.065,1163.265,1528.958,1156.298,1168.64,1387.237,1198.481,1200.543,1221.802,1244.575,1235.178,1281.307,1364.754,1326.616,1157.132,717.736,715.127,704.0497,695.016,688.033,673.579,687.793,671.876,671.9451,656.185,652.1589,586.223,554.436,574.92,577.0322,567.149,541.774,528.586,600.12,498.678,484.003,487.693,710.855,493.245,482.898,481.199,469.632,476.673,471.271,462.927,467.6211,398.946,261.976,226.063,222.291,225.645,190.352,173.682
operating-income,-20.2219,2.211,16.661,-46.455,3.626,-137.589,-413.8309,2.6252,-350.97,30.174,48.126,-178.3691,47.645,58.287,41.354,-8.8732,3.663,-43.1231,-116.8729,-74.5128,-73.197,30.657,32.148,30.1834,33.983,28.4351,38.687,11.619,24.269,18.528,26.523,18.3769,29.505,28.863,11.9999,17.7716,8.64,23.744,15.838,-4.3921,7.165,16.754,10.253,-223.927,-10.968,-4.697,-0.551,-0.174,-12.079,-12.861,-16.093,-35.3611,-11.903,6.451,-3.88,213.047,-16.393,2.943,1.301
total-non-operating-income-expense,-60.086,-57.633,-58.588,146.254,-58.529,-43.466,-27.818,-54.194,-94.177,-79.246,-90.459,-90.8,-95.214,-93.655,-88.506,-95.962,-102.795,-94.277,-92.124,-99.483,-79.912,-32.99,-33.441,-32.674,-33.99,-32.471,-33.981,-37.351,-35.738,-36.661,-36.137,-34.434,-36.028,-50.094,-35.459,-32.812,-37.374,-38.63,-37.511,-30.397,-35.784,-29.779,-33.001,-86.594,-47.247,-1.559,-84.429,-81.802,-81.968,-19.171,-39.484,-26.767,-33.299,-26.204,-14.944,-15.062,-13.828,-11.817,-5.43
pre-tax-income,-80.308,-55.422,-41.927,99.799,-54.903,-181.055,-441.649,-51.569,-445.147,-49.072,-42.333,-269.169,-47.569,-35.368,-47.152,-104.835,-99.132,-137.4,-208.997,-173.996,-153.109,-2.333,-1.293,-2.491,-0.007,-4.036,4.706,-25.732,-11.469,-18.133,-9.614,-16.057,-6.523,-21.231,-23.459,-15.04,-28.734,-14.886,-21.673,-34.789,-28.619,-13.025,-22.748,-310.521,-58.215,-6.256,-84.98,-81.976,-94.047,-32.032,-55.577,-62.128,-45.202,-19.753,-18.824,213.047,-30.221,-8.874,-4.129
total-provision-income-taxes,-1.8,0.633,0.679,-31.732,-17.763,-15.546,15.585,-66.59,-31.218,-2.735,84.028,-0.569,4.159,0.123,1.665,69.468,-30.796,-52.593,-78.288,-67.2,-116.073,0.962,1.006,-1.516,0.96,1.164,1.148,-1.04,0.747,0.882,0.93,-0.307,0.513,12.728,-11.154,-6.904,-11.821,-5.329,-7.378,-13.99,-7.329,-2.495,-9.112,-31.735,-22.338,-2.771,-29.887,-32.852,-35.125,-12.715,-20.568,-25.004,-14.146,0.273,0.386,0.15,-0.432,0.019,0.166
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,-78.508,-56.055,-42.606,131.531,-37.14,-165.509,-457.234,15.0211,-413.929,-46.337,-126.361,-268.6,-51.728,-35.491,-48.817,-174.303,-68.336,-84.807,-130.709,-106.796,-37.036,-3.295,-2.299,-0.975,-0.967,-5.2,3.558,-24.692,-12.216,-19.015,-10.544,-15.75,-7.036,-33.959,-12.305,-8.136,-16.913,-9.557,-14.295,-20.799,-21.29,-10.53,-13.636,-278.7859,-35.877,-3.485,-55.093,-49.237,-58.927,-18.675,-35.14,-37.357,-31.145,-20.259,-19.326,-20.913,-18.685,-5.954,-1.763
income-from-discontinued-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.543,-0.205,0.112,-0.035
net-income,-78.458,-55.47,-42.595,131.539,-37.121,-165.488,-457.188,15.057,-413.885,-46.287,-126.304,-268.487,-51.685,-35.45,-48.775,-174.259,-68.22,-84.547,-130.451,-106.534,-36.862,-3.295,-2.299,-0.975,-0.967,-5.2,3.558,-24.692,-12.216,-19.015,-10.544,-15.75,-7.036,-33.959,-12.305,-8.136,-16.913,-9.557,-14.295,-20.799,-21.29,-10.53,-13.636,-278.786,-35.877,-3.485,-55.093,-49.237,-58.927,-18.675,-35.14,-37.357,-31.145,-20.259,-19.326,-24.456,-18.89,-5.842,-1.798
ebitda,76.1521,100.589,114.373,96.6811,119.462,-4.467,133.1521,145.0573,135.559,151.69,194.922,178.0059,203.482,190.13,167.049,174.2479,161.656,178.4969,100.1161,137.8152,97.386,97.183,98.187,93.4964,98.621,91.9121,99.689,70.978,84.136,79.272,87.181,78.6619,90.293,93.753,79.6309,83.3236,78.115,92.449,84.67,60.9079,69.485,81.089,73.732,60.603,53.309,60.343,65.17,61.141,61.9,65.993,53.165,34.6839,45.782,37.585,17.952,8.609,-3.551,10.858,4.601
ebit,-20.2219,2.211,16.661,-46.4551,3.626,-137.589,-413.8309,2.6251,-350.97,30.174,48.126,-178.369,47.645,58.287,41.354,-8.873,3.663,-43.1231,-116.8729,-74.5128,-73.197,30.657,32.148,30.1832,33.983,28.4351,38.687,11.619,24.269,18.528,26.523,18.377,29.505,28.863,11.9999,17.7719,8.64,23.744,15.838,-4.392,7.165,16.754,10.253,-223.9271,-10.968,-4.697,-0.551,-0.1739,-12.079,-12.861,-16.093,-35.3611,-11.903,6.451,-3.88,213.047,-16.393,2.943,1.301
basic-shares-outstanding,185.516,186.14,186.747,187.468,187.675,187.585,186.88,186.155,186.298,186.212,185.689,185.653,185.946,185.825,185.153,184.333,184.57,184.266,183.678,148.185,159.003,125.058,124.478,123.671,124.128,123.405,122.823,121.991,122.493,121.708,121.145,121.161,121.616,121.28,120.792,120.01,120.404,119.721,119.315,111.288,118.455,106.042,101.738,101.667,101.398,101.856,101.995,101.511,101.564,101.52,101.302,80.842,91.64,65.007,65.007,59.71,,,
shares-outstanding,185.516,186.14,186.747,187.468,187.675,187.585,186.88,186.155,186.298,186.212,185.689,185.653,185.946,185.825,185.153,184.333,184.57,184.266,183.678,148.185,159.003,125.058,124.478,123.671,124.128,123.405,124.391,121.991,122.493,121.708,121.145,121.161,121.616,121.28,120.792,120.01,120.404,119.721,119.315,111.288,118.455,106.042,101.738,101.667,101.398,101.856,101.995,101.511,101.564,101.52,101.302,80.842,91.64,65.007,65.007,59.71,,,
eps-basic-net-earnings-per-share,-0.42,-0.3,-0.23,0.71,-0.2,-0.88,-2.45,0.08,-2.22,-0.25,-0.68,-1.45,-0.28,-0.19,-0.26,-0.94,-0.37,-0.46,-0.71,-0.73,-0.23,-0.03,-0.02,-0.01,-0.01,-0.04,0.03,-0.19,-0.1,-0.16,-0.09,-0.13,-0.06,-0.28,-0.1,-0.07,-0.14,-0.08,-0.12,-0.19,-0.18,-0.1,-0.13,-2.74,-0.36,-0.03,-0.54,-0.49,-0.58,-0.18,-0.35,-0.39,-0.34,-0.31,-0.3,-0.41,,,
eps-earnings-per-share-diluted,-0.42,-0.3,-0.23,0.71,-0.2,-0.88,-2.45,0.08,-2.22,-0.25,-0.68,-1.45,-0.28,-0.19,-0.26,-0.94,-0.37,-0.46,-0.71,-0.73,-0.23,-0.03,-0.02,-0.01,-0.01,-0.04,0.03,-0.19,-0.1,-0.16,-0.09,-0.13,-0.06,-0.28,-0.1,-0.07,-0.14,-0.08,-0.12,-0.19,-0.18,-0.1,-0.13,-2.74,-0.36,-0.03,-0.54,-0.49,-0.58,-0.18,-0.35,-0.39,-0.34,-0.31,-0.3,-0.41,0.0,0.0,0.0
