,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
revenue,8.91,13.296,12.471,19.243,11.528,7.851,15.957,4.168,7.711,16.716,6.832,1.552,1.552,1.552,1.499,1.471,1.324,4.94,6.344,6.386,6.365,6.335,6.335,6.335,6.385,6.334,1.127,,0.085,0.085,
cost-goods-sold,0.862,0.613,0.43,0.818,0.029,0.021,0.017,0.007,1.1,0.42,,,,,,,,,,,,,,,,,,,,,
gross-profit,8.048,12.683,12.041,18.425,11.499,7.83,15.94,4.161,6.611,16.296,6.832,1.552,1.552,1.552,1.499,1.471,1.324,4.94,6.344,6.386,6.365,6.335,6.335,6.335,6.385,6.334,1.127,,0.085,0.085,
research-development-expenses,151.412,146.54,122.64,119.722,116.744,115.014,97.109,92.576,61.545,63.891,55.028,57.133,63.971,41.76,41.911,35.658,30.395,44.266,23.719,20.531,16.649,13.931,11.463,9.765,8.706,7.247,5.284,,3.501,3.354,
selling-general-administrative-expenses,66.25,68.631,60.279,53.508,44.527,41.168,34.926,29.087,22.982,21.197,20.284,16.178,14.623,18.363,15.955,14.445,13.704,10.724,7.336,5.301,6.648,5.738,5.54,4.685,3.836,3.281,2.324,,1.608,1.331,
other-operating-income-expenses,-0.802,-0.214,-0.296,-2.156,-0.047,-0.262,-0.534,0.73,0.258,0.97,-1.433,-0.576,-1.098,-1.404,-1.013,-0.329,-0.352,-1.973,-0.215,-0.168,-0.078,,,,,,,,,,
operating-expenses,219.326,215.998,183.645,176.2041,161.347,156.465,132.586,120.94,85.369,84.538,76.745,73.887,79.692,61.527,58.879,50.432,44.451,56.963,31.27,26.0,23.375,19.669,17.003,14.45,12.542,10.528,7.608,,5.109,4.685,
operating-income,-210.416,-202.702,-171.174,-156.9611,-149.819,-148.614,-116.629,-116.772,-77.658,-67.822,-69.913,-72.335,-78.14,-59.975,-57.38,-48.961,-43.127,-52.023,-24.926,-19.614,-17.01,-13.334,-10.668,-8.115,-6.157,-4.194,-6.481,,-5.024,-4.6,
total-non-operating-income-expense,4.119,6.451,6.713,8.125,4.339,2.618,1.503,-0.246,-1.147,-3.076,1.201,0.908,0.937,0.905,0.961,1.684,0.263,0.228,0.139,0.07,-0.02,0.011,0.059,0.034,0.044,-0.389,-0.063,,-0.017,0.037,
pre-tax-income,-206.297,-196.251,-164.461,-148.836,-145.48,-145.996,-115.126,-117.018,-78.805,-70.898,-68.712,-71.427,-77.203,-59.07,-56.419,-47.277,-42.864,-51.795,-24.787,-19.544,-17.03,-13.323,-10.609,-8.081,-6.113,-4.583,-6.544,,-5.041,-4.563,
total-provision-income-taxes,-0.264,-0.469,-0.015,,,,,,,,,-0.063,-0.178,-0.226,-0.145,,0.06,,,,,-11.797,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-206.033,-195.782,-164.446,-149.023,-145.48,-145.996,-115.126,-117.228,-78.805,-70.898,-68.712,-71.364,-77.025,-58.844,-56.274,-47.277,-42.924,-51.795,-24.787,-19.544,-17.03,-1.526,-10.609,-8.081,-6.113,-4.583,-6.544,,0.315,-5.848,
ebitda,-205.869,-198.654,-167.391,-152.4161,-145.405,-144.435,-112.609,-113.133,-74.04,-64.385,-67.069,-69.819,-75.755,-57.511,-55.097,-46.923,-41.255,-50.224,-23.216,-17.944,-15.469,-12.792,-10.193,-7.784,-5.851,-4.029,-6.342,,-4.952,-4.6,
ebit,-210.416,-202.702,-171.174,-156.9611,-149.819,-148.614,-116.629,-116.772,-77.658,-67.822,-69.913,-72.335,-78.14,-59.975,-57.38,-48.961,-43.127,-52.023,-24.926,-19.614,-17.01,-13.334,-10.668,-8.115,-6.157,-4.194,-6.481,,-5.024,-4.6,
basic-shares-outstanding,55.292,55.165,54.957,52.032,53.277,50.153,49.923,43.535,45.648,41.035,40.836,37.284,37.201,36.954,36.92,34.669,36.384,32.955,32.558,26.546,28.115,24.474,24.148,12.555,23.623,2.151,0.328,,0.275,0.252,
shares-outstanding,55.292,55.165,54.957,52.032,53.277,50.153,49.923,43.535,45.648,41.035,40.836,37.284,37.201,36.954,36.92,34.669,36.384,32.955,32.558,26.546,28.115,24.474,24.148,12.555,23.623,2.151,0.328,,0.554,0.252,
eps-basic-net-earnings-per-share,-3.73,-3.55,-2.99,-2.73,-2.73,-2.91,-2.31,-2.57,-1.73,-1.73,-1.68,-1.89,-2.07,-1.59,-1.52,-1.3,-1.18,-1.57,-0.76,-0.72,-0.61,-0.06,-0.44,20.31,-0.26,-2.13,-19.94,,1.15,-23.21,
eps-earnings-per-share-diluted,-3.73,-3.55,-2.99,-2.73,-2.73,-2.91,-2.31,-2.57,-1.73,-1.73,-1.68,-1.89,-2.07,-1.59,-1.52,-1.3,-1.18,-1.57,-0.76,-0.72,-0.61,-0.06,-0.44,20.31,-0.26,-2.13,-19.94,0.0,1.14,-23.21,0.0
