,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,37341.0,37353.0,35228.0,37740.0,35213.0,35349.0,33633.0,35186.0,32641.0,32966.0,31821.0,33150.0,32039.0,31384.0,30662.0,31445.0,28055.0,27549.0,25375.0,25537.0,24070.0,22894.0,21427.0,22240.0,24523.0,25420.0,24552.0,25232.0,25889.0,26764.0,26918.0,27078.0,26792.0,26763.3,26071.4,25371.8,24437.5,24459.8,24342.8,24919.7,24780.7,24347.3,24089.3,24117.8,23437.1,22894.3,22909.6,23282.7,21973.4,22165.8,21867.1,21784.6,20937.5,20866.9,20213.2,19346.9,19237.2,17367.0,18959.6
cost-goods-sold,35662.0,35680.0,33464.0,36010.0,33546.0,33614.0,31720.0,33325.0,30969.0,31342.0,30093.0,31548.0,30449.0,29718.0,28973.0,29836.0,26476.0,26091.0,23916.0,24083.0,22729.0,21639.0,20130.0,20895.0,23259.0,24173.0,23261.0,24008.0,24730.0,25628.0,25711.0,25964.0,25708.0,25719.89,24909.2,24377.6,23475.3,23555.4,23332.7,23962.0,23871.9,23403.0,23102.4,23202.7,22535.9,21439.6,21441.8,21928.1,20631.2,20856.3,20479.6,20484.7,19737.0,19667.2,18958.8,18181.2,18043.0,16536.0,17630.7
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,1107.0,1164.0,1097.0,1064.0,1155.0,1271.0,1132.0,1131.0,1062.0,985.0,960.0,910.0,920.0,970.0,914.0,922.0,842.0,847.0,803.0,815.0,775.0,794.0,736.0,766.0,732.0,774.0,712.0,699.0,690.0,710.0,683.0,640.0,644.0,670.3,669.5,606.7,581.5,577.1,628.6,605.2,586.1,591.7,573.0,578.5,590.3,895.0,854.5,828.9,830.1,798.3,781.7,755.8,725.5,691.2,701.0,696.9,793.7,427.4,678.7
other-operating-income-expenses,-5674.0,-19.0,-28.0,7.0,492.0,-1359.0,-58.0,-126.0,-33.0,-14.0,-20.0,-28.0,-4.0,61.0,-5.0,-8.0,,49.0,19.0,-26.0,-28.0,-7.0,8.0,6.0,-1.0,-831.0,-18.0,7.0,21.0,-2.0,-17.0,-1.0,2.0,5.0,-8.9,-7.8,-3.3,32.4,-1.3,25.0,-23.1,-7.6,-1.3,-6.6,-3.6,-32.4,-36.8,-6.5,-22.3,-117.7,-615.6,-32.2,-23.8,-32.3,-18.5,-11.7,-23.8,98.8,-58.9
operating-expenses,42605.0,37045.0,34796.0,37236.0,34397.0,36430.0,33087.0,34787.0,32379.0,32528.0,31216.0,32608.0,31504.0,30764.0,30006.0,30882.0,27435.0,26991.0,24784.0,24991.0,23604.0,22507.0,20919.0,21721.0,24052.0,25862.0,24077.0,24726.0,25432.0,26360.0,26391.0,26629.0,26380.0,26404.4,25624.1,25027.9,24073.6,24125.8,23976.5,24552.9,24540.8,24040.5,23708.4,23804.7,23150.5,22367.0,22333.1,22763.5,21483.6,21772.3,21876.9,21272.7,20486.3,20390.7,19678.3,18889.8,18860.5,16864.6,18368.3
operating-income,-5264.0,308.0,432.0,504.0,816.0,-1081.0,546.0,399.0,262.0,438.0,605.0,542.0,535.0,620.0,656.0,563.0,620.0,558.0,591.0,546.0,466.0,387.0,508.0,519.0,471.0,-442.0,475.0,506.0,457.0,404.0,527.0,449.0,412.0,358.9023,447.3008,343.9004,363.8984,334.002,366.3008,366.8008,239.9004,306.7988,380.9004,313.1016,286.5996,527.3008,576.498,519.1992,489.8008,393.5,-9.7988,511.9004,451.1992,476.207,534.8984,457.1016,376.6992,502.3945,591.3008
total-non-operating-income-expense,-80.0,-70.0,-62.0,-97.0,-80.0,-106.0,-82.0,-82.0,-84.0,-63.0,-41.0,-51.0,-41.0,-44.0,-44.0,-43.0,-52.0,-35.0,-33.0,-95.0,-31.0,-30.0,-1.0,-27.0,-29.0,-39.0,-28.0,-23.0,-18.0,-27.0,-17.0,-23.0,-27.0,-18.0,-22.2,-16.1,60.3,-25.2,-3.1,-1.8,-64.9,-17.1,-36.8,-41.9,-31.8,-47.0,-31.1,-50.0,-42.9,-18.2,-32.2,-32.4,-37.8,-20.7,-26.2,-26.6,-31.0,-23.7,-40.0
pre-tax-income,-5344.0,238.0,370.0,407.0,736.0,-1187.0,464.0,317.0,178.0,375.0,564.0,491.0,494.0,576.0,612.0,520.0,568.0,523.0,558.0,451.0,435.0,357.0,507.0,492.0,442.0,-481.0,447.0,483.0,439.0,377.0,510.0,426.0,385.0,340.9,425.1,327.8,424.2,308.8,363.2,365.0,175.0,289.7001,344.1,271.2,254.8,480.3,545.4,469.2,446.9,375.3,-42.0,479.5,413.4,455.4999,508.7,430.5,345.7,478.7001,551.3
total-provision-income-taxes,-423.0,44.0,74.0,126.0,142.0,-21.0,209.0,-736.0,61.0,97.0,182.0,167.0,184.0,241.0,226.0,194.0,184.0,231.0,193.0,162.0,169.0,124.0,192.0,217.0,102.0,105.0,101.0,180.0,167.0,140.0,178.0,162.0,148.0,133.8,175.6,112.8,129.8,115.0,138.4,134.8,236.8,87.8,129.0,102.2,82.6,164.4,179.5,144.1,143.7,156.6,-37.1,164.0,122.0,155.8,168.4,144.7,108.2,217.6,176.8
