,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,5.785,5.208,4.382,5.533,5.062,2.874,,,,,0.911,0.0,,0.079,0.007,0.0,2.44,0.874,0.489,0.914,1.125,0.96,0.178,0.973,1.018,9.973,,,,
research-development-expenses,35.992,24.356,23.608,22.799,22.303,17.002,13.427,11.576,9.151,6.961,20.836,20.276,9.671,10.76,8.546,7.568,5.584,4.684,3.385,3.459,6.208,3.2,2.201,1.978,3.764,2.021,0.922,,0.0,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,40.218,29.35,27.516,27.51,25.53,20.687,17.124,14.571,12.956,9.633,23.236,22.315,11.773,13.405,10.993,9.729,7.449,6.606,5.207,5.25,7.728,4.672,3.599,3.078,4.559,3.054,1.51,,,
operating-income,-34.433,-24.142,-23.134,-21.977,-20.468,-17.813,-17.124,-14.571,-12.956,-9.633,-22.325,-22.315,-11.773,-13.326,-10.986,-9.729,-5.009,-5.732,-4.718,-4.336,-6.603,-3.712,-3.421,-2.105,-3.541,6.919,-1.51,,,
total-non-operating-income-expense,1.261,0.947,1.089,1.2,1.002,0.467,0.311,0.368,0.367,0.331,0.09,0.155,0.176,0.172,0.149,0.052,0.022,0.013,0.014,0.022,0.026,0.056,0.022,0.009,-1.034,-1.602,-1.129,,,
pre-tax-income,-33.172,-23.195,-22.045,-20.777,-19.466,-17.346,-16.813,-14.203,-12.589,-9.302,-22.235,-22.16,-11.597,-13.154,-10.837,-9.677,-4.987,-5.719,-4.704,-4.314,-6.577,-3.656,-3.399,-2.096,-4.575,5.317,-2.639,,0.0,
total-provision-income-taxes,-0.33,-0.235,-0.085,-0.125,-0.066,-0.152,-0.046,-0.026,-0.145,-0.002,-0.031,-0.189,-0.055,-0.079,-0.145,-0.147,-0.2,-0.035,-0.015,-0.142,-0.032,-0.011,-0.016,-0.003,,-0.02,-0.007,,0.0,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
net-income,-32.842,-22.96,-21.96,-20.652,-19.4,-17.194,-16.767,-14.177,-12.444,-9.3,-22.204,-21.971,-11.542,-13.075,-10.692,-9.53,-4.787,-5.684,-4.689,-4.172,-6.545,-3.645,-3.383,1.776,-4.575,1.468,-1.741,,,
ebitda,-34.596,-24.269,-23.417,-22.568,-21.007,-18.041,-17.216,-14.672,-13.024,-9.669,-22.207,-22.231,-11.733,-12.866,-10.323,-9.488,-4.815,-5.539,-4.525,-4.143,-6.406,-3.516,-3.224,-1.908,-3.305,7.175,-1.293,,,
ebit,-34.433,-24.142,-23.134,-21.977,-20.468,-17.813,-17.124,-14.571,-12.956,-9.633,-22.325,-22.315,-11.773,-13.326,-10.986,-9.729,-5.009,-5.732,-4.718,-4.336,-6.603,-3.712,-3.421,-2.105,-3.541,6.919,-1.51,,,
basic-shares-outstanding,44.517,39.818,39.552,35.893,38.034,33.3158,32.682,31.203,32.592,32.24,27.3,27.279,27.283,27.283,27.26,24.62,25.545,22.829,22.808,20.966,22.713,22.608,15.654,4.133,4.288,4.288,3.659,,,
shares-outstanding,44.517,39.818,39.552,35.893,38.034,33.3158,32.682,31.203,32.592,32.24,27.3,27.279,27.283,27.283,27.26,24.62,25.545,22.829,22.808,20.966,22.713,22.608,15.654,4.133,4.288,15.972,3.659,,,
eps-basic-net-earnings-per-share,-0.74,-0.58,-0.56,-0.52,-0.51,-0.52,-0.51,-0.38,-0.38,-0.29,-0.81,-0.81,-0.42,-0.48,-0.39,-0.35,-0.19,-0.25,-0.21,-0.18,-0.29,-0.16,-0.22,0.47,-1.07,0.34,-0.48,,,
eps-earnings-per-share-diluted,-0.74,-0.58,-0.56,-0.52,-0.51,-0.52,-0.51,-0.38,-0.38,-0.29,-0.81,-0.81,-0.42,-0.48,-0.39,-0.35,-0.19,-0.25,-0.21,-0.18,-0.29,-0.16,-0.22,0.48,-1.07,0.33,-0.48,0.0,0.0,0.0
