,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,209.2,202.757,195.171,200.907,200.717,204.572,210.288,219.674,228.488,209.313,207.573,222.523,214.988,199.443,196.583,193.148,195.692,192.617,185.964,188.134,188.944,122.656,118.091,109.179,108.048,110.768,110.316,111.73,112.258,108.847,109.8,124.729,131.169,126.042,122.046,113.677,115.687,117.837,121.361,124.1395,129.635,149.046,175.417,205.9107,178.134,170.951,179.251,181.7164,185.124,175.339,176.093,175.7449,162.876,156.697,159.834,163.7196,163.144,159.724,158.805
cost-goods-sold,158.194,151.169,146.917,150.348,149.155,150.883,156.535,161.371,168.008,152.785,154.298,164.89,156.778,144.597,145.537,142.669,144.206,144.254,138.927,140.493,141.667,90.22,87.641,80.617,79.864,82.93,81.44,83.787,84.802,81.711,80.75,90.115,95.426,91.433,89.07,81.079,83.258,84.185,87.728,88.997,94.955,109.448,131.584,157.6719,130.696,125.311,134.074,135.0022,139.266,133.736,135.604,134.4847,125.083,120.455,122.445,125.205,125.234,128.439,124.225
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,44.407,45.944,46.036,45.226,44.086,45.284,45.634,46.253,47.346,46.6,47.236,46.29,45.922,44.675,42.933,39.991,39.227,40.891,41.166,41.538,40.858,29.167,29.455,26.945,25.504,26.603,27.065,27.056,26.832,27.646,27.883,29.131,29.061,29.475,28.871,27.147,26.63,27.322,27.885,27.4619,28.184,31.606,33.438,32.9591,33.475,32.123,32.165,31.7651,31.486,29.923,29.518,28.3931,26.79,26.816,28.173,25.8751,26.686,26.562,25.524
other-operating-income-expenses,-2.392,-16.747,-0.27,-23.315,-0.502,-0.611,-0.199,-15.102,-0.433,-0.326,-0.323,-0.097,-0.019,-24.539,-0.249,-2.328,-2.733,-0.131,-0.091,-10.295,-0.257,-0.032,-0.432,-6.709,-0.215,-0.882,-0.422,-0.194,-0.268,-18.939,-0.117,-0.344,-0.146,0.149,-0.238,-10.943,-0.115,0.211,-0.211,-2.2979,0.303,-0.171,0.095,-244.3577,-0.203,,-0.484,-0.2933,,-0.501,-0.798,1.5318,-8.827,-0.15,0.128,-0.7445,-0.145,-0.036,-0.402
operating-expenses,209.081,217.853,197.859,225.0221,198.072,200.23,206.04,225.9969,220.121,202.864,204.318,213.817,205.659,216.459,191.418,187.492,188.825,188.295,182.244,197.0079,187.181,124.522,119.582,116.288,107.134,112.396,110.515,112.709,113.503,130.227,110.714,122.006,127.014,123.44,120.985,122.02,112.748,114.48,118.938,121.8568,125.875,144.549,168.255,438.4103,166.876,159.854,169.182,169.7014,172.744,166.035,167.773,163.2145,162.433,149.16,152.168,153.7878,153.627,156.608,151.637
operating-income,0.119,-15.096,-2.688,-24.1151,2.645,4.342,4.248,-6.323,8.367,6.449,3.255,8.7059,9.329,-17.016,5.165,5.656,6.867,4.322,3.72,-8.8739,1.763,-1.866,-1.491,-7.109,0.914,-1.628,-0.199,-0.979,-1.245,-21.38,-0.914,2.723,4.155,2.602,1.061,-8.343,2.939,3.357,2.423,2.2826,3.76,4.497,7.162,-232.4996,11.258,11.097,10.069,12.0151,12.38,9.304,8.32,12.5304,0.443,7.537,7.666,9.9318,9.517,3.116,7.168
total-non-operating-income-expense,-2.722,-1.416,-1.7,-1.423,-1.378,-1.349,-1.165,-1.2,-1.164,-0.476,-4.607,-15.506,5.762,-6.713,14.818,-10.887,-4.448,-1.437,0.367,-11.101,-9.078,-0.309,-0.362,-0.201,-0.105,-0.064,-1.647,-0.345,-0.799,-0.514,-0.719,-0.484,-0.515,-0.65,-0.662,-0.759,-1.191,-1.099,-1.099,-1.331,-1.489,-1.599,-1.628,-2.2516,-0.709,-0.499,-0.633,-0.7983,-0.867,-0.529,-0.486,-0.4852,-0.273,-0.32,-0.386,-1.995,-0.953,-0.952,-0.917
pre-tax-income,-2.603,-16.512,-4.388,-25.538,1.267,2.993,3.083,-7.523,7.203,5.973,-1.352,-6.8,15.091,-23.729,19.983,-5.231,2.419,2.885,4.087,-19.975,-7.315,-2.175,-1.853,-7.31,0.809,-1.692,-1.846,-1.324,-2.044,-21.894,-1.633,2.239,3.64,1.952,0.399,-9.102,1.748,2.258,1.324,0.9517,2.271,2.898,5.534,-234.7512,10.549,10.598,9.436,11.2167,11.513,8.775,7.834,12.0452,0.17,7.217,7.28,7.9368,8.564,2.164,6.251
total-provision-income-taxes,0.094,34.758,-3.012,-6.195,1.385,1.169,1.163,-35.779,0.159,0.753,0.366,0.849,0.802,-6.634,0.797,0.696,-2.732,0.205,1.037,0.112,0.169,1.006,-1.071,45.612,-0.644,-0.257,-0.5,1.661,-2.763,-3.053,-1.995,1.707,1.854,0.379,0.192,-3.098,0.832,1.08,0.189,0.5534,1.303,0.606,2.498,-73.4146,4.378,4.227,3.586,3.9492,4.464,3.314,3.032,4.4859,0.05,2.793,2.817,3.0044,3.314,0.838,2.419
