,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,1429.428,1431.061,1389.877,1365.664,1340.073,1367.727,1292.861,1313.785,1276.007,1291.994,1260.486,1257.819,1184.557,1215.962,1138.135,1175.294,1127.887,1125.997,996.089,926.031,840.149,851.762,784.761,795.3279,727.83,707.561,680.029,710.3842,676.482,637.358,641.212,615.626,571.64,524.223,491.664,500.2011,462.683,456.001,431.337,466.321,409.415,403.806,392.322,465.7349,422.728,402.8,384.765,394.5009,372.936,386.588,365.852,380.7899,345.452,330.572,321.224,325.814,294.622,277.815,262.534
cost-goods-sold,271.778,268.673,253.204,236.955,230.332,238.783,231.278,229.131,202.904,223.063,198.993,214.997,182.97,205.556,175.593,199.216,190.583,192.322,168.66,172.8439,140.065,162.369,129.099,142.116,119.577,125.8,127.229,153.1109,149.578,147.5,158.008,132.046,120.464,98.482,90.68,94.913,79.148,78.211,68.084,79.299,69.479,66.889,65.531,87.586,72.317,71.786,64.374,68.876,57.809,80.962,72.463,88.957,69.803,64.192,68.018,74.372,65.305,59.601,55.408
gross-profit,1157.65,1162.388,1136.673,1128.709,1109.741,1128.944,1061.583,1084.654,1073.103,1068.931,1061.493,1042.822,1001.587,1010.406,962.542,976.0783,937.304,933.6749,827.429,753.1871,700.084,689.393,655.662,653.212,608.253,581.761,552.8,557.2733,526.904,489.858,483.204,483.58,451.176,425.741,400.984,405.2881,383.535,377.79,363.253,387.022,339.936,336.917,326.791,378.1489,350.411,331.014,320.391,325.6249,315.127,305.626,293.389,291.8329,275.649,266.38,253.206,251.442,229.317,218.214,207.126
research-development-expenses,187.526,181.047,180.361,,172.297,168.278,161.617,,153.834,142.835,145.901,,136.755,135.164,133.532,141.263,132.814,138.451,127.271,106.908,97.026,97.326,91.545,92.443,82.998,82.282,81.063,78.624,78.094,73.507,71.145,73.323,72.544,69.79,71.144,70.827,67.257,67.988,66.779,74.473,66.752,65.09,64.736,69.373,68.092,65.89,69.164,72.22,68.043,63.715,66.598,64.905,62.16,60.888,59.017,59.456,53.968,48.702,49.329
selling-general-administrative-expenses,860.064,828.683,736.383,761.6192,708.735,730.569,682.242,680.6768,648.799,654.02,648.592,662.3852,599.742,610.292,591.961,583.465,564.586,598.98,514.993,434.348,411.294,397.205,386.114,464.226,356.017,333.023,315.168,318.205,301.114,280.268,284.62,272.523,258.24,247.978,236.141,231.128,222.286,223.45,220.818,219.389,202.474,205.671,200.075,207.329,214.568,211.903,194.761,194.8479,192.916,193.731,183.613,176.545,169.612,165.579,162.195,145.608,138.152,135.304,128.762
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.382
operating-expenses,1340.651,1299.944,1191.933,1201.537,1132.917,1159.44,1097.646,1094.734,1028.101,1042.606,1016.36,1045.791,942.332,974.65,922.687,948.1599,912.533,954.261,829.177,720.7371,651.995,660.129,606.758,711.5788,558.592,541.105,523.46,549.9399,528.786,501.275,513.773,477.8919,451.248,416.25,397.965,396.868,368.691,369.649,355.681,373.1611,338.705,337.65,330.342,364.288,354.977,349.579,328.299,335.9439,318.768,338.408,322.674,330.407,301.575,290.659,289.23,279.436,257.425,243.607,239.881
operating-income,88.777,131.1171,197.944,164.1271,207.156,208.2871,195.215,219.0513,247.9059,249.3881,244.126,212.028,242.225,241.312,215.448,227.1344,215.3539,171.736,166.912,205.2939,188.154,191.633,178.003,83.7492,169.238,166.456,156.569,160.4443,147.696,136.0829,127.439,137.7341,120.392,107.973,93.699,103.3331,93.992,86.352,75.656,93.1599,70.71,66.156,61.98,101.4469,67.751,53.221,56.466,58.557,54.168,48.18,43.178,50.3829,43.877,39.913,31.994,46.378,37.197,34.208,22.653
total-non-operating-income-expense,13.535,23.006,8.432,7.662,6.943,6.597,4.864,2.604,2.509,2.661,-1.116,3.687,-0.417,2.47,1.681,0.798,0.317,-1.079,0.208,3.182,2.181,2.737,2.99,2.756,3.509,2.733,3.044,7.257,3.351,2.814,2.624,2.23,2.775,2.88,2.011,1.154,0.092,-0.074,1.707,0.548,0.177,0.067,-0.117,1.02,0.207,0.502,0.817,0.669,-0.592,0.009,-0.202,0.536,-0.046,-0.545,1.432,-1.113,-1.048,-1.319,-1.712
pre-tax-income,102.312,154.123,206.376,171.789,214.099,214.884,200.079,221.655,250.415,252.049,243.01,215.7151,241.808,243.782,217.129,227.932,215.671,170.657,167.12,208.476,190.335,194.37,180.993,86.505,172.747,169.189,159.613,167.701,151.047,138.897,130.063,139.964,123.167,110.853,95.71,104.487,94.084,86.278,77.363,93.708,70.887,66.223,61.863,102.467,67.958,53.723,57.283,59.226,53.576,48.189,42.976,50.919,43.831,39.368,33.426,45.265,36.149,32.889,20.941
total-provision-income-taxes,20.377,27.154,40.157,40.469,44.718,45.527,40.078,-115.003,72.991,72.366,69.797,66.024,71.829,77.328,66.769,61.824,68.389,55.619,56.186,60.604,61.333,65.337,61.467,26.442,57.403,56.282,49.573,55.893,52.16,41.068,41.355,48.772,44.332,38.809,31.154,33.85,33.212,30.801,27.077,33.212,22.493,22.478,21.033,30.927,22.944,18.436,20.466,17.895,22.342,21.34,15.265,11.773,17.103,15.495,13.282,17.893,9.593,13.086,8.421
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,81.935,126.969,166.219,131.32,169.381,169.357,160.001,336.658,177.424,179.683,173.213,149.691,169.979,166.454,150.36,166.108,147.282,115.038,110.934,147.8719,129.002,129.033,119.526,60.063,115.344,112.907,110.04,111.808,98.887,97.829,88.708,91.192,78.835,72.044,64.556,70.637,60.872,55.477,50.286,60.496,48.394,43.745,40.83,71.54,45.014,35.287,36.817,41.331,31.234,26.849,27.711,39.146,26.728,23.873,20.144,27.372,26.556,19.803,12.52
ebitda,261.85,300.9321,364.615,332.9701,368.259,368.3401,347.8069,374.5333,394.2579,393.4441,378.959,344.8789,369.514,366.282,334.574,350.2844,330.916,284.804,267.357,290.4349,263.56,263.345,248.097,157.8271,236.466,229.347,215.91,220.6883,203.817,189.5089,180.228,193.4491,174.563,160.503,143.839,155.7991,143.412,132.999,120.46,145.1429,119.247,112.512,104.707,148.1819,111.034,95.041,95.094,100.437,93.131,85.483,77.849,86.5499,73.574,69.396,61.901,77.368,66.212,61.575,49.336
