,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,22.846,22.475,21.965,20.238,19.327,19.467,17.019,18.618,13.082,11.192,8.434,11.956,10.436,9.251,7.632,9.656,8.045,8.83,7.692,9.587,10.362,8.601,7.866,9.232,10.542,10.15,9.733,10.528,8.252,9.224,8.782,10.423,9.249,6.753,6.619,6.461,4.991,5.935,5.722,5.474,4.814,4.206,3.488,3.626,3.882,4.03,4.969,2.395,3.176,3.222,2.251,14.149,7.974,6.46,6.997,5.61,6.88,5.48,6.401
cost-goods-sold,7.583,8.111,8.432,8.442,8.142,7.72,7.33,9.129,5.348,4.36,3.694,5.605,5.451,4.976,4.263,6.162,5.56,7.028,4.714,6.59,5.689,4.752,4.157,4.939,6.826,5.747,5.09,5.117,4.411,5.574,5.514,6.206,4.726,4.074,3.529,3.63,2.324,2.934,3.158,3.724,4.242,2.52,2.094,2.964,1.913,3.077,1.714,1.664,1.673,1.067,0.824,0.705,0.373,0.281,0.182,,,,
gross-profit,15.263,14.364,13.533,11.796,11.185,11.747,9.689,9.489,7.734,6.832,4.74,6.351,4.985,4.275,3.369,3.494,2.485,1.802,2.978,2.997,4.673,3.849,3.709,4.293,3.716,4.403,4.643,5.411,3.841,3.65,3.268,4.217,4.523,2.679,3.09,2.831,2.667,3.001,2.564,1.75,0.572,1.686,1.394,0.662,1.969,0.953,3.255,0.731,1.503,2.155,1.427,13.444,7.601,6.179,6.815,5.61,6.88,5.48,6.401
research-development-expenses,16.081,14.417,13.44,12.421,10.825,9.881,9.437,7.783,7.886,8.891,9.15,8.815,7.033,8.557,6.917,7.16,7.689,5.213,5.581,5.186,7.25,4.722,4.642,4.618,4.363,3.506,2.7,2.164,1.903,1.712,1.824,1.562,1.814,1.994,1.808,1.419,1.282,1.244,1.25,1.505,1.23,1.625,2.012,2.268,2.483,2.67,2.784,4.126,4.006,3.559,3.266,7.438,6.672,7.977,6.638,6.578,6.626,5.881,5.049
selling-general-administrative-expenses,16.14,16.74,16.161,14.833,13.964,14.437,13.607,12.557,12.23,14.145,13.683,12.641,12.161,12.406,11.747,11.276,10.932,12.063,11.718,10.689,8.724,10.08,8.236,7.43,7.728,7.954,6.853,6.794,6.219,6.686,5.966,5.938,5.38,6.207,5.528,5.914,5.089,5.304,5.27,5.017,5.34,5.409,6.101,5.557,7.067,7.439,7.101,7.471,5.631,6.151,5.322,3.861,3.631,4.142,3.16,2.38,2.161,2.616,2.421
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.45,,,,,,,,,
operating-expenses,39.804,39.268,38.033,35.696,32.931,32.038,30.374,29.469,25.464,27.396,26.527,27.06,24.695,25.99,22.977,24.649,24.231,24.355,22.063,22.516,21.713,19.605,17.085,17.038,18.967,17.258,14.693,14.126,12.583,14.023,13.354,13.756,11.971,12.326,10.915,11.03,8.494,9.614,9.929,10.386,10.827,9.683,10.919,10.789,11.463,13.186,11.599,13.261,11.31,20.227,9.412,12.004,10.676,12.4,9.98,8.958,8.787,8.497,7.47
operating-income,-16.958,-16.793,-16.068,-15.458,-13.604,-12.571,-13.355,-10.851,-12.382,-16.204,-18.093,-15.104,-14.259,-16.739,-15.345,-14.993,-16.186,-15.525,-14.371,-12.929,-11.351,-11.004,-9.219,-7.806,-8.425,-7.108,-4.96,-3.598,-4.331,-4.799,-4.572,-3.333,-2.722,-5.573,-4.296,-4.569,-3.503,-3.679,-4.207,-4.912,-6.013,-5.477,-7.431,-7.163,-7.581,-9.156,-6.63,-10.866,-8.134,-17.005,-7.161,2.145,-2.702,-5.94,-2.983,-3.348,-1.907,-3.017,-1.069
total-non-operating-income-expense,-0.949,-0.708,-2.664,-0.687,-0.532,-0.652,-0.476,-0.709,-0.986,2.997,-0.47,0.399,-0.533,-0.444,-0.706,-1.513,0.601,-2.482,4.93,-7.148,0.6,3.459,9.032,1.999,-12.016,0.438,-5.241,1.993,0.926,2.933,-4.227,-4.259,4.982,-0.836,-0.802,2.215,-0.128,-1.88,-1.066,0.018,0.376,-0.73,0.034,0.649,-0.199,0.209,0.69,0.648,1.334,0.996,1.088,0.865,0.915,0.868,2.053,-0.546,0.241,0.256,22.454
pre-tax-income,-17.907,-17.501,-18.732,-16.145,-14.136,-13.223,-13.831,-11.56,-13.368,-13.207,-18.563,-14.705,-14.792,-17.183,-16.051,-16.506,-15.585,-18.007,-9.441,-20.077,-10.751,-7.545,-0.187,-5.807,-20.441,-6.67,-10.201,-1.605,-3.405,-1.866,-8.799,-7.592,2.26,-6.409,-5.098,-2.354,-3.631,-5.559,-5.273,-4.894,-5.637,-6.207,-7.397,-6.514,-7.78,-8.947,-5.94,-10.218,-6.8,-16.009,-6.073,3.01,-1.787,-5.072,-0.93,-3.894,-1.666,-2.761,21.385
