,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
revenue,72.942,75.04,74.516,73.427,70.176,73.061,63.749,10.794,11.95,3.56,2.172,1.303,0.408,,,,,,,,,,,
cost-goods-sold,46.754,48.654,49.164,29.726,46.007,46.838,43.106,1.094,0.553,0.577,0.371,0.184,0.029,,,,,,,,,,,
gross-profit,26.188,26.386,25.352,43.701,24.169,26.223,20.643,9.7,11.397,2.983,1.801,1.119,0.379,,,,,,,,,,,
research-development-expenses,2.491,2.459,2.992,2.249,1.907,2.237,2.268,2.194,2.069,2.179,2.13,3.331,3.254,4.301,4.062,1.531,3.358,1.641,1.445,2.32,5.818,3.565,3.269,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,79.317,80.048,84.508,62.426,81.362,80.354,76.956,28.377,25.38,24.818,25.348,28.882,26.85,24.474,15.587,9.437,9.265,4.575,3.63,3.35,6.505,4.088,3.744,
operating-income,-6.375,-5.008,-9.992,11.001,-11.186,-7.293,-13.207,-17.583,-13.43,-21.258,-23.176,-27.579,-26.442,-24.474,-15.587,-9.437,-9.265,-4.575,-3.63,-3.35,-6.505,-4.088,-3.744,
total-non-operating-income-expense,0.266,0.296,0.292,-1.915,-5.316,-5.767,-5.445,0.18,0.167,0.137,0.098,0.02,-0.002,-0.046,-0.066,-0.088,-0.097,-0.099,-0.064,-0.16,-0.051,-0.029,-0.029,
pre-tax-income,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-6.109,-4.712,-9.7,9.086,-16.502,-13.06,-18.652,-17.403,-13.263,-21.121,-23.078,-27.559,-26.444,-24.52,-15.653,-2.291,-9.362,-4.674,-3.694,-3.469,-6.556,-4.117,-4.587,
ebitda,-2.507,-1.149,-6.12,26.837,21.375,25.21,16.801,-17.453,-13.298,-21.134,-22.968,-27.284,-26.169,-24.43,-15.544,-9.396,-9.227,-4.529,-3.584,-3.311,-6.459,-4.041,-3.696,
ebit,-6.375,-5.008,-9.992,11.001,-11.186,-7.293,-13.207,-17.583,-13.43,-21.258,-23.176,-27.579,-26.442,-24.474,-15.587,-9.437,-9.265,-4.575,-3.63,-3.35,-6.505,-4.088,-3.744,
basic-shares-outstanding,33.482,33.398,33.332,32.954,33.012,32.968,32.904,30.265,29.753,29.442,29.35,24.263,23.46,23.417,23.13,13.542,20.531,11.792,1.001,0.956,0.941,0.926,0.913,
shares-outstanding,33.482,33.398,33.332,32.954,33.012,32.968,32.904,30.265,29.753,29.442,29.35,24.263,23.46,23.417,23.13,13.542,20.531,11.792,7.555,0.956,0.941,0.926,0.913,
eps-basic-net-earnings-per-share,-0.18,-0.14,-0.29,0.28,-0.5,-0.4,-0.57,-0.51,-0.45,-0.72,-0.79,-1.02,-1.13,-1.05,-0.68,-0.91,-0.46,-0.45,0.34,-4.5,-7.85,-5.33,-5.03,
eps-earnings-per-share-diluted,-0.18,-0.14,-0.29,0.28,-0.5,-0.4,-0.57,-0.51,-0.45,-0.72,-0.79,-1.02,-1.13,-1.05,-0.68,0.08,-0.46,-0.45,-0.65,-4.5,-7.85,-5.33,-5.03,0.0
