,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,81.505,72.257,64.829,66.831,64.445,62.312,57.659,53.28,42.763,35.559,27.599,23.811,21.725,19.724,16.061,14.967,13.261,11.956,10.102,9.013,7.282,5.851,4.405,4.115,2.634,1.891,1.717,1.377,1.055,0.875,,,,,,,,,,-0.001,,0.006,0.024,0.143,0.066,,,0.0,,0.374,0.108,0.073,,0.1,0.121,,,,
cost-goods-sold,1.451,1.377,1.24,1.579,1.308,1.154,1.174,1.157,0.976,0.775,0.646,0.561,0.668,0.426,0.403,0.364,0.256,0.439,0.302,0.258,0.235,0.215,0.174,0.06,0.04,0.023,0.02,0.019,0.024,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,80.054,70.88,63.589,65.252,63.137,61.158,56.485,52.123,41.787,34.784,26.953,23.25,21.057,19.298,15.658,14.603,13.005,11.517,9.8,8.755,7.047,5.636,4.231,4.055,2.594,1.868,1.697,1.358,1.031,0.827,,,,,,,,,,-0.001,,0.006,0.024,0.143,0.066,,,0.0,,0.374,0.108,0.073,,0.1,0.121,,,,
research-development-expenses,22.805,21.656,20.244,18.794,18.86,20.543,17.05,13.631,11.693,7.876,7.176,6.484,7.054,5.672,4.634,4.089,3.612,3.341,4.377,3.788,3.047,4.252,7.285,6.567,5.155,4.491,4.257,4.856,3.008,2.668,3.542,6.646,3.228,6.203,4.924,4.662,5.224,4.574,4.489,3.749,3.127,3.342,4.184,4.725,3.3,3.277,2.85,2.673,2.426,1.16,1.601,2.921,5.147,6.982,5.784,4.514,4.521,3.325,4.714
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,48.501,47.624,45.873,41.933,41.476,41.678,36.664,31.583,29.14,22.764,22.859,18.804,18.653,18.216,15.469,13.316,13.159,13.122,14.132,12.089,12.385,12.432,17.264,14.145,12.374,12.674,12.66,11.357,8.726,8.467,11.029,9.928,6.437,8.869,7.098,7.823,7.105,6.445,6.064,5.163,4.67,4.888,5.558,6.16,4.968,4.687,4.083,4.42,3.618,1.953,2.736,4.063,6.549,8.164,7.1,5.504,5.481,4.386,5.787
operating-income,33.004,24.633,18.956,24.898,22.969,20.634,20.995,21.697,13.623,12.795,4.74,5.007,3.072,1.508,0.592,1.651,0.102,-1.166,-4.03,-3.076,-5.103,-6.581,-12.859,-10.03,-9.74,-10.783,-10.943,-9.98,-7.671,-7.592,-11.029,-9.928,-6.437,-8.869,-7.098,-7.823,-7.105,-6.445,-6.064,-5.164,-4.67,-4.882,-5.534,-6.017,-4.902,-4.687,-4.083,-4.42,-3.618,-1.579,-2.628,-3.99,-6.549,-8.064,-6.979,-5.504,-5.481,-4.386,-5.787
total-non-operating-income-expense,1.348,1.178,1.097,1.042,0.759,0.562,0.294,0.188,0.086,-0.098,-0.225,-0.41,-0.487,-0.531,-0.611,-0.692,-0.703,-0.77,-0.8,-0.819,-0.903,-0.971,-1.071,-1.094,-1.166,-1.114,-1.141,-1.144,-0.622,-0.005,-0.005,-0.008,0.002,-0.013,-0.003,0.729,0.001,0.75,-0.009,-0.006,0.002,0.004,0.084,-0.153,-0.663,0.291,0.153,0.227,0.19,0.162,0.093,0.114,0.146,0.2,0.249,0.257,0.258,0.275,0.275
pre-tax-income,34.352,25.811,20.053,25.94,23.728,21.196,21.289,21.885,13.709,12.697,4.515,4.597,2.585,0.977,-0.019,0.959,-0.601,-1.936,-4.83,-3.895,-6.006,-7.552,-13.93,-11.124,-10.906,-11.897,-12.084,-11.124,-8.293,-7.597,-11.034,-9.936,-6.435,-8.882,-7.101,-7.094,-7.104,-5.695,-6.073,-5.17,-4.668,-4.878,-5.45,-6.17,-5.565,-4.396,-3.93,-4.193,-3.428,-1.417,-2.535,-3.876,-6.403,-7.864,-6.73,-5.247,-5.223,-4.111,-5.512
total-provision-income-taxes,8.012,5.625,1.779,3.932,5.981,3.0,3.83,-76.445,-0.048,0.05,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
