,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
revenue,35.461,35.91,35.49,42.1,40.041,37.784,36.479,37.193,34.492,32.632,27.703,26.905,25.501,23.585,22.717,21.315,19.539,18.51,15.951,14.487,12.209,10.533,8.376,5.132,3.609,2.325,1.907,,
cost-goods-sold,14.501,14.163,14.11,14.721,14.795,15.73,14.943,13.349,12.914,12.334,8.055,5.707,7.966,8.944,9.249,9.655,8.687,8.254,7.172,6.617,7.155,7.417,6.583,5.39,4.835,3.833,3.257,,
gross-profit,20.96,21.747,21.38,27.379,25.246,22.054,21.536,23.844,21.578,20.298,19.648,21.198,17.535,14.641,13.468,11.66,10.852,10.256,8.779,7.87,5.054,3.116,1.793,-0.258,-1.226,-1.508,-1.35,,
research-development-expenses,14.295,14.487,15.725,14.531,15.028,16.425,15.371,14.428,13.809,15.194,11.071,9.841,10.573,9.961,10.085,8.224,7.868,7.391,6.594,6.284,5.63,5.476,5.527,4.57,4.138,3.616,2.908,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,45.065,44.549,46.343,45.891,47.513,51.843,51.051,44.68,52.568,50.229,42.269,36.269,37.02,40.376,44.161,40.441,39.597,39.803,35.692,34.235,32.489,32.359,32.68,25.17,20.25,16.538,13.39,,
operating-income,-9.604,-8.639,-10.853,-3.791,-7.472,-14.059,-14.572,-7.487,-18.076,-17.597,-14.566,-9.364,-11.519,-16.791,-21.444,-19.126,-20.058,-21.293,-19.741,-19.748,-20.28,-21.826,-24.304,-20.038,-16.641,-14.213,-11.483,,
total-non-operating-income-expense,0.268,0.258,0.314,-0.248,0.207,0.101,0.128,0.33,0.084,0.012,0.192,0.128,0.116,0.099,0.089,0.068,0.051,0.081,0.098,0.064,0.081,0.05,0.023,0.03,0.038,0.04,0.05,,
pre-tax-income,-9.336,-8.381,-10.539,-4.039,-7.265,-13.958,-14.444,-7.157,-17.992,-17.585,-14.374,-9.236,-11.403,-16.692,-21.355,-19.058,-20.007,-21.212,-19.643,-19.684,-20.199,-21.776,-24.281,-19.98,-16.603,-14.173,-11.433,,
total-provision-income-taxes,,,,,,,,,,-5.206,,,0.0,,,,,,,,,,,0.0,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
net-income,-9.336,-8.381,-10.539,-4.039,-7.265,-13.958,-14.444,-7.157,-17.992,-12.379,-14.374,-9.236,-11.403,-16.692,-21.355,-19.058,-20.007,-21.212,-19.643,-19.684,-20.199,-21.776,-24.281,-19.973,-16.603,-14.173,-11.433,,
ebitda,-4.311,-3.973,-6.175,3.677,-1.429,-8.383,-9.044,-1.074,-12.797,-12.09,-10.984,-3.008,-9.554,-14.907,-19.323,-17.287,-18.374,-19.651,-17.987,-17.897,-18.541,-20.263,-22.522,-17.885,-15.873,-13.711,-11.026,,
ebit,-9.604,-8.639,-10.853,-3.791,-7.472,-14.059,-14.572,-7.487,-18.076,-17.597,-14.566,-9.364,-11.519,-16.791,-21.444,-19.126,-20.058,-21.293,-19.741,-19.748,-20.28,-21.826,-24.304,-20.038,-16.641,-14.213,-11.483,,
basic-shares-outstanding,145.701,144.572,143.0,137.686,138.49,136.682,134.994,125.534,132.251,130.537,104.935,100.798,103.147,99.728,96.291,93.753,94.409,93.804,91.786,74.381,89.698,89.52,26.97,10.522,10.168,9.619,9.255,,
shares-outstanding,145.701,144.572,143.0,137.686,138.49,136.682,134.994,125.534,132.251,130.537,104.935,100.798,103.147,99.728,96.291,93.753,94.409,93.804,91.786,74.381,89.698,89.52,26.97,10.522,10.168,9.619,9.255,,
eps-basic-net-earnings-per-share,-0.06,-0.06,-0.07,-0.03,-0.05,-0.1,-0.11,-0.04,-0.14,-0.09,-0.14,-0.08,-0.11,-0.17,-0.22,-0.2,-0.21,-0.23,-0.21,0.21,-0.23,-0.24,-0.9,-1.9,-1.63,-1.47,-1.24,,
eps-earnings-per-share-diluted,-0.06,-0.06,-0.07,-0.03,-0.05,-0.1,-0.11,-0.04,-0.14,-0.09,-0.14,-0.08,-0.11,-0.17,-0.22,-0.2,-0.21,-0.23,-0.21,0.21,-0.23,-0.24,-0.9,-1.9,-1.63,-1.47,-1.24,0.0,0.0
