,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31
revenue,1018.0,1009.0,941.0,902.9939,923.0,1005.0,947.0,,
cost-goods-sold,821.0,809.0,761.0,743.8821,757.0,822.0,771.0,,
gross-profit,,,,,,,,,
selling-general-administrative-expenses,,,,,,,,,
operating-expenses,1976.0,1014.0,950.0,869.896,889.0,967.0,915.0,,
operating-income,-958.0,-5.0,-9.0,33.0979,34.0,38.0,32.0,,
total-non-operating-income-expense,-11.0,,-9.0,3.079,1.0,,2.0,,
pre-tax-income,-969.0,-5.0,-18.0,36.177,35.0,38.0,34.0,,
total-provision-income-taxes,-60.0,5.0,-4.0,4.028,19.0,8.0,6.0,,
income-after-taxes,,,,,,,,,
income-from-continuous-operations,,,,,,,,,
net-income,-906.0,-10.0,-13.0,32.861,16.0,29.0,23.0,,
ebitda,26.0,43.0,27.0,48.1979,51.0,54.0,48.0,,
ebit,-958.0,-5.0,-9.0,33.0979,34.0,38.0,32.0,,
basic-shares-outstanding,112.0,112.0,94.796,71.451,71.0,71.0,71.451,,
shares-outstanding,112.0,112.0,94.796,71.973,72.0,72.0,71.973,,
eps-basic-net-earnings-per-share,-8.09,-0.09,-0.14,0.47,0.22,0.4,0.32,,
eps-earnings-per-share-diluted,-8.09,-0.09,-0.14,0.47,0.22,0.4,0.31,0.0,0.0
