,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
revenue,,,,,,,,
gross-profit,1.398,1.628,,,,,,
research-development-expenses,22.295,25.759,26.404,22.452,21.499,22.251,21.514,
selling-general-administrative-expenses,,,,,,,,
operating-expenses,29.414,34.682,37.381,30.902,29.286,29.781,25.283,
operating-income,-28.016,-33.054,-37.381,-30.902,-29.286,-29.781,-25.283,
total-non-operating-income-expense,0.699,0.8,,,,,,
pre-tax-income,,,,,,,,
income-after-taxes,,,,,,,,
income-from-continuous-operations,,,,,,,,
net-income,-27.317,-32.254,-37.381,-30.902,-29.286,-29.781,-25.283,
ebitda,-27.319,-32.229,-36.856,-30.436,-28.946,-29.415,-24.927,
ebit,-28.016,-33.054,-37.381,-30.902,-29.286,-29.781,-25.283,
basic-shares-outstanding,27.434,27.393,,,27.38,27.38,,
shares-outstanding,27.434,27.393,,,27.38,27.38,,
eps-basic-net-earnings-per-share,-1.0,-1.18,,,-1.07,-1.09,,
eps-earnings-per-share-diluted,-1.0,-1.18,0.0,0.0,-1.07,-1.09,0.0,0.0
