,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,6.055,7.137,8.464,9.377,10.641,6.215,5.268,-0.018,6.18,3.053,4.153,33.137,59.047,5.802,8.421,9.757,7.945,6.542,4.414,21.758,9.415,7.788,7.979,24.349,4.469,1.009,0.821,2.184,1.714,1.841,1.82,0.757,1.427,1.053,0.763,1.1,0.394,0.462,0.621,1.024,5.506,71.93,3.078,3.152,3.125,3.074,3.069,3.11,4.13,3.177,3.205,0.155,0.106,1.446,1.42,2.144,1.855,2.341,2.572
research-development-expenses,20.229,24.017,23.545,24.027,21.391,21.582,22.135,26.251,24.947,19.809,19.289,18.775,17.865,9.723,13.534,13.249,11.557,12.636,8.956,8.779,11.42,11.737,12.49,13.824,13.445,12.347,9.834,9.858,8.798,8.242,8.745,8.599,8.891,10.513,9.179,9.162,9.547,10.236,9.068,9.822,9.857,10.202,9.959,11.47,13.519,14.859,14.102,13.959,13.217,13.726,12.486,13.027,12.535,12.397,11.266,10.735,9.259,10.039,10.537
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,29.982,33.853,32.982,30.835,28.555,29.628,31.399,36.509,34.604,28.247,27.404,25.45,25.082,16.813,20.375,18.778,16.833,17.131,13.323,13.337,15.413,16.195,16.749,17.917,17.08,16.077,13.468,13.672,11.787,10.797,11.76,12.654,12.095,14.7,12.515,12.733,12.959,13.616,12.904,13.423,13.714,14.385,13.921,14.292,19.837,19.111,18.259,18.069,17.33,17.741,16.969,17.135,16.107,16.335,14.888,13.839,12.584,13.442,13.68
operating-income,-23.927,-26.716,-24.518,-21.458,-17.914,-23.413,-26.131,-36.527,-28.424,-25.194,-23.251,7.687,33.965,-11.011,-11.954,-9.021,-8.888,-10.589,-8.909,8.421,-5.998,-8.407,-8.77,6.432,-12.611,-15.068,-12.647,-11.488,-10.073,-8.956,-9.94,-11.897,-10.668,-13.647,-11.752,-11.633,-12.565,-13.154,-12.283,-12.399,-8.208,57.545,-10.843,-11.14,-16.712,-16.037,-15.19,-14.959,-13.2,-14.564,-13.764,-16.98,-16.001,-14.889,-13.468,-11.695,-10.729,-11.101,-11.108
total-non-operating-income-expense,-5.646,-5.397,-4.848,-5.01,-4.103,-4.11,-4.15,-3.958,-3.933,-3.887,-2.616,-0.53,-0.603,-0.6,-0.501,-0.208,0.039,0.038,0.037,0.022,0.027,0.033,0.026,0.099,0.023,0.027,0.028,0.033,0.029,0.013,0.012,0.02,0.029,0.015,0.04,0.02,0.048,0.01,0.094,0.021,0.006,-1.586,0.158,0.284,0.453,0.673,1.295,1.706,1.879,1.936,2.072,1.035,1.081,1.103,1.004,0.614,0.628,0.561,0.578
pre-tax-income,-29.573,-32.113,-29.366,-26.468,-22.017,-27.523,-30.281,-40.485,-32.357,-29.081,-25.867,7.157,33.362,-11.611,-12.455,-9.229,-8.849,-10.551,-8.872,8.443,-5.971,-8.374,-8.744,6.531,-12.588,-15.041,-12.619,-11.455,-10.044,-8.943,-9.928,-11.877,-10.639,-13.632,-11.712,-11.613,-12.517,-13.144,-12.189,-12.378,-8.202,55.959,-10.685,-10.856,-16.259,-15.364,-13.895,-13.253,-11.321,-12.628,-11.692,-15.945,-14.92,-13.786,-12.464,-11.081,-10.101,-10.54,-10.53
total-provision-income-taxes,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,-0.176,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
