,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
revenue,,,,,,,,,,,,,
gross-profit,,25.0,,,,,,,,,,,
research-development-expenses,40.374,34.811,35.789,27.356,20.63,17.976,16.925,15.67,9.751,8.446,5.659,,
selling-general-administrative-expenses,,,,,,,,,,,,,
operating-expenses,58.353,47.975,49.025,33.83,25.889,22.429,21.951,20.361,12.181,10.69,7.726,,
operating-income,-58.353,-22.975,-49.025,-33.83,-25.889,-22.429,-21.951,-20.361,-12.181,-10.69,-7.726,,
total-non-operating-income-expense,2.157,1.515,1.641,1.531,1.454,0.739,0.521,0.431,0.143,0.065,0.017,,
pre-tax-income,,,,,,,,0.0,,,,,
income-after-taxes,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,0.0,,,,,
net-income,-56.196,-21.46,-47.384,-32.299,-24.435,-21.69,-21.43,-19.912,-12.038,-10.625,-7.709,,
ebitda,-58.184,-22.863,-48.921,-33.731,-25.801,-22.355,-21.895,-20.312,-12.142,-10.659,-7.695,,
ebit,-58.353,-22.975,-49.025,-33.83,-25.889,-22.429,-21.951,-20.361,-12.181,-10.69,-7.726,,
basic-shares-outstanding,43.804,38.2,38.057,35.39,37.654,33.567,32.594,32.121,11.626,11.626,11.626,,
shares-outstanding,43.804,38.2,38.057,35.39,37.654,33.567,32.594,32.121,11.626,11.626,11.626,,
eps-basic-net-earnings-per-share,-1.28,-0.56,-1.25,-0.86,-0.65,-0.65,-0.66,-0.62,-1.04,-0.91,-0.66,,
eps-earnings-per-share-diluted,-1.28,-0.56,-1.25,-0.86,-0.65,-0.65,-0.66,-0.62,-1.04,-0.91,-0.66,0.0,0.0
