,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,1956.0,1953.0,1891.0,1839.0,1889.0,1919.0,1884.0,1865.0,1856.0,1864.0,1817.0,1560.0,1885.0,1906.0,1863.0,1849.0,1880.0,1925.0,1839.0,1883.0,1904.0,1902.0,1746.0,1756.0,1788.0,1815.0,1787.0,1774.203,1821.748,1878.352,1908.697,1760.817,1906.405,1903.201,1821.577,1715.235,1864.655,1874.727,1805.503,1848.273,1897.146,1901.818,1808.006,1800.306,1826.603,1837.901,1784.637,1770.473,1767.07,1641.156,1526.208,1549.27,1583.202,1583.082,1553.105,1398.596,1361.116,1377.529,1319.485
cost-goods-sold,1264.0,1265.0,1244.0,1235.0,1222.0,1243.0,1226.0,1194.0,1190.0,1170.0,1165.0,1160.0,1157.0,1155.0,1144.0,1150.0,1162.0,1182.0,1163.0,1184.0,1178.0,1174.0,1101.0,1051.0,1089.0,1094.0,1092.0,1072.895,1081.017,1101.924,1109.164,1045.034,1116.574,1104.394,1096.998,1038.726,1091.465,1078.971,1066.373,1070.239,1097.535,1100.212,1053.489,1040.925,1073.123,1083.481,1058.627,1042.723,1026.598,968.742,931.785,919.414,933.735,926.697,916.16,842.879,799.074,798.678,780.082
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,362.0,362.0,384.0,356.0,354.0,351.0,363.0,382.0,348.0,358.0,355.0,99.0,409.0,430.0,442.0,429.0,402.0,429.0,419.0,427.0,446.0,440.0,415.0,415.0,423.0,418.0,448.0,420.809,416.854,424.085,483.252,385.758,446.595,462.789,447.858,382.135,426.562,419.412,430.733,432.9921,441.569,448.756,424.301,435.64,428.179,438.037,435.078,408.6261,424.334,395.105,384.793,349.709,354.631,357.862,348.514,288.269,303.571,315.674,308.348
other-operating-income-expenses,6.0,6.0,9.0,-4.0,13.0,2.0,-1.0,,-1.0,1.0,-1.0,-7.0,21.0,118.0,-1.0,-11.0,335.0,7.0,-8.0,8.0,,-1.0,,,433.0,6.0,-1.0,3.5,-0.68,-0.183,0.363,0.265,-1.781,-0.572,-235.912,-7.545,0.154,-1.18,-0.476,-5.123,-0.608,15.902,-0.148,2.639,0.424,1.656,-1.407,2.103,-1.214,0.45,-4.3,2.228,1.07,1.06,-27.375,0.564,-7.228,-1.091,-0.211
operating-expenses,1643.0,1646.0,1643.0,1619.0,1585.0,1614.0,1612.0,1596.0,1558.0,1545.0,1538.0,1284.0,1563.0,1484.0,1606.0,1610.0,1249.0,1624.0,1611.0,1626.0,1648.0,1640.0,1538.0,1486.0,1099.0,1526.0,1560.0,1508.994,1517.128,1545.0,1610.878,1443.684,1584.352,1586.347,1790.617,1432.975,1527.788,1508.833,1506.941,1517.88,1548.866,1542.443,1486.943,1483.249,1509.668,1529.778,1504.376,1458.408,1461.078,1368.747,1325.338,1270.098,1290.341,1285.756,1294.387,1132.469,1110.761,1116.376,1089.572
operating-income,313.0,307.0,248.0,220.0,304.0,305.0,272.0,269.0,298.0,319.0,279.0,276.0,322.0,422.0,257.0,239.0,631.0,301.0,228.0,257.0,256.0,262.0,208.0,270.0,689.0,289.0,227.0,265.2087,304.62,333.3522,297.8191,317.1328,322.0531,316.8539,30.96,282.2598,336.8671,365.894,298.562,330.3931,348.2799,359.375,321.063,317.0569,316.9349,308.123,280.261,312.0658,305.9919,272.4089,200.87,279.1721,292.861,297.326,258.718,266.1271,250.355,261.1532,229.913
total-non-operating-income-expense,-43.0,-42.0,-35.0,-53.0,-38.0,-41.0,-43.0,-35.0,-40.0,-27.0,-33.0,-34.0,-33.0,-39.0,-85.0,-33.0,-39.0,-101.0,-123.0,-53.0,-42.0,-33.0,-32.0,-56.0,-32.0,-33.0,-30.0,-33.985,-33.645,-35.633,-29.737,-32.136,-38.784,-39.058,-28.022,-24.67,-25.849,-36.101,-21.979,-38.03,-22.043,-37.559,-33.547,-45.759,-48.013,-37.292,-40.655,-31.835,-58.267,-38.577,-23.745,-31.223,-25.595,-34.537,-3.449,-18.769,-17.128,-11.816,-9.827
pre-tax-income,270.0,265.0,213.0,167.0,266.0,264.0,229.0,234.0,258.0,292.0,246.0,242.0,289.0,383.0,172.0,206.0,592.0,200.0,105.0,204.0,214.0,229.0,176.0,214.0,657.0,256.0,197.0,231.224,270.975,297.719,268.082,284.997,283.269,277.796,2.938,257.59,311.018,329.793,276.583,292.363,326.237,321.816,287.516,271.298,268.922,270.831,239.606,280.23,247.725,233.832,177.125,247.949,267.266,262.789,255.269,247.358,233.227,249.337,220.086
total-provision-income-taxes,62.0,63.0,50.0,40.0,48.0,42.0,52.0,-23.0,92.0,94.0,78.0,84.0,95.0,183.0,67.0,14.0,239.0,78.0,42.0,28.0,82.0,87.0,65.0,87.0,245.0,95.0,73.0,81.734,103.978,113.726,102.562,98.886,101.126,105.762,49.226,96.196,102.902,125.651,105.378,101.605,125.145,123.535,110.189,93.481,100.642,100.787,91.858,99.711,97.4,91.853,69.61,96.674,103.413,106.828,100.666,94.696,93.393,100.248,88.475
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
