,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,396.3,336.4,280.5,338.0,266.7,242.5,184.4,221.0,184.6,170.6,142.3,171.2,148.6,137.3,116.2,130.8,105.2,93.2,72.8,84.3,69.0,58.8,47.1,51.7,42.9,35.8,29.6,33.3,23.1,23.4,20.1,22.455,18.254,21.417,14.174,15.605,11.664,11.786,9.545,10.471,7.259,6.751,5.212,4.074,1.92,1.982,1.862,1.528,1.224,0.863,1.012,0.835,0.841,0.479,0.015,,,,
cost-goods-sold,149.4,129.9,111.7,115.2,98.1,88.9,65.5,67.5,57.6,53.1,48.2,54.5,47.5,51.8,41.1,39.6,30.5,27.2,26.3,24.9,21.8,18.9,17.3,17.6,15.3,13.9,13.1,15.7,14.7,12.2,10.7,11.706,10.09,9.546,9.058,8.659,8.188,7.267,6.086,6.364,6.394,7.799,5.475,4.892,3.84,3.393,3.242,3.655,3.113,2.906,3.062,3.398,3.389,2.091,2.081,,,,
gross-profit,246.9,206.5,168.8,222.8,168.6,153.6,118.9,153.5,127.0,117.5,94.1,116.7,101.1,85.5,75.1,91.2,74.7,66.0,46.5,59.4,47.2,39.9,29.8,34.1,27.6,21.9,16.5,17.6,8.4,11.2,9.4,10.749,8.164,11.871,5.116,6.946,3.476,4.519,3.459,4.107,0.865,-1.048,-0.263,-0.818,-1.92,-1.411,-1.38,-2.127,-1.889,-2.043,-2.05,-2.563,-2.548,-1.612,-2.066,,,,
research-development-expenses,66.7,69.0,59.0,275.3,50.1,47.2,44.8,48.7,43.3,45.3,48.1,43.7,43.9,36.3,32.2,28.5,64.8,24.4,19.8,21.6,18.5,14.8,14.5,12.6,11.8,11.1,9.3,8.6,10.3,10.0,9.4,8.085,8.231,7.016,6.268,6.875,6.161,5.425,4.739,4.172,3.496,3.455,3.171,4.571,5.418,4.797,4.843,4.397,3.671,4.028,4.035,3.93,4.634,5.361,5.494,10.9464,5.043,5.3456,5.4351
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,340.3,337.2,294.9,502.5999,252.8,247.4,215.1,209.0,185.1,184.2,182.7,177.3,167.1,157.4,135.4,129.2,147.6,96.8,85.5,82.7,74.0,64.6,59.4,54.0,48.7,45.7,40.5,41.6,40.4,38.1,35.5,34.688,31.562,28.806,26.044,25.501,24.726,23.054,20.619,19.933,18.838,20.206,16.549,16.812,15.91,15.437,14.506,13.705,12.727,12.403,12.468,12.592,15.097,12.383,11.417,12.6051,6.8611,6.8422,6.1217
operating-income,56.0,-0.8,-14.4,-164.5999,13.9,-4.9,-30.7,12.0,-0.5,-13.6,-40.4,-6.1001,-18.5,-20.1,-19.2,1.6,-42.4,-3.6,-12.7,1.6,-5.0,-5.8,-12.3,-2.3,-5.8,-9.9,-10.9,-8.3,-17.3,-14.7,-15.4,-12.233,-13.308,-7.389,-11.87,-9.896,-13.062,-11.268,-11.074,-9.462,-11.579,-13.455,-11.337,-12.738,-13.99,-13.455,-12.644,-12.177,-11.503,-11.54,-11.456,-11.757,-14.256,-11.904,-11.402,-12.6051,-6.8611,-6.8422,-6.1217
total-non-operating-income-expense,-10.2,-8.5,-12.2,-12.3,30.9,34.5,6.7,-3.4,-2.0,-0.8,0.1,-0.9,-0.1,,,0.0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.2,,,,,0.028,0.03,0.022,0.02,0.054,-0.336,-0.419,-9.199,-2.067,-1.944,-1.875,-1.805,-1.707,-1.641,-1.511,-1.17,-2.628,0.119,0.204,0.527,0.683,0.818,0.736,0.483,0.5369,0.5314,0.458,0.1357
pre-tax-income,45.8,-9.3,-26.6,-176.9,44.8,29.6,-24.0,8.6,-2.5,-14.4,-40.3,-7.0,-18.6,-20.1,-19.2,1.6,-42.5,-3.7,-12.9,1.4,-5.2,-6.0,-12.5,-2.6,-6.0,-10.1,-11.1,-8.4,-17.3,-14.7,-15.4,-12.205,-13.278,-7.367,-11.85,-9.842,-13.398,-11.687,-20.273,-11.529,-13.523,-15.33,-13.142,-14.445,-15.631,-14.966,-13.814,-14.805,-11.384,-11.336,-10.929,-11.074,-13.438,-11.168,-10.919,-12.0682,-6.3296,-6.3842,-5.9859
total-provision-income-taxes,0.0,1.2,0.3,2.8,-1.8,-0.6,0.2,18.0,-0.5,-17.3,1.4,0.4,0.2,0.1,,,0.0,,,,,,,,,,,,0.0,0.0,-1.3,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
