,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
revenue,,,,,,,,,,,,,,,,,,,,
gross-profit,3.848,2.33,2.069,6.119,14.519,7.372,3.927,3.667,6.282,3.097,0.682,0.898,0.962,3.388,0.805,0.792,0.67,0.167,,
research-development-expenses,22.702,23.565,15.842,19.193,17.443,32.718,21.3,26.424,20.396,17.318,19.021,26.835,10.832,10.43,8.882,5.83,3.85,7.282,1.888,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,
operating-expenses,38.436,37.979,33.331,32.372,30.777,47.029,35.486,40.109,33.031,29.212,31.309,39.882,22.127,22.588,18.644,13.17,8.052,10.563,5.161,
operating-income,-34.588,-35.649,-31.262,-26.253,-16.258,-39.657,-31.559,-36.442,-26.749,-26.115,-30.627,-38.984,-21.165,-19.2,-17.839,-12.378,-7.382,-10.396,-5.161,
total-non-operating-income-expense,1.647,1.863,2.013,1.199,1.02,0.934,0.62,0.253,0.15,-0.324,-0.47,-0.392,0.145,0.158,0.094,-0.27,-0.023,-37.175,-0.13,
pre-tax-income,,,,,,,,,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,0.0,,,,
net-income,-32.941,-33.786,-29.249,-25.054,-15.238,-38.723,-30.939,-36.189,-26.599,-26.439,-31.097,-39.376,-21.02,-19.042,-17.792,-12.633,-7.509,-47.667,-5.386,
ebitda,-33.861,-34.956,-30.634,-25.373,-15.419,-38.873,-30.808,-35.725,-26.065,-25.464,-29.996,-38.496,-20.884,-18.954,-17.652,-12.231,-7.25,-10.288,-5.078,
ebit,-34.588,-35.649,-31.262,-26.253,-16.258,-39.657,-31.559,-36.442,-26.749,-26.115,-30.627,-38.984,-21.165,-19.2,-17.839,-12.378,-7.382,-10.396,-5.161,
basic-shares-outstanding,49.82,49.071,48.838,47.098,47.414,46.952,45.992,40.324,41.307,40.83,36.485,32.22,35.505,35.287,22.281,3.145,2.926,2.222,1.957,
shares-outstanding,49.82,49.071,48.838,47.098,47.414,46.952,45.992,40.324,41.307,40.83,36.485,32.22,35.505,35.287,22.281,3.145,2.926,2.222,1.957,
eps-basic-net-earnings-per-share,-0.66,-0.69,-0.6,-0.52,-0.32,-0.82,-0.67,-0.84,-0.64,-0.65,-0.85,-1.09,-0.59,-0.54,-0.8,-4.05,-2.57,-21.45,-2.75,
eps-earnings-per-share-diluted,-0.66,-0.69,-0.6,-0.52,-0.32,-0.82,-0.67,-0.84,-0.64,-0.65,-0.85,-1.09,-0.59,-0.54,-0.8,-4.05,-2.57,-21.45,-2.75,0.0
