,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
revenue,26.691,,,,,,,,,,,
cost-goods-sold,2.5,,,,,,,,,,,
gross-profit,24.191,,,,,,,,,,,
research-development-expenses,11.987,12.497,8.549,8.323,8.369,6.195,5.652,3.71,2.283,1.261,2.039,
selling-general-administrative-expenses,,,,,,,,,,,,
operating-expenses,20.44,14.794,12.584,10.705,10.988,8.089,7.997,5.13,2.773,1.715,2.417,
operating-income,6.251,-14.794,-12.584,-10.705,-10.988,-8.089,-7.997,-5.13,-2.773,-1.715,-2.417,
total-non-operating-income-expense,0.68,0.741,0.851,8.287,0.374,-3.292,-0.879,0.005,,,0.075,
pre-tax-income,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,0.0,,,,
net-income,6.931,-14.053,-11.733,-9.854,-10.614,-11.381,-7.963,-5.121,-2.773,-1.715,-2.342,
ebitda,6.271,-14.776,-12.569,-9.726,-11.935,-8.075,-6.976,-5.128,-2.772,-1.715,-2.417,
ebit,6.251,-14.794,-12.584,-10.705,-10.988,-8.089,-7.997,-5.13,-2.773,-1.715,-2.417,
basic-shares-outstanding,36.582,36.31,36.176,21.367,35.966,8.11,4.392,3.597,3.753,3.515,3.241,
shares-outstanding,37.712,36.31,36.176,21.367,35.966,8.11,4.392,3.597,3.753,3.515,3.241,
eps-basic-net-earnings-per-share,0.19,-0.39,-0.32,1.65,-0.3,-1.4,-1.81,-1.37,-0.74,-0.49,-0.72,
eps-earnings-per-share-diluted,0.18,-0.39,-0.32,1.65,-0.3,-1.4,-1.81,-1.37,-0.74,-0.49,-0.72,0.0
