,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-09-30,2010-09-30
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,51.313,44.367,39.631,69.886,67.205,57.262,44.049,38.109,75.927,7.511,8.959,10.417,12.841,13.978,13.004,48.445,14.416,11.599,57.367,77.498,2.637,42.051,2.16,0.893,1.349,1.649,1.196,27.859,1.858,2.542,36.565,,
research-development-expenses,38.719,34.461,34.155,34.878,26.923,28.487,21.484,17.962,16.514,15.407,13.004,12.526,11.5,10.785,9.143,9.033,7.049,6.253,5.368,4.519,5.202,4.553,4.722,4.263,4.3,4.039,3.704,4.798,4.255,4.925,3.263,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,44.882,40.612,40.935,42.03,32.753,34.622,27.19,23.732,21.632,20.64,18.465,17.463,15.94,15.067,13.569,12.851,10.742,9.896,8.806,7.288,7.963,7.156,7.287,6.35,6.05,5.827,5.197,5.95,,6.07,4.47,,
operating-income,6.431,3.755,-1.304,27.856,34.452,22.64,16.859,14.377,54.295,-13.129,-9.506,-7.046,-3.099,-1.089,-0.565,35.594,3.674,1.703,48.561,70.21,-5.326,34.895,-5.127,-5.457,-4.701,-4.178,-4.001,21.909,1.858,-3.528,32.095,,
total-non-operating-income-expense,2.274,2.415,2.245,1.885,1.429,1.338,1.066,0.96,0.66,0.6,0.549,0.524,0.471,0.447,0.472,0.329,0.509,0.287,0.21,0.301,0.236,0.036,-0.076,0.087,0.258,0.04,0.252,0.048,,0.027,0.016,,
pre-tax-income,8.705,6.17,0.941,29.741,35.881,23.978,17.925,15.337,54.955,-12.529,-8.957,-6.522,-2.628,-0.642,-0.093,35.923,4.183,1.99,48.771,70.511,-5.09,34.931,-5.203,-5.37,-4.443,-4.138,-3.749,21.957,,-3.501,32.111,,
total-provision-income-taxes,-0.486,-0.866,-3.204,3.73,8.461,3.69,5.37,3.644,18.447,-4.103,-3.565,-1.542,-0.826,0.434,1.552,9.734,-1.629,-0.428,20.018,28.502,-0.048,-15.122,,,,0.0,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,9.191,7.036,4.145,26.011,27.42,20.288,12.555,11.693,36.508,-8.426,-5.392,-4.98,-1.802,-1.076,-1.645,26.189,5.812,2.418,28.753,42.009,-5.042,50.053,-5.203,-5.37,-4.443,-4.138,-4.993,1.868,-5.384,-4.831,2.628,,
ebitda,,3.364,-1.738,27.559,34.516,22.949,17.494,15.052,54.997,-12.419,-8.76,-6.365,-2.437,-0.361,0.316,36.495,4.471,2.487,49.263,70.81,-4.732,35.417,-4.481,-4.747,,-3.821,-3.756,22.152,2.124,-3.258,32.095,,
ebit,6.431,3.755,-1.304,27.856,34.452,22.64,16.859,14.377,54.295,-13.129,-9.506,-7.046,-3.099,-1.089,-0.565,35.594,3.674,1.703,48.561,70.21,-5.326,34.895,-5.127,-5.457,-4.701,-4.178,-4.001,21.909,,-3.528,32.095,,
basic-shares-outstanding,19.686,19.673,19.549,19.426,19.255,19.303,19.206,19.13,19.066,19.081,19.047,19.038,18.929,18.983,18.921,18.776,18.673,18.697,18.68,18.603,18.589,18.529,18.354,17.949,17.904,17.82,2.192,1.158,1.127,1.12,1.088,,
shares-outstanding,20.876,21.105,21.084,20.81,20.65,21.017,20.601,19.918,19.407,19.081,19.047,19.038,19.224,18.983,18.921,19.269,19.295,19.278,19.269,19.283,18.589,19.203,18.354,17.949,17.904,17.82,2.192,2.637,1.127,1.12,2.537,,
eps-basic-net-earnings-per-share,0.47,0.36,0.21,1.34,1.43,1.05,0.65,0.61,1.91,-0.44,-0.28,-0.26,-0.1,-0.06,-0.09,1.39,0.3,0.13,1.54,2.26,-0.27,2.7,-0.28,-0.3,-0.25,-0.23,-2.28,1.61,-4.78,-4.31,2.41,,
eps-earnings-per-share-diluted,0.44,0.33,0.2,1.25,1.31,0.97,0.61,0.59,1.89,-0.44,-0.28,-0.26,-0.08,-0.06,-0.09,1.36,0.29,0.13,1.49,2.18,-0.27,2.61,-0.28,-0.3,-0.25,-0.23,-2.28,1.45,-4.78,-4.31,2.17,0.0,0.0
