,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
revenue,220.143,191.959,197.756,193.104,149.947,144.298,139.714,113.729,107.912,107.071,106.238,88.011,60.21,56.518,49.449,46.058,40.406,10.414,,-20.07,,,20.076,
cost-goods-sold,131.763,108.383,117.441,112.88,73.967,69.003,71.975,65.549,68.281,67.994,67.528,59.883,33.905,32.779,28.61,24.749,24.762,7.887,,-14.82,,,14.821,
gross-profit,,,,,,,,,,,,,,,,,,,,0.0,,,,
selling-general-administrative-expenses,58.808,66.932,74.838,62.923,59.566,57.403,55.526,55.196,45.834,51.09,53.55,57.592,38.398,32.756,31.946,32.37,29.834,13.082,,-16.24,,,16.243,
other-operating-income-expenses,-34.302,-26.585,-37.857,-16.02,-17.092,-16.824,-16.849,-0.1,-0.1,-0.2,,,,,,,,,,,,,,
operating-expenses,240.281,217.192,244.402,206.4561,160.977,153.264,153.846,131.977,121.932,126.188,127.693,121.884,76.049,69.147,224.527,60.245,57.652,21.953,,-31.71,,,31.72,
operating-income,-20.138,-25.233,-46.646,-13.3521,-11.03,-8.966,-14.132,-18.248,-14.02,-19.117,-21.455,-33.873,-15.839,-12.629,-175.078,-14.187,-17.246,-11.539,,11.64,,,-11.644,
total-non-operating-income-expense,-6.449,-5.269,-2.499,-4.177,-1.39,-1.174,0.07,-0.171,-0.823,-1.281,-1.289,-0.46,-0.192,0.259,0.279,0.226,0.054,397.3,-11.319,-16.161,-3.167,-5.939,0.018,
pre-tax-income,-26.587,-30.502,-49.145,-17.529,-12.42,-10.14,-14.062,-18.419,-14.843,-20.398,-22.744,-34.333,-16.031,-12.37,-174.799,-13.961,-17.192,385.761,-11.319,-4.53,-3.167,-5.939,-11.626,
total-provision-income-taxes,-0.849,1.398,-0.496,0.011,0.135,-0.109,0.003,-4.628,-1.714,-0.7,0.405,-9.14,-0.256,-0.371,-0.988,-5.694,-0.104,29.273,,0.0,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-25.521,-31.615,-46.739,-16.687,-12.429,-9.916,-13.626,-13.16,-12.588,-16.905,-18.012,-17.407,-11.208,-8.387,-122.74,-5.013,-11.98,359.912,-12.609,-4.53,-3.167,-5.939,-11.626,
ebitda,-1.017,-6.097,-28.851,3.8509,0.285,1.894,-3.837,-6.887,-6.074,-11.986,-14.611,-27.377,-12.094,-9.017,-11.107,-11.061,-14.19,-11.539,,11.64,,,-10.988,
ebit,-20.138,-25.233,-46.646,-13.3521,-11.03,-8.966,-14.132,-18.248,-14.02,-19.117,-21.455,-33.873,-15.839,-12.629,-175.078,-14.187,-17.246,-11.539,,11.64,,,-11.644,
basic-shares-outstanding,83.819,82.289,79.335,77.338,77.999,77.209,75.375,64.351,70.328,59.478,52.599,45.031,43.11,42.594,42.185,25.129,41.468,13.976,2.988,2.314,2.506,2.272,,
shares-outstanding,83.819,82.289,79.335,77.338,77.999,77.209,75.375,64.351,70.328,59.478,52.599,45.031,43.11,42.594,42.185,46.136,41.468,36.643,2.988,2.314,2.506,2.272,,
eps-basic-net-earnings-per-share,-0.3,-0.38,-0.59,-0.21,-0.16,-0.13,-0.18,-0.14,-0.18,-0.28,-0.34,-0.18,-0.26,-0.2,-2.91,-8.04,-0.29,25.69,-4.22,-8.22,-2.07,-3.17,,
eps-earnings-per-share-diluted,-0.3,-0.38,-0.59,-0.21,-0.16,-0.13,-0.18,-0.14,-0.18,-0.28,-0.34,-0.18,-0.26,-0.2,-2.91,1.71,-0.29,9.73,-4.22,-8.22,-2.07,-3.17,0.0,0.0
