,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
revenue,,,,,,,,,,,
gross-profit,15.678,,,,,,,,,,
research-development-expenses,27.074,18.829,19.126,13.94,17.984,13.596,11.153,,8.842,9.189,
selling-general-administrative-expenses,,,,,,,,,,,
operating-expenses,32.051,23.886,23.71,17.784,22.367,16.958,14.996,,10.893,10.886,
operating-income,-16.373,-23.886,-23.71,-17.784,-22.367,-16.958,-14.996,,-10.893,-10.886,
total-non-operating-income-expense,1.21,0.68,0.694,0.57,0.708,0.236,0.221,,0.06,0.059,
pre-tax-income,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,
net-income,-15.163,-23.206,-23.016,-17.214,-21.659,-16.722,-14.775,,-10.833,-10.827,
ebitda,-15.922,-23.505,-23.397,-17.672,-22.271,-16.861,-14.9,,-10.8,-10.886,
ebit,-16.373,-23.886,-23.71,-17.784,-22.367,-16.958,-14.996,,-10.893,-10.886,
basic-shares-outstanding,39.772,31.355,31.166,18.769,30.431,6.637,6.6,,6.504,6.432,
shares-outstanding,39.772,31.355,31.166,18.769,30.431,6.637,6.6,,6.504,6.432,
eps-basic-net-earnings-per-share,-0.38,-0.74,-0.74,1.72,-0.71,-2.52,-2.24,,-1.67,-1.68,
eps-earnings-per-share-diluted,-0.38,-0.74,-0.74,1.72,-0.71,-2.52,-2.24,0.0,-1.67,-1.68,0.0
