,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,,,,,,,,,,,,,0.0185,,,0.0354,,20.0354,,,,15.027,,0.0774,0.0526,0.0551,3.8076,,,
research-development-expenses,10.7242,13.0654,11.7727,12.039,9.7291,9.3023,9.0214,6.7198,5.7798,5.7221,5.8785,6.0605,5.9215,5.7812,5.5187,6.9612,5.0384,7.8429,5.2077,5.281,5.0507,5.3577,3.8817,3.1212,2.9532,2.8838,2.7429,,0.0,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,14.1051,16.816,15.1331,14.9599,12.5195,12.1489,11.8766,9.5359,8.1817,8.2439,7.9708,8.3583,7.9053,8.0934,7.5751,8.9229,7.1714,9.6486,7.1127,7.3982,6.6992,6.9628,5.1066,3.9448,3.7535,3.552,3.3489,,,
operating-income,-14.1051,-16.816,-15.1331,-14.9599,-12.5195,-12.1489,-11.8766,-9.5359,-8.1817,-8.2439,-7.9708,-8.3583,-7.8868,-8.0934,-7.5751,-8.8875,-7.1714,10.3868,-7.1127,-7.3982,-6.6992,8.0642,-5.1066,-3.8673,-3.7009,-3.497,0.4587,,,
total-non-operating-income-expense,0.8532,0.9862,1.0492,1.0529,0.9444,0.8701,0.3637,0.278,0.2316,0.1021,0.0395,0.0297,0.0321,0.0218,0.0201,0.0058,0.0033,0.0026,0.0036,0.0044,0.0048,0.0043,0.0048,0.0,0.0,-0.0001,0.001,,,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,-0.0768,0.0768,,,,,,,0.0,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
net-income,-13.2519,-15.8298,-14.0839,-13.9069,-11.5751,-11.2788,-11.5128,-9.2579,-7.9501,-8.1418,-7.9313,-8.3286,-7.8547,-8.0716,-7.555,-8.8817,-7.1681,10.3894,-7.1091,-7.3939,-6.6176,7.9917,-5.1019,-3.8673,-3.7009,-3.4971,0.4597,,,
ebitda,-14.3382,-16.5916,-14.913,-14.8915,-12.451,-12.0793,-11.8078,-9.4663,-8.1117,-8.1743,-7.9165,-8.3075,-7.8409,-8.0467,-7.5278,-8.8385,-7.1195,10.4331,-7.0684,-7.3538,-6.6584,8.1031,-5.072,-3.8319,-3.6676,-3.4646,0.4907,,,
ebit,-14.1051,-16.816,-15.1331,-14.9599,-12.5195,-12.1489,-11.8766,-9.5359,-8.1817,-8.2439,-7.9708,-8.3583,-7.8868,-8.0934,-7.5751,-8.8875,-7.1714,10.3868,-7.1127,-7.3982,-6.6992,8.0642,-5.1066,-3.8673,-3.7009,-3.497,0.4587,,,
basic-shares-outstanding,43.295,43.183,43.167,41.045,43.069,42.81,35.156,29.396,32.724,27.24,23.48,21.256,23.0494,19.793,19.0718,19.011,19.026,19.012,18.9615,18.452,18.894,18.808,17.233,1.196,1.2337,0.946,0.9305,,,
shares-outstanding,43.295,43.183,43.167,41.045,43.069,42.81,35.156,29.396,32.724,27.24,23.48,21.256,23.0494,19.793,19.0718,19.011,19.026,20.237,18.9615,18.452,18.894,20.238,17.233,1.196,1.2337,0.946,11.1287,,,
eps-basic-net-earnings-per-share,-0.31,-0.37,-0.33,-0.32,-0.27,-0.26,-0.33,-0.25,-0.24,-0.3,-0.34,-0.35,-0.34,-0.41,-0.4,-0.47,-0.38,0.55,-0.37,-0.37,-0.35,0.42,-0.3,-2.66,-3.0,-3.7,0.49,,,
eps-earnings-per-share-diluted,-0.31,-0.37,-0.33,-0.32,-0.27,-0.26,-0.33,-0.25,-0.24,-0.3,-0.34,-0.35,-0.34,-0.41,-0.4,-0.43,-0.38,0.51,-0.37,-0.34,-0.35,0.39,-0.3,-2.21,-3.0,-3.7,0.04,0.0,0.0,0.0
