,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31
revenue,196.215,194.539,182.947,195.938,169.236,173.384,174.411,176.034,151.744,152.39,155.809,151.59,135.651,137.489,139.264,142.587,136.992,133.57,131.604,128.801,117.787,113.573,114.21,115.245,107.187,107.009,105.018,100.536,94.764,95.977,94.717,87.993,84.27,80.936,78.279,,
cost-goods-sold,45.387,43.99,41.838,45.954,37.849,37.637,37.97,40.856,36.798,37.199,35.6,39.002,31.453,32.731,31.519,34.72,32.927,32.579,32.107,31.188,27.686,26.583,25.312,26.774,25.315,24.761,23.493,19.557,18.872,18.379,18.391,19.5,17.141,17.269,14.899,,
gross-profit,150.828,150.549,141.109,149.984,131.387,135.747,136.441,135.1779,114.946,115.191,120.209,112.588,104.198,104.758,107.745,107.867,104.065,100.991,99.497,97.613,90.101,86.99,88.898,88.471,81.872,82.248,81.525,80.979,75.892,77.598,76.326,68.493,67.129,63.667,63.38,,
research-development-expenses,14.508,15.746,14.324,13.757,15.527,13.523,12.689,11.413,10.887,10.713,10.666,13.643,10.265,10.594,10.03,9.325,9.25,9.081,8.656,7.883,8.146,7.694,7.443,6.418,6.568,7.037,6.847,7.228,7.022,6.94,6.736,5.78,5.916,5.735,6.04,,
selling-general-administrative-expenses,88.455,88.379,85.784,83.641,75.131,77.125,75.694,72.958,63.362,64.438,67.059,60.839,54.207,53.312,53.798,51.276,52.17,54.506,52.289,48.543,46.986,46.425,46.678,45.669,45.702,45.75,45.397,44.626,41.78,41.231,41.225,39.03,34.762,33.753,34.014,,
other-operating-income-expenses,-2.184,-0.106,-0.579,-6.271,-0.268,-0.782,-0.238,-0.209,-2.822,-0.86,-0.388,-0.579,-1.192,-2.537,-0.674,9.899,-1.577,-0.374,-0.032,-0.831,-0.046,-1.318,-2.535,-4.637,-0.099,-18.269,-0.05,-0.015,-0.03,1.138,-0.307,-1.164,0.078,-0.37,-0.014,,
operating-expenses,154.154,151.67,145.868,152.686,130.935,131.245,128.778,127.674,115.949,115.019,115.495,115.868,98.001,99.571,96.413,86.59,96.317,96.54,93.084,89.157,82.864,82.02,81.968,83.498,77.684,95.817,75.787,71.426,67.704,65.412,66.659,64.31,57.741,57.127,54.967,,
operating-income,42.061,42.869,37.079,43.252,38.301,42.139,45.633,48.36,35.795,37.371,40.314,35.722,37.65,37.918,42.851,55.997,40.675,37.03,38.52,39.644,34.923,31.553,32.242,31.747,29.503,11.192,29.231,29.11,27.06,30.565,28.058,23.683,26.529,23.809,23.312,,
total-non-operating-income-expense,4.691,4.224,4.572,4.375,4.296,8.165,2.444,2.24,1.562,2.186,2.1,0.755,1.205,0.418,0.76,0.236,0.253,0.441,-0.347,-0.166,-0.124,0.325,0.245,0.073,0.197,-0.221,0.279,-0.016,-0.045,-0.304,0.225,-0.224,-0.172,-0.025,0.004,,
pre-tax-income,46.752,47.093,41.651,47.627,42.597,50.304,48.077,50.6,37.357,39.557,42.414,36.477,38.855,38.336,43.611,56.233,40.928,37.471,38.173,39.478,34.799,31.878,32.487,31.82,29.7,10.971,29.51,29.094,27.015,30.261,28.283,23.5,26.357,23.784,23.316,,
