,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
revenue,,,,,,,,,,
gross-profit,0.984,1.15,1.347,1.091,0.096,,,,,
research-development-expenses,24.886,18.529,15.899,15.253,15.622,12.689,11.401,,8.084,
selling-general-administrative-expenses,,,,,,,,,,
operating-expenses,29.468,23.364,20.276,19.119,18.71,15.503,13.439,,9.488,
operating-income,-28.484,-22.214,-18.929,-18.028,-18.614,-15.503,-13.439,,-9.488,
total-non-operating-income-expense,0.936,1.042,0.92,0.689,0.026,0.031,0.063,,0.037,
pre-tax-income,,,,,,,,,,
income-after-taxes,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,
net-income,-27.548,-21.172,-18.009,-17.339,-18.588,-15.472,-13.376,,-9.451,
ebitda,-27.589,-21.571,-18.412,-17.3,-17.635,-14.607,-12.633,,-9.488,
ebit,-28.484,-22.214,-18.929,-18.028,-18.614,-15.503,-13.439,,-9.488,
basic-shares-outstanding,35.691,33.583,28.939,8.919,2.446,2.353,2.218,,2.057,
shares-outstanding,35.691,33.583,28.939,8.919,2.446,2.353,2.218,,2.057,
eps-basic-net-earnings-per-share,-0.77,-0.63,-0.62,12.94,-7.6,-6.57,-6.03,,-4.59,
eps-earnings-per-share-diluted,-0.77,-0.63,-0.62,12.94,-7.6,-6.57,-6.03,0.0,-4.59,0.0
