,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,12694.0,12602.0,12517.0,12274.0,11451.0,11529.0,11423.0,11562.0,10696.0,10733.0,10623.0,10641.0,10270.0,10319.0,10260.0,10249.0,9856.0,9897.0,9676.0,9636.0,9220.0,9230.0,8832.0,8836.0,8456.0,8450.0,8440.0,8434.0,8062.0,8112.0,8405.0,7769.0,7258.0,7249.0,7406.0,5809.0,6926.0,7756.0,7544.0,4329.0,7533.0,7483.0,7431.0,7265.0,7002.0,6980.0,7127.0,6883.0,6569.0,6729.0,6677.0,6489.0,6213.0,6360.0,6415.0,6178.0,6025.0,6070.0,6182.0
cost-goods-sold,2090.0,2118.0,2041.0,2002.0,1890.0,1917.0,1915.0,1947.0,1777.0,1795.0,1797.0,1802.0,1699.0,1718.0,1714.0,1686.0,1644.0,1670.0,1638.0,1659.0,1539.0,1532.0,1532.0,1564.0,1457.0,1470.0,1479.0,1501.0,1375.0,1422.0,1419.0,1346.0,1263.0,1295.0,1275.0,1276.0,1234.0,1251.0,1200.0,1241.0,1206.0,1211.0,1210.0,1157.0,1141.0,1149.0,1173.0,1111.0,1085.0,1096.0,1103.0,1071.0,1046.0,1091.0,1114.0,1024.0,1009.0,1042.0,1051.0
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,5971.0,5837.0,5647.0,5485.0,5377.0,5274.0,5289.0,5181.0,5081.0,4896.0,4901.0,4764.0,4740.0,4691.0,4702.0,4606.0,4619.0,4492.0,4398.0,4282.0,4211.0,4098.0,4050.0,3965.0,3916.0,3848.0,3917.0,3865.0,3781.0,3707.0,3736.0,3492.0,3333.0,3320.0,3295.0,3202.0,3134.0,3076.0,3072.0,3078.0,3013.0,2944.0,2923.0,2877.0,2883.0,2841.0,2839.0,2712.0,2701.0,2654.0,2647.0,2593.0,2600.0,2605.0,2611.0,2538.0,2484.0,2463.0,2443.0
other-operating-income-expenses,-2348.0,-2354.0,-2288.0,-2279.0,-2088.0,-2111.0,-2101.0,-2072.0,-2062.0,-1952.0,-1920.0,-1869.0,-1874.0,-1858.0,-1841.0,-1826.0,-1778.0,-1727.0,-1679.0,-1739.0,-1642.0,-1600.0,-1606.0,-1593.0,-1480.0,-1443.0,-1476.0,-1462.0,-1373.0,-1414.0,-1427.0,-1292.0,-1250.0,-1214.0,-1246.0,116.0,-1201.0,-1939.0,-1698.0,1333.0,-2041.0,-1929.0,-1841.0,-1994.0,-1925.0,-1886.0,-1935.0,-1907.0,-1800.0,-1799.0,-1651.0,-1554.0,-1648.0,-1588.0,-1486.0,-1604.0,-1583.0,-1447.0,-1484.0
operating-expenses,11056.0,10945.0,10595.0,10347.0,9937.0,9864.0,9858.0,9750.0,9459.0,9164.0,9139.0,8938.0,8808.0,8756.0,8736.0,8598.0,8523.0,8358.0,8188.0,8139.0,7852.0,7684.0,7635.0,7583.0,7296.0,7186.0,7296.0,7253.0,6946.0,6963.0,6999.0,6517.0,6208.0,6187.0,6174.0,4721.0,5921.0,6621.0,6325.0,3344.0,6614.0,6444.0,6327.0,6382.0,6299.0,6231.0,6304.0,6084.0,5942.0,5910.0,5756.0,5564.0,5642.0,5636.0,5556.0,5502.0,5413.0,5316.0,5315.0
operating-income,1638.0,1657.0,1922.0,1927.0,1514.0,1665.0,1565.0,1812.0,1237.0,1569.0,1484.0,1703.0,1462.0,1563.0,1524.0,1651.0,1333.0,1539.0,1488.0,1497.0,1368.0,1546.0,1197.0,1253.0,1160.0,1264.0,1144.0,1181.0,1116.0,1149.0,1406.0,1252.0,1050.0,1062.0,1232.0,1088.0,1005.0,1135.0,1219.0,985.0,919.0,1039.0,1104.0,883.0,703.0,749.0,823.0,799.0,627.0,819.0,921.0,925.0,571.0,724.0,859.0,676.0,612.0,754.0,867.0
total-non-operating-income-expense,-659.0,-459.0,-462.0,-438.0,-445.0,-427.0,-26.0,-435.0,-459.0,-409.0,-418.0,-138.0,-444.0,-431.0,-429.0,-599.0,-490.0,-555.0,-410.0,-529.0,-439.0,-642.0,-517.0,-453.0,-459.0,-458.0,-505.0,-626.0,-439.0,-450.0,-443.0,1202.0,-927.0,-595.0,-715.0,-524.0,-537.0,-621.0,-534.0,-534.0,-513.0,-513.0,-485.0,-504.0,-491.0,-514.0,-479.0,-242.0,-288.0,-625.0,-613.0,-727.0,-212.0,-237.0,-241.0,-163.0,-203.0,-185.0,-204.0
pre-tax-income,979.0,1198.0,1460.0,1489.0,1069.0,1238.0,1539.0,1377.0,778.0,1160.0,1066.0,1565.0,1018.0,1132.0,1095.0,1052.0,843.0,984.0,1078.0,968.0,929.0,904.0,680.0,800.0,701.0,806.0,639.0,555.0,677.0,699.0,963.0,2454.0,123.0,467.0,517.0,564.0,468.0,514.0,685.0,451.0,406.0,526.0,619.0,379.0,212.0,235.0,344.0,557.0,339.0,194.0,308.0,198.0,359.0,487.0,618.0,513.0,409.0,569.0,663.0
total-provision-income-taxes,215.0,271.0,279.0,244.0,173.0,272.0,257.0,736.0,248.0,365.0,289.0,480.0,273.0,341.0,284.0,314.0,270.0,319.0,358.0,292.0,318.0,272.0,226.0,246.0,234.0,269.0,201.0,128.0,222.0,214.0,324.0,412.0,-23.0,147.0,183.0,170.0,143.0,136.0,209.0,147.0,132.0,161.0,187.0,35.0,76.0,38.0,119.0,71.0,39.0,78.0,128.0,76.0,119.0,192.0,239.0,188.0,129.0,164.0,249.0
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,612.0,783.0,1039.0,1064.0,759.0,820.0,1144.0,474.0,426.0,657.0,659.0,920.0,618.0,658.0,694.0,582.0,449.0,507.0,591.0,527.0,518.0,483.0,347.0,424.0,365.0,423.0,344.0,314.0,360.0,391.0,540.0,1935.0,61.0,229.0,240.0,283.0,243.0,293.0,388.0,216.0,196.0,282.0,360.0,276.0,86.0,141.0,170.0,278.0,300.0,116.0,180.0,122.0,240.0,295.0,379.0,325.0,280.0,405.0,414.0
ebitda,2292.0,2301.0,2549.0,2516.0,2104.0,2234.0,2126.0,2370.0,1783.0,2098.0,2013.0,2214.0,1965.0,2060.0,2013.0,2139.0,1823.0,2017.0,1971.0,1965.0,1838.0,2009.0,1658.0,1728.0,1616.0,1704.0,1581.0,1624.0,1548.0,1584.0,1837.0,1653.0,1429.0,1439.0,1610.0,1468.0,1377.0,1510.0,1594.0,1363.0,1293.0,1418.0,1478.0,1257.0,1069.0,1124.0,1203.0,1231.0,983.0,1180.0,1276.0,1289.0,919.0,1076.0,1204.0,1012.0,949.0,1118.0,1204.0
ebit,1638.0,1657.0,1922.0,1927.0,1514.0,1665.0,1565.0,1812.0,1237.0,1569.0,1484.0,1703.0,1462.0,1563.0,1524.0,1651.0,1333.0,1539.0,1488.0,1497.0,1368.0,1546.0,1197.0,1253.0,1160.0,1264.0,1144.0,1181.0,1116.0,1149.0,1406.0,1252.0,1050.0,1062.0,1232.0,1088.0,1005.0,1135.0,1219.0,985.0,919.0,1039.0,1104.0,883.0,703.0,749.0,823.0,799.0,627.0,819.0,921.0,925.0,571.0,724.0,859.0,676.0,612.0,754.0,867.0
basic-shares-outstanding,340.789,342.17,342.876,347.297,345.823,348.615,350.85,362.305,360.17,365.847,370.289,383.591,378.199,386.406,396.397,414.193,414.939,416.407,420.148,435.668,432.617,438.833,442.15,445.066,447.329,446.612,444.401,440.178,440.899,439.473,437.936,476.609,508.417,516.448,444.202,426.424,426.361,426.329,426.35,425.567,94.453,94.398,,,,,,,,,,,,,,,448.654,443.489,427.675
shares-outstanding,347.487,348.373,350.316,355.303,353.639,355.039,359.749,372.221,369.834,375.338,379.98,395.851,389.592,398.659,410.575,426.721,426.441,429.369,435.309,450.352,447.26,453.009,457.449,461.913,463.569,463.184,462.368,459.403,459.515,458.621,458.312,495.943,527.515,538.557,461.969,437.347,439.032,437.104,435.68,432.227,95.843,95.721,,,,,,,,,,,,,,,454.878,451.731,435.66
eps-basic-net-earnings-per-share,1.8,2.29,3.03,3.09,2.2,2.35,3.26,1.37,1.18,1.79,1.78,2.45,1.63,1.7,1.75,1.43,1.08,1.22,1.41,1.22,1.2,1.1,0.78,0.96,0.82,0.95,0.77,0.71,0.82,0.89,1.23,4.07,0.12,0.44,0.54,0.66,0.57,0.69,0.91,-2.59,2.07,3.0,,,,,,,,,,,,,,,0.63,0.91,0.97
eps-earnings-per-share-diluted,1.76,2.25,2.97,3.02,2.15,2.31,3.18,1.31,1.15,1.75,1.74,2.37,1.59,1.65,1.69,1.4,1.05,1.18,1.36,1.17,1.16,1.07,0.76,0.93,0.79,0.91,0.74,0.68,0.78,0.85,1.18,3.91,0.11,0.43,0.52,0.65,0.55,0.67,0.89,-2.56,2.04,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.9,0.95
