,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,782.8,726.8,714.2,683.5,759.1999,708.6,710.5,669.7,738.3,689.1,678.9,637.4,705.9999,655.4,632.6,661.2,573.8999,474.5,474.8,465.0,479.8,397.6,415.3,393.4,437.9,424.2,425.7,428.4,431.6001,406.5,415.1,381.1,430.5999,384.8,402.1,374.2,396.6,360.6,357.1,355.3,363.3,334.7,337.3,351.6,424.2999,366.8,375.2,341.4,530.2,328.5,335.0,483.2,520.5,469.3,495.6,477.5,496.6,466.0,500.7
cost-goods-sold,397.0,370.2,361.6,353.5,383.0,360.6,360.1,350.1,375.8001,358.0,354.5,334.8,359.3,340.0,328.4,370.5,317.2,265.0,260.6,265.1,266.5,210.5,212.6,216.6,235.2,234.1,229.6,237.0,230.5001,233.8,219.3,196.0,219.9999,197.2,203.5,189.7,200.6,182.6,185.3,184.5,192.0,184.0,183.9,199.1,234.6999,206.2,207.9,189.4,307.9,183.0,182.8,269.0,290.3,266.9,281.7,274.2,319.6,257.1,266.4
gross-profit,385.8,356.6,352.6,330.0,376.1999,348.0,350.4,319.6,362.4999,331.1,324.4,302.6,346.6999,315.4,304.2,290.7,256.6999,209.5,214.2,199.9,213.3,187.1,202.7,176.8,202.7,190.1,196.1,191.4,201.1,172.7,195.8,185.1,210.6,187.6,198.6,184.5,196.0,178.0,171.8,170.8,171.3,150.7,153.4,152.5,189.6,160.6,167.3,152.0,222.3,145.5,152.2,214.2,230.2,202.4,213.9,203.3,177.0,208.9,234.3
research-development-expenses,35.6,34.1,36.6,33.2,35.0,33.6,34.7,32.3,31.5,34.9,35.3,32.0,32.0,33.6,34.3,33.6,24.5,23.3,22.2,21.8,21.6,17.5,16.4,16.4,18.0,16.7,18.3,17.2,18.7,16.1,16.8,15.3,15.5,17.3,16.2,14.8,14.9,14.1,14.4,14.9,14.9,13.0,14.5,13.3,,,,,,,,,,,,,,,
selling-general-administrative-expenses,245.4,246.4,231.2,218.0,215.2999,221.9,232.7,221.7,222.3,221.0,222.4,208.8,212.8,209.9,209.4,221.2,208.7,150.5,149.9,155.1,151.6,128.6,130.1,138.0,135.6,136.4,141.4,136.1,130.1,120.5,125.6,120.2,126.9,124.6,130.5,120.0,116.0,116.2,120.8,121.6,118.1,113.7,113.6,116.2,,,,,,,,,,,,,,,
other-operating-income-expenses,-10.7,-6.2,-3.5,-8.0,-13.2,-14.0,-36.9,-13.5,6.3,-34.8,-3.1,-5.8,-8.4,-13.7,-10.7,-7.1,-29.3,-4.4,-3.8,-3.7,-4.7,-3.0,-28.4,-1.0,-1.0,-0.8,-2.9,-1.0,-4.9,-1.7,-8.0,,-5.0,-41.1,-2.6,,13.0,0.0,-5.0,,-0.1,-2.6,-17.8,,390.0,-137.3,-146.9,-128.6,-155.9,-124.9,-122.2,-135.1,-135.2,-124.9,-137.0,-135.1,-498.3999,-149.4,-148.9
operating-expenses,688.6998,656.9,632.9,612.7,646.5001,630.1,664.4,617.6,623.3001,648.7,615.2999,581.4,612.4999,597.2,582.8,632.4,579.7001,443.2,436.5,445.7,444.4,359.6,387.5,372.0,389.8,388.0,392.2,391.3,384.1999,372.1,377.7,331.5,367.3999,380.2,352.8,324.5,318.5,312.9,325.5,321.0,324.1,317.1,799.8,328.6,388.6,343.5,354.8,318.0,463.8,307.9,305.0,404.1,425.5,391.8,418.7,409.3,817.9999,406.5,415.3
operating-income,94.1003,69.9,81.3,70.8,112.6998,78.5,46.1,52.1,114.9999,40.4,63.6001,56.0001,93.5,58.2,49.8,28.8001,-5.8002,31.3,38.3,19.3,35.4,38.0,27.8,21.4,48.1,36.2,33.5,37.1,47.4002,34.4,37.4,49.6,63.2,4.6,49.3,49.7,78.1,47.7,31.6,34.3,39.2,17.6,-462.5,23.0,35.6999,23.3,20.4,23.4,66.4,20.6,30.0,79.1,95.0,77.5,76.9,68.2,-321.3999,59.5,85.4
total-non-operating-income-expense,-41.5,-24.2,-20.6,-21.2,-23.3,-23.0,-24.6,-21.3,-24.7,-24.3,-22.3,-20.7,-24.4,-22.9,-21.7,-23.0,-10.7,-3.3,-1.7,-2.3,-1.2,-1.7,-2.5,-2.0,-3.3,-2.3,-3.5,-1.8,-2.5,-1.0,-0.6,-1.2,-2.6,-1.0,-1.4,-2.1,-3.9,-1.4,-1.9,-1.6,-2.1,9.5,-1.5,-2.0,-2.9,-1.3,-3.5,-2.8,4.2,-3.1,-4.4,3.1,1.0,2.9,7.7,9.8,-8.5,0.3,-0.3
pre-tax-income,52.6,45.7,60.7,49.6,89.4,55.5,21.5,30.8,90.3,16.1,41.3,35.3,69.1,35.3,28.1,5.8,-16.5,28.0,36.6,17.0,34.2,36.3,25.3,19.4,44.8,33.9,30.0,35.3,44.9,33.4,36.8,48.4,60.6,3.6,47.9,47.6,74.2,46.3,29.7,32.7,37.1,27.1,-464.0,21.0,32.8,22.0,16.9,20.6,70.6,17.5,25.6,82.2,96.0,80.4,84.6,78.0,-329.9,59.8,85.1
