,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,2508.767,2447.827,2360.268,6256.947,2355.565,2316.032,2273.45,3318.054,3161.083,3059.458,2922.948,3120.934,2865.148,2872.63,2712.956,2850.917,2685.835,2629.32,2463.646,2702.096,2623.729,2615.406,2430.159,2526.37,2348.956,2391.81,2293.511,2408.438,2231.058,2201.452,2099.019,2340.148,2111.693,2130.64,1947.761,2023.568,1893.511,1849.401,1760.31,1786.081,1659.433,1607.434,1485.388,1573.576,1644.209,1640.851,1521.777,1687.163,1505.575,1387.017,1310.128,1434.615,1246.553,1192.989,1161.781,1233.234,1125.363,1104.428,1062.997
cost-goods-sold,1747.6,1680.396,1608.578,4821.68,1633.206,1597.704,1554.321,2417.098,2325.029,2220.285,2100.028,2261.448,2077.473,2071.161,1935.114,2056.945,1936.927,1878.642,1750.251,1937.632,1902.063,1886.934,1733.446,1826.85,1709.309,1721.954,1646.52,1744.943,1622.014,1577.057,1488.44,1687.559,1524.273,1518.416,1381.939,1448.825,1356.055,1303.757,1247.277,1259.809,1183.166,1131.516,1047.025,1113.616,1168.615,1152.741,1071.146,1215.225,1076.245,973.24,919.082,1018.594,887.495,835.744,824.179,864.2817,808.632,783.092,761.603
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,574.771,593.218,574.608,1042.888,552.051,552.723,554.214,654.4399,622.506,628.511,628.952,629.4251,581.584,600.409,597.59,580.871,551.588,560.426,545.166,561.522,547.578,547.628,539.445,512.6369,479.17,493.791,493.362,482.153,459.422,466.333,465.452,489.216,444.159,461.009,441.522,432.7449,400.088,407.638,396.989,389.653,362.382,353.948,343.732,332.1151,360.18,374.118,365.356,346.2729,332.63,322.925,317.325,310.521,296.457,280.887,276.684,285.246,258.352,254.278,248.132
other-operating-income-expenses,0.0,,,,-38.488,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,2321.569,2285.539,2187.827,5946.514,2232.296,2158.924,2111.21,3076.864,2947.535,2848.796,2728.98,2906.952,2664.427,2691.953,2536.762,2650.225,2496.953,2446.29,2302.279,2499.154,2449.641,2434.562,2272.891,2339.487,2188.479,2215.745,2139.882,2227.097,2081.436,2046.75,1965.724,2176.775,1968.432,1979.425,1823.461,1881.57,1756.143,1711.395,1656.551,1648.439,1545.548,1485.464,1394.8,1468.972,1528.795,1526.859,1436.502,1561.498,1408.875,1296.165,1236.407,1329.115,1183.952,1116.631,1100.863,1149.528,1066.984,1037.37,1009.735
operating-income,187.198,162.2878,172.4409,310.4336,123.2688,157.1079,162.2397,241.1902,213.5479,210.6621,193.968,213.9819,200.7209,180.677,176.1938,200.6926,188.8818,183.0303,161.3669,202.9421,174.0879,180.844,157.2678,186.8833,160.4771,176.0652,153.6289,181.3413,149.6221,154.7019,133.295,163.373,143.2612,151.2148,124.3,141.9983,137.3679,138.006,103.759,137.6416,113.885,121.97,90.5879,104.6044,115.4141,113.9919,85.275,125.6656,96.7,90.8519,73.7211,105.5,62.601,76.358,60.918,83.7059,58.379,67.058,53.2619
total-non-operating-income-expense,-8.607,-10.547,-11.949,-12.467,-17.088,-13.948,-14.201,-13.158,-8.829,-7.363,-7.171,-7.008,-4.546,-3.543,-0.642,-3.871,-3.445,-3.21,-2.688,-3.073,-3.312,-1.222,1.777,-0.295,-0.552,-1.621,-9.892,-4.679,-3.037,-3.272,-3.785,-3.31,-2.751,-2.952,-3.829,-3.706,-4.373,-5.203,-5.814,-2.305,-0.846,-4.293,-3.921,-3.517,-9.843,-5.91,-4.567,-7.157,2.079,-1.407,-1.945,-2.144,-0.725,-3.628,-2.617,-3.463,-4.006,-3.856,-5.04
pre-tax-income,178.591,151.741,160.492,297.968,106.181,143.16,148.039,228.033,204.719,203.299,186.797,206.974,196.175,177.134,175.552,196.822,185.437,179.82,158.679,199.869,170.776,179.622,159.045,186.588,159.925,174.444,143.737,176.663,146.585,151.43,129.51,160.063,140.51,148.263,120.471,138.292,132.995,132.803,97.945,135.337,113.039,117.677,86.667,101.088,105.571,108.082,80.708,118.509,98.779,89.445,71.776,103.356,61.876,72.73,58.301,80.243,54.373,63.202,48.222
total-provision-income-taxes,41.964,35.88,39.482,68.838,16.633,33.879,36.142,206.23,59.34,58.306,38.63,58.859,56.601,48.965,53.533,59.248,49.232,53.784,49.127,59.363,51.302,55.322,49.623,55.604,34.66,54.775,45.852,54.108,44.709,47.201,41.84,49.458,44.261,47.34,39.153,44.184,42.226,41.435,32.224,44.119,15.864,38.689,28.849,32.535,34.355,36.874,27.446,38.768,33.682,30.636,25.47,36.311,21.695,26.25,21.222,29.21,19.907,23.211,17.861
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,143.212,121.417,123.64,236.571,96.247,114.591,114.717,8.51,150.948,149.582,150.253,153.473,145.291,133.098,124.533,140.843,141.396,129.608,111.58,143.955,124.236,127.117,110.128,134.969,116.372,121.435,98.686,121.715,105.31,107.302,89.061,115.821,100.808,105.056,82.971,97.226,94.49,93.163,67.252,92.684,98.375,80.2,59.183,69.57,72.818,72.116,54.772,91.359,60.668,54.439,43.414,63.656,39.246,45.001,35.627,49.138,33.304,37.77,30.503
