,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,62.45,63.781,65.187,59.825,59.925,57.008,54.858,55.269,54.743,52.92,51.967,24.886,58.367,54.793,54.078,55.866,53.835,52.145,47.156,45.339,44.525,42.476,38.35,37.05,33.659,31.919,29.646,27.837,26.38,25.841,23.674,21.891,20.618,21.051,18.506,17.6403,16.616,16.6605,14.8373,15.0902,14.105,14.5835,13.6192,13.5031,13.6618,13.013,11.4217,11.992,11.8094,12.0466,8.1013,8.5566,7.4805,8.2237,7.5226,8.0399,6.8306,6.8064,5.6824
cost-goods-sold,25.348,26.806,26.861,25.428,25.102,23.236,22.248,22.31,22.523,21.223,21.152,4.555,24.889,22.622,22.9,23.635,23.126,22.432,20.193,19.366,19.115,18.738,16.926,16.122,14.092,12.871,12.52,11.112,10.804,10.167,9.575,8.443,7.915,7.638,7.07,6.5486,6.274,5.9064,5.462,5.4393,5.4078,5.2281,5.2678,5.1096,5.1534,4.8626,4.5278,4.5518,4.3365,4.3592,2.915,2.7544,2.3782,3.1617,2.575,2.8582,2.3921,2.4594,2.0358
gross-profit,37.102,36.975,38.326,34.397,34.823,33.772,32.61,32.959,32.22,31.697,30.815,20.331,33.478,32.171,31.178,32.231,30.709,29.713,26.963,25.973,25.41,23.738,21.424,20.928,19.567,19.048,17.126,16.725,15.576,15.674,14.099,13.448,12.703,13.413,11.436,11.0916,10.342,10.7541,9.3753,9.6509,8.6973,9.3555,8.3514,8.3935,8.5083,8.1504,6.8939,7.4402,7.4729,7.6873,5.1863,5.8022,5.1023,5.062,4.9477,5.1818,4.4386,4.347,3.6466
research-development-expenses,7.195,7.64,6.927,6.587,6.6,6.547,6.001,6.22,6.002,6.151,5.775,2.711,7.261,7.244,7.018,7.558,6.195,5.815,4.646,4.412,4.211,4.294,3.546,3.163,3.21,2.778,2.606,2.281,2.278,2.182,1.869,1.83,1.946,1.911,1.786,1.9899,1.75,1.7229,1.5262,1.683,1.6202,1.4474,1.5344,1.524,1.531,1.3305,1.2844,0.9635,1.1654,1.1002,1.0787,0.8852,0.8912,0.8368,0.8895,0.8286,0.7199,0.7431,0.6365
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,58.702,61.513,59.818,56.989,55.264,52.744,51.128,53.759,52.012,50.119,49.602,23.804,57.081,52.477,51.591,53.988,49.51,49.581,42.366,41.113,39.784,38.366,35.052,33.542,29.78,27.813,26.473,24.491,22.649,21.8,21.333,18.91,17.924,17.945,15.949,16.0307,14.926,14.3131,13.4252,13.8454,13.0256,12.7216,12.6834,12.3803,13.0712,12.2887,11.3778,11.1236,11.0794,11.6386,8.1923,7.6188,7.1861,8.0955,6.9739,6.9413,6.3488,6.8361,5.6365
operating-income,3.748,2.268,5.369,2.836,4.661,4.264,3.73,1.51,2.731,2.801,2.365,1.082,1.286,2.316,2.487,1.878,4.325,2.564,4.79,4.226,4.741,4.11,3.298,3.508,3.879,4.106,3.173,3.346,3.731,4.041,2.341,2.981,2.694,3.106,2.557,1.6096,1.69,2.3474,1.412,1.2448,1.0795,1.8619,0.9358,1.1228,0.5906,0.7243,0.0439,0.8683,0.73,0.408,-0.0909,0.9378,0.2944,0.1282,0.5487,1.0986,0.4818,-0.0296,0.0459
total-non-operating-income-expense,0.853,0.852,0.822,0.843,-0.548,0.476,0.313,0.252,0.186,0.165,0.13,0.117,0.337,0.109,0.018,0.169,0.028,-0.044,0.009,0.029,0.049,0.023,0.045,0.055,0.046,0.028,0.047,0.031,0.042,0.026,0.019,0.002,-0.008,-0.004,0.02,-0.0032,-0.005,-0.0043,-0.0085,-0.003,-0.009,-0.0021,-0.0009,0.0087,0.0186,0.0232,0.0218,0.0387,0.0265,0.0216,0.1396,0.1664,0.1655,0.1525,0.1342,0.0997,0.072,0.0678,0.0982
pre-tax-income,4.601,3.12,6.191,3.679,4.113,4.74,4.043,1.762,2.917,2.966,2.495,1.199,1.623,2.425,2.505,2.047,4.353,2.52,4.799,4.255,4.79,4.133,3.343,3.563,3.925,4.134,3.22,3.377,3.773,4.067,2.36,2.983,2.686,3.102,2.577,1.6064,1.685,2.343,1.4035,1.2418,1.0704,1.8599,0.9349,1.1315,0.6091,0.7474,0.0657,0.9071,0.7565,0.4295,0.0486,1.1042,0.4599,0.2807,0.683,1.1983,0.5538,0.0382,0.1442
total-provision-income-taxes,1.14,0.719,1.411,0.749,1.077,1.084,0.414,-1.407,1.182,0.741,0.786,0.474,0.461,1.022,1.004,0.235,1.739,1.047,2.077,1.609,1.354,1.769,1.395,1.804,1.629,1.712,1.279,1.556,1.796,1.64,0.94,1.192,0.89,1.271,1.051,0.403,0.889,0.9953,0.5967,-9.1014,0.0473,0.1318,0.0574,-0.3091,,0.008,,-1.9719,0.0175,0.0048,0.0041,0.026,-0.0144,-0.008,0.0245,0.0065,,0.015,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
