,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,16241.0,16245.0,16107.0,14168.0,14206.0,14259.0,14279.0,13189.0,13282.0,13534.0,13762.0,12878.0,13694.0,14007.0,13800.0,13361.0,13363.0,13732.0,13833.0,12328.0,12238.0,12222.0,11712.0,10187.0,10319.0,10321.0,10486.0,9557.0,9651.0,9699.0,10219.0,9056.0,9301.0,9284.0,9191.0,8275.607,8350.812,8589.243,8380.338,7415.632,7716.819,7898.889,7711.661,7487.636,7148.17,7350.862,6959.704,6338.794,6319.584,6426.797,6204.813,5655.219,5649.784,5407.169,4704.365,3663.08,3821.461,3546.361,3387.225
cost-goods-sold,13357.0,13318.0,13493.0,11433.0,11243.0,11536.0,11670.0,10639.0,10642.0,10889.0,11326.0,11201.0,10900.0,11509.0,11397.0,11116.0,10896.0,11252.0,11005.0,9749.0,9666.0,9627.0,9124.0,8203.0,8075.0,8091.0,8195.0,7516.0,7467.0,7652.0,8350.0,7062.0,7147.0,7269.0,7345.0,6789.259,6641.264,6869.096,6817.382,6035.793,6111.351,6367.545,6269.31,6041.103,5810.613,6038.482,5818.034,4912.252,4953.862,5190.418,5214.0,4541.774,4616.002,4479.501,3783.926,2914.831,3094.397,2888.509,2753.733
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047.773,1004.342,1063.803,1098.943,979.223,916.041,950.445,1000.376,829.023,826.459,820.61,817.0381,729.722,733.863,740.886,609.519,616.126,490.919,479.04
other-operating-income-expenses,-1889.0,-1703.0,-1660.0,-2115.0,-1900.0,-1761.0,-1749.0,-1873.0,-1688.0,-1453.0,-1553.0,-2001.0,-1739.0,-1699.0,-1734.0,-1845.0,-1688.0,-1817.0,-1945.0,-2121.0,-1898.0,-1835.0,-1785.0,-1908.0,-1540.0,-1461.0,-1446.0,-1655.0,-1408.0,-1384.0,-1383.0,-1585.0,-1361.0,-1193.0,-1256.0,-1223.055,-1002.398,-1093.69,-1060.857,,,,,,,,,,,,,,,,,,,,
operating-expenses,15373.0,15130.0,15260.0,13651.0,13245.0,13397.0,13519.0,12623.0,12424.0,12434.0,12024.0,13316.0,12745.0,13324.0,13253.0,13072.0,12668.0,13159.0,13043.0,11957.0,11649.0,11541.0,10991.0,10201.0,9698.0,9632.0,9721.0,9248.0,8950.0,9109.0,9803.0,8716.0,8575.0,8530.0,8667.0,8075.356,7702.379,8027.167,7937.098,6990.297,7221.212,7432.365,7391.127,7199.856,6845.962,7007.981,6819.437,5960.863,5825.135,6071.141,6074.674,5398.232,5383.401,5249.96,4559.718,3558.077,3744.642,3411.191,3262.022
operating-income,868.0,1115.0,847.0,517.0,961.0,862.0,760.0,566.0,858.0,1100.0,1738.0,-438.0,949.0,683.0,547.0,289.0,695.0,573.0,790.0,371.0,589.0,681.0,721.0,-14.0,621.0,689.0,765.0,309.0,701.0,590.0,416.0,340.0,726.0,754.0,524.0,200.251,648.4326,562.0762,443.2402,425.335,495.6069,466.5244,320.5342,287.7798,302.208,342.8809,140.2671,377.9312,494.4492,355.6558,130.1392,256.9863,266.3833,157.209,144.6475,105.0024,76.8191,135.1702,125.2031
total-non-operating-income-expense,20.0,114.0,-101.0,-81.0,-60.0,-843.0,-53.0,-76.0,-59.0,-58.0,-49.0,-48.0,-47.0,-47.0,-47.0,-43.0,-47.0,220.0,-46.0,-84.0,-38.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-27.0,-26.0,-26.0,-26.0,-27.0,-27.0,-28.0,-27.0,-26.321,-26.143,-26.222,-26.314,-26.395,-26.259,-26.574,-26.772,-26.735,-19.348,-17.867,-16.339,-18.947,-15.947,-16.066,-17.918,-15.806,-17.009,-16.887,-13.439,-10.329,-10.141,-10.322,-8.523
pre-tax-income,888.0,1229.0,746.0,436.0,901.0,19.0,707.0,490.0,799.0,1042.0,1689.0,-486.0,902.0,636.0,500.0,246.0,648.0,793.0,744.0,287.0,551.0,646.0,686.0,-49.0,586.0,654.0,730.0,282.0,675.0,564.0,390.0,313.0,699.0,726.0,497.0,173.93,622.29,535.854,416.926,398.94,469.348,439.95,293.762,261.046,282.86,325.014,123.928,358.987,478.502,339.59,112.221,241.181,249.374,140.322,131.208,94.674,66.678,124.848,116.68
total-provision-income-taxes,200.0,301.0,183.0,83.0,266.0,-174.0,216.0,306.0,300.0,392.0,574.0,-85.0,452.0,325.0,246.0,145.0,334.0,362.0,314.0,142.0,261.0,302.0,318.0,-19.0,218.0,234.0,257.0,90.0,249.0,208.0,142.0,114.0,254.0,266.0,182.0,66.995,229.069,195.778,158.158,147.956,167.829,158.17,88.045,86.966,99.852,115.118,43.758,115.768,176.124,122.744,40.98,86.16,90.176,50.833,47.493,32.898,19.871,43.436,9.945
